,0
POOL,5
MKC,10
AOS,0
AXP,2
CME,6
EQR,9
BKR,3
FDX,1
MET,2
MRK,0
MAA,9
ISRG,7
GOOGL,1
PEAK,10
CMCSA,1
TT,10
JPM,2
REGN,7
DHI,1
HUM,0
MDT,7
DIS,10
DE,5
F,4
C,2
EXC,8
SCHW,2
WYNN,0
PLD,10
AAL,0
DVN,3
AEE,8
AMZN,1
TDY,5
PENN,0
IP,6
OMC,6
VFC,0
MSCI,2
A,7
USB,2
UNH,0
IT,5
ETR,8
DVA,0
HSY,6
NEE,8
FFIV,5
BIIB,7
KO,6
MSI,1
KMB,1
FTNT,5
EL,1
ABC,0
CF,3
LKQ,1
TMUS,5
ABT,10
PSX,4
LMT,1
ESS,9
APD,10
PSA,9
AMAT,3
HCA,0
ORLY,10
KEY,2
KLAC,5
GL,2
PCAR,5
CBOE,10
PRU,2
FE,8
LEG,5
PHM,1
NOC,0
BBWI,1
MCK,4
CPB,6
KR,6
DGX,10
TJX,1
GRMN,5
PKG,6
FISV,10
OXY,3
FITB,2
CBRE,0
WAB,0
KMX,1
RSG,5
ADM,10
PEP,1
IRM,9
LOW,2
CL,1
TXT,3
MCO,10
DUK,8
NKE,1
PAYX,5
IFF,10
MSFT,1
CTRA,3
MA,5
PVH,1
TSN,5
DXC,4
VTRS,0
MTD,5
MLM,0
SO,8
ETN,6
STT,2
GD,10
CMS,8
SRE,8
MMC,10
AIZ,2
NOW,0
TGT,1
BRK-B,10
MRO,3
NXPI,5
WFC,2
EXR,9
NTAP,2
BDX,1
AJG,10
WY,4
EOG,3
XYL,3
PH,3
IPG,6
DLTR,1
TDG,0
LUV,4
AFL,10
AVGO,5
LLY,0
CAG,6
ODFL,4
ZBH,7
KMI,3
LUMN,10
PGR,9
ROL,6
PNC,2
DRE,1
EQIX,1
LRCX,5
VMC,0
TRMB,4
HPQ,5
ADP,5
ARE,9
PTC,4
HD,9
NSC,0
TXN,5
SEE,10
WRB,10
SBUX,5
ADBE,10
DAL,4
GPS,1
AMGN,7
JBHT,4
COF,2
NRG,10
CINF,9
WDC,4
NLSN,5
WU,6
NTRS,2
TEL,0
DLR,10
JKHY,10
K,6
EFX,0
APA,3
CAT,3
HIG,10
UHS,0
LH,10
RMD,10
TER,4
DTE,8
BR,10
GOOG,1
RF,2
BK,2
PPG,10
NEM,4
UDR,9
WM,0
JNPR,4
PFG,2
DPZ,10
BBY,5
GPC,10
ZBRA,7
MOS,4
AAP,1
MGM,0
XRAY,0
ULTA,1
BRO,2
BLL,0
SHW,10
EXPD,10
APTV,4
URI,4
AMCR,4
CCI,9
AKAM,0
AMP,2
PNR,3
VRSN,5
GM,4
HAL,3
SNA,0
PXD,3
AMT,6
TYL,5
HBAN,2
SWKS,5
CI,0
XEL,8
BF-B,1
HSIC,1
ALK,5
DOV,3
UAA,5
PG,6
SJM,10
CMA,2
ADI,5
ECL,10
GS,2
WHR,1
TRV,10
AVY,10
ADSK,7
UPS,5
MDLZ,10
PWR,4
SBAC,6
UAL,4
CDNS,6
MAS,4
BA,4
ROP,10
LDOS,7
IEX,4
GPN,5
PKI,7
BWA,4
YUM,6
ES,8
MKTX,1
UNP,5
FCX,4
RCL,1
CMI,3
JCI,0
PFE,0
EXPE,0
FRC,2
FIS,1
EMR,4
GLW,4
CNP,6
OKE,3
KIM,9
FBHS,10
DISH,4
AES,3
HON,4
EVRG,8
MTCH,6
TFX,4
GILD,7
CHRW,10
MO,10
REG,9
MMM,10
GIS,6
INTU,1
ROK,10
HOLX,0
LHX,4
COP,3
AME,2
MCD,10
PNW,8
COO,0
ILMN,10
PEG,8
GWW,2
O,9
HAS,5
ANSS,0
GE,0
RL,4
VZ,1
CSCO,0
CMG,0
AZO,9
VTR,10
EBAY,0
APH,10
BIO,7
CPRT,4
STE,7
DISCA,0
TAP,6
MPC,4
MPWR,5
NDAQ,6
NI,8
ORCL,1
CSX,10
PBCT,2
PM,6
ANTM,0
VRSK,6
DFS,2
CHD,1
DG,9
MCHP,4
TMO,7
EMN,3
RJF,2
JNJ,10
AWK,8
BMY,7
CVS,9
IVZ,0
ROST,1
NLOK,10
XOM,10
AMD,4
IPGP,4
ATVI,1
HST,10
TPR,1
TECH,7
WEC,8
NVDA,5
CLX,1
CHTR,1
HRL,9
L,2
FRT,9
BAC,2
CRM,0
WST,7
CTXS,7
EA,5
ENPH,4
WELL,10
BLK,10
V,5
ZION,2
CE,3
BXP,9
NWL,4
WBA,10
GNRC,10
WMT,6
FLT,1
SPG,9
ALB,4
WAT,6
HBI,5
DXCM,5
EIX,8
DISCK,0
CAH,0
VLO,0
HES,3
DD,3
FMC,3
LYB,3
SYK,10
WMB,3
FAST,2
MS,2
TROW,10
SWK,0
ABMD,0
CRL,7
VRTX,7
TSLA,5
CB,10
VNO,9
T,7
INCY,7
EW,7
MHK,1
CCL,0
ATO,8
IDXX,6
DRI,1
NUE,10
SYY,10
MNST,6
STZ,9
FANG,1
RHI,6
DHR,10
ICE,6
AAPL,7
CTAS,7
D,8
ACN,5
IBM,5
INTC,5
BKNG,0
COST,6
AON,1
STX,4
ED,8
LEN,1
NFLX,5
HII,1
ALL,9
ITW,10
BSX,7
CNC,0
ALGN,0
SLB,3
RE,10
TTWO,5
SIVB,2
QCOM,5
MTB,2
AVB,9
NVR,1
LYV,0
LVS,0
LNC,2
BAX,0
SNPS,7
PPL,8
TSCO,1
LNT,8
CTSH,5
CERN,7
TFC,2
BEN,10
LIN,10
AIG,2
AEP,8
FB,1
CVX,3
SPGI,4
J,4
MAR,10
MU,4
RTX,4
