,0
POOL,3
MKC,7
AOS,8
AXP,1
CME,0
EQR,7
BKR,5
FDX,0
MET,1
MRK,6
MAA,7
ISRG,9
GOOGL,8
PEAK,7
CMCSA,9
TT,9
JPM,1
REGN,9
DHI,3
HUM,9
MDT,0
DIS,8
DE,4
F,6
C,1
EXC,7
SCHW,1
WYNN,0
PLD,7
AAL,3
DVN,5
AEE,2
AMZN,0
TDY,4
PENN,4
IP,6
OMC,0
VFC,9
MSCI,9
A,9
USB,1
UNH,3
IT,8
ETR,2
DVA,3
HSY,10
NEE,10
FFIV,9
BIIB,4
KO,7
MSI,3
KMB,9
FTNT,8
EL,0
ABC,0
CF,5
LKQ,4
TMUS,9
ABT,0
PSX,6
LMT,4
ESS,7
APD,9
PSA,9
AMAT,8
HCA,4
ORLY,0
KEY,1
KLAC,4
GL,1
PCAR,4
CBOE,8
PRU,1
FE,2
LEG,6
PHM,3
NOC,10
BBWI,3
MCK,3
CPB,10
KR,6
DGX,3
TJX,7
GRMN,4
PKG,0
FISV,9
OXY,6
FITB,1
CBRE,3
WAB,3
KMX,10
RSG,10
ADM,7
PEP,7
IRM,6
LOW,8
CL,0
TXT,0
MCO,0
DUK,2
NKE,9
PAYX,10
IFF,9
MSFT,8
CTRA,5
MA,0
PVH,6
TSN,7
DXC,8
VTRS,4
MTD,4
MLM,3
SO,2
ETN,4
STT,1
GD,4
CMS,2
SRE,7
MMC,10
AIZ,10
NOW,8
TGT,6
BRK-B,4
MRO,5
NXPI,0
WFC,1
EXR,9
NTAP,4
BDX,9
AJG,8
WY,4
EOG,5
XYL,4
PH,4
IPG,7
DLTR,0
TDG,3
LUV,3
AFL,10
AVGO,9
LLY,10
CAG,7
ODFL,4
ZBH,0
KMI,5
LUMN,6
PGR,4
ROL,10
PNC,1
DRE,7
EQIX,7
LRCX,8
VMC,3
TRMB,8
HPQ,8
ADP,10
ARE,7
PTC,8
HD,8
NSC,4
TXN,8
SEE,0
WRB,10
SBUX,0
ADBE,9
DAL,3
GPS,6
AMGN,3
JBHT,6
COF,1
NRG,5
CINF,10
WDC,6
NLSN,7
WU,4
NTRS,1
TEL,4
DLR,7
JKHY,3
K,7
EFX,10
APA,5
CAT,4
HIG,10
UHS,3
LH,3
RMD,9
TER,4
DTE,2
BR,8
GOOG,8
RF,1
BK,1
PPG,9
NEM,6
UDR,7
WM,10
JNPR,3
PFG,1
DPZ,9
BBY,6
GPC,10
ZBRA,8
MOS,8
AAP,5
MGM,3
XRAY,10
ULTA,6
BRO,10
BLL,0
SHW,9
EXPD,4
APTV,3
URI,6
AMCR,9
CCI,7
AKAM,9
AMP,1
PNR,8
VRSN,9
GM,5
HAL,5
SNA,10
PXD,5
AMT,7
TYL,8
HBAN,1
SWKS,8
CI,6
XEL,2
BF-B,7
HSIC,10
ALK,3
DOV,0
UAA,6
PG,7
SJM,7
CMA,1
ADI,8
ECL,0
GS,1
WHR,6
TRV,10
AVY,6
ADSK,8
UPS,9
MDLZ,7
PWR,3
SBAC,7
UAL,3
CDNS,8
MAS,6
BA,4
ROP,0
LDOS,3
IEX,3
GPN,8
PKI,6
BWA,6
YUM,5
ES,2
MKTX,8
UNP,4
FCX,5
RCL,0
CMI,4
JCI,8
PFE,4
EXPE,3
FRC,1
FIS,3
EMR,5
GLW,6
CNP,7
OKE,5
KIM,7
FBHS,3
DISH,3
AES,7
HON,9
EVRG,10
MTCH,8
TFX,4
GILD,10
CHRW,10
MO,7
REG,7
MMM,4
GIS,7
INTU,9
ROK,9
HOLX,3
LHX,4
COP,5
AME,4
MCD,0
PNW,2
COO,9
ILMN,3
PEG,2
GWW,5
O,7
HAS,0
ANSS,8
GE,6
RL,5
VZ,7
CSCO,0
CMG,7
AZO,9
VTR,10
EBAY,0
APH,0
BIO,9
CPRT,8
STE,3
DISCA,5
TAP,7
MPC,6
MPWR,8
NDAQ,9
NI,2
ORCL,8
CSX,0
PBCT,1
PM,7
ANTM,3
VRSK,0
DFS,1
CHD,0
DG,6
MCHP,8
TMO,9
EMN,5
RJF,1
JNJ,9
AWK,2
BMY,3
CVS,3
IVZ,4
ROST,10
NLOK,8
XOM,5
AMD,8
IPGP,4
ATVI,9
HST,10
TPR,3
TECH,4
WEC,2
NVDA,8
CLX,7
CHTR,9
HRL,7
L,10
FRT,7
BAC,1
CRM,8
WST,4
CTXS,8
EA,8
ENPH,4
