,0
POOL,3
MKC,5
AOS,7
AXP,1
CME,3
EQR,8
BKR,6
FDX,4
MET,2
MRK,5
MAA,4
ISRG,7
GOOGL,1
PEAK,10
CMCSA,4
TT,7
JPM,2
REGN,1
DHI,4
HUM,5
MDT,1
DIS,10
DE,0
F,0
C,2
EXC,9
SCHW,2
WYNN,0
PLD,8
AAL,0
DVN,6
AEE,9
AMZN,0
TDY,1
PENN,0
IP,0
OMC,3
VFC,0
MSCI,1
A,7
USB,2
UNH,3
IT,4
ETR,9
DVA,1
HSY,3
NEE,9
FFIV,10
BIIB,3
KO,3
MSI,3
KMB,8
FTNT,7
EL,2
ABC,4
CF,7
LKQ,7
TMUS,1
ABT,5
PSX,10
LMT,5
ESS,8
APD,5
PSA,8
AMAT,10
HCA,0
ORLY,5
KEY,2
KLAC,5
GL,2
PCAR,5
CBOE,10
PRU,2
FE,9
LEG,4
PHM,4
NOC,5
BBWI,1
MCK,4
CPB,8
KR,3
DGX,10
TJX,3
GRMN,7
PKG,10
FISV,10
OXY,6
FITB,2
CBRE,7
WAB,0
KMX,10
RSG,0
ADM,7
PEP,5
IRM,10
LOW,4
CL,8
TXT,5
MCO,2
DUK,9
NKE,0
PAYX,5
IFF,10
MSFT,0
CTRA,6
MA,3
PVH,0
TSN,0
DXC,10
VTRS,1
MTD,3
MLM,10
SO,9
ETN,7
STT,2
GD,5
CMS,9
SRE,9
MMC,2
AIZ,7
NOW,10
TGT,2
BRK-B,8
MRO,6
NXPI,1
WFC,2
EXR,10
NTAP,4
BDX,5
AJG,4
WY,8
EOG,6
XYL,6
PH,6
IPG,3
DLTR,10
TDG,3
LUV,1
AFL,2
AVGO,1
LLY,0
CAG,3
ODFL,10
ZBH,3
KMI,3
LUMN,10
PGR,5
ROL,3
PNC,2
DRE,8
EQIX,10
LRCX,10
VMC,10
TRMB,10
HPQ,3
ADP,5
ARE,8
PTC,3
HD,4
NSC,5
TXN,1
SEE,2
WRB,2
SBUX,3
ADBE,5
DAL,1
GPS,3
AMGN,1
JBHT,10
COF,3
NRG,0
CINF,4
WDC,4
NLSN,0
WU,1
NTRS,2
TEL,1
DLR,10
JKHY,3
K,6
EFX,0
APA,6
CAT,6
HIG,2
UHS,0
LH,10
RMD,10
TER,10
DTE,9
BR,3
GOOG,1
RF,2
BK,2
PPG,10
NEM,0
UDR,8
WM,5
JNPR,10
PFG,2
DPZ,10
BBY,0
GPC,5
ZBRA,3
MOS,7
AAP,0
MGM,0
XRAY,5
ULTA,0
BRO,7
BLL,7
SHW,3
EXPD,4
APTV,10
URI,6
AMCR,10
CCI,10
AKAM,1
AMP,2
PNR,6
VRSN,10
GM,7
HAL,6
SNA,7
PXD,6
AMT,4
TYL,4
HBAN,2
SWKS,4
CI,3
XEL,9
BF-B,5
HSIC,4
ALK,1
DOV,6
UAA,10
PG,8
SJM,4
CMA,3
ADI,0
ECL,7
GS,7
WHR,4
TRV,2
AVY,0
ADSK,4
UPS,5
MDLZ,5
PWR,0
SBAC,10
UAL,0
CDNS,1
MAS,7
BA,5
ROP,0
LDOS,3
IEX,3
GPN,3
PKI,1
BWA,10
YUM,4
ES,9
MKTX,2
UNP,0
FCX,7
RCL,4
CMI,7
JCI,5
PFE,5
EXPE,0
FRC,4
FIS,3
EMR,6
GLW,7
CNP,9
OKE,6
KIM,8
FBHS,7
DISH,10
AES,1
HON,5
EVRG,9
MTCH,7
TFX,2
GILD,3
CHRW,4
MO,8
REG,8
MMM,5
GIS,8
INTU,4
ROK,6
HOLX,3
LHX,10
COP,6
AME,6
MCD,0
PNW,9
COO,0
ILMN,1
PEG,9
GWW,5
O,8
HAS,0
ANSS,10
GE,5
RL,0
VZ,2
CSCO,3
CMG,5
AZO,0
VTR,8
EBAY,0
APH,10
BIO,10
CPRT,1
STE,1
DISCA,7
TAP,3
MPC,10
MPWR,0
NDAQ,3
NI,9
ORCL,0
CSX,10
PBCT,2
PM,8
ANTM,3
VRSK,3
DFS,1
CHD,8
DG,0
MCHP,1
TMO,3
EMN,5
RJF,3
JNJ,5
AWK,9
BMY,0
CVS,4
IVZ,3
ROST,3
NLOK,4
XOM,6
AMD,10
IPGP,7
ATVI,10
HST,3
TPR,0
TECH,1
WEC,9
NVDA,4
CLX,4
CHTR,7
HRL,4
L,5
FRT,8
BAC,2
CRM,10
WST,1
CTXS,7
EA,7
ENPH,10
WELL,8
BLK,2
V,3
ZION,3
CE,7
BXP,8
NWL,4
WBA,5
GNRC,4
WMT,4
FLT,7
SPG,8
ALB,1
WAT,10
HBI,0
DXCM,0
EIX,9
DISCK,7
CAH,4
VLO,10
HES,6
DD,10
FMC,0
LYB,10
SYK,5
WMB,7
FAST,4
MS,2
TROW,2
SWK,7
ABMD,0
CRL,1
VRTX,1
TSLA,0
CB,2
VNO,8
T,5
INCY,1
EW,10
MHK,4
CCL,3
ATO,9
IDXX,1
DRI,5
NUE,2
SYY,2
MNST,3
STZ,3
FANG,6
RHI,7
DHR,10
ICE,0
AAPL,1
CTAS,3
D,9
ACN,5
IBM,3
INTC,5
BKNG,1
COST,4
AON,2
STX,4
ED,9
LEN,0
NFLX,4
HII,5
ALL,0
ITW,7
BSX,7
CNC,5
ALGN,0
SLB,6
RE,4
TTWO,10
SIVB,3
QCOM,1
MTB,0
AVB,8
NVR,4
LYV,3
LVS,0
LNC,2
BAX,3
SNPS,10
PPL,9
TSCO,0
LNT,9
CTSH,10
CERN,1
TFC,2
BEN,2
LIN,7
AIG,10
AEP,9
FB,0
CVX,6
SPGI,2
J,7
MAR,3
MU,1
RTX,5
