,0
POOL,6
MKC,9
AOS,2
AXP,5
CME,7
EQR,10
BKR,8
FDX,2
MET,4
MRK,5
MAA,10
ISRG,7
GOOGL,7
PEAK,10
CMCSA,8
TT,2
JPM,4
REGN,0
DHI,9
HUM,6
MDT,5
DIS,6
DE,2
F,2
C,4
EXC,1
SCHW,4
WYNN,8
PLD,10
AAL,0
DVN,8
AEE,1
AMZN,5
TDY,3
PENN,9
IP,0
OMC,6
VFC,3
MSCI,7
A,6
USB,4
UNH,6
IT,0
ETR,1
DVA,6
HSY,10
NEE,1
FFIV,7
BIIB,2
KO,10
MSI,0
KMB,10
FTNT,3
EL,6
ABC,6
CF,2
LKQ,8
TMUS,3
ABT,5
PSX,5
LMT,6
ESS,10
APD,5
PSA,10
AMAT,7
HCA,6
ORLY,0
KEY,4
KLAC,2
GL,4
PCAR,0
CBOE,7
PRU,4
FE,1
LEG,9
PHM,9
NOC,6
BBWI,3
MCK,9
CPB,5
KR,5
DGX,6
TJX,6
GRMN,2
PKG,0
FISV,5
OXY,8
FITB,4
CBRE,2
WAB,8
KMX,9
RSG,10
ADM,8
PEP,10
IRM,10
LOW,6
CL,0
TXT,2
MCO,7
DUK,1
NKE,5
PAYX,5
IFF,10
MSFT,7
CTRA,5
MA,7
PVH,8
TSN,10
DXC,8
VTRS,6
MTD,0
MLM,3
SO,1
ETN,2
STT,4
GD,2
CMS,1
SRE,1
MMC,4
AIZ,9
NOW,7
TGT,9
BRK-B,4
MRO,8
NXPI,9
WFC,4
EXR,10
NTAP,0
BDX,5
AJG,6
WY,3
EOG,8
XYL,2
PH,2
IPG,5
DLTR,9
TDG,0
LUV,0
AFL,4
AVGO,7
LLY,5
CAG,9
ODFL,3
ZBH,0
KMI,9
LUMN,9
PGR,5
ROL,6
PNC,4
DRE,10
EQIX,5
LRCX,7
VMC,3
TRMB,2
HPQ,0
ADP,7
ARE,10
PTC,7
HD,6
NSC,2
TXN,7
SEE,9
WRB,6
SBUX,5
ADBE,7
DAL,5
GPS,8
AMGN,6
JBHT,3
COF,4
NRG,3
CINF,4
WDC,7
NLSN,9
WU,6
NTRS,4
TEL,7
DLR,10
JKHY,6
K,10
EFX,6
APA,8
CAT,2
HIG,5
UHS,6
LH,6
RMD,5
TER,3
DTE,1
BR,5
GOOG,7
RF,4
BK,4
PPG,7
NEM,6
UDR,10
WM,10
JNPR,2
PFG,4
DPZ,10
BBY,6
GPC,0
ZBRA,0
MOS,8
AAP,0
MGM,8
XRAY,6
ULTA,8
BRO,0
BLL,5
SHW,5
EXPD,3
APTV,2
URI,8
AMCR,9
CCI,10
AKAM,7
AMP,4
PNR,2
VRSN,7
GM,2
HAL,8
SNA,2
PXD,8
AMT,10
TYL,3
HBAN,4
SWKS,7
CI,9
XEL,1
BF-B,10
HSIC,6
ALK,0
DOV,2
UAA,0
PG,10
SJM,10
CMA,4
ADI,7
ECL,5
GS,4
WHR,9
TRV,4
AVY,2
ADSK,7
UPS,0
MDLZ,6
PWR,8
SBAC,10
UAL,7
CDNS,7
MAS,2
BA,5
ROP,2
LDOS,9
IEX,2
GPN,3
PKI,6
BWA,2
YUM,5
ES,1
MKTX,10
UNP,3
FCX,8
RCL,7
CMI,2
JCI,9
PFE,5
EXPE,7
FRC,3
FIS,5
EMR,2
GLW,7
CNP,1
OKE,8
KIM,10
FBHS,2
DISH,8
AES,5
HON,5
EVRG,1
MTCH,9
TFX,7
GILD,6
CHRW,3
MO,3
REG,6
MMM,5
GIS,6
INTU,7
ROK,2
HOLX,5
LHX,3
COP,8
AME,2
MCD,0
PNW,1
COO,10
ILMN,7
PEG,1
GWW,2
O,10
HAS,3
ANSS,7
GE,8
RL,7
VZ,3
CSCO,5
CMG,7
AZO,3
VTR,10
EBAY,7
APH,0
BIO,6
CPRT,10
STE,6
DISCA,9
TAP,6
MPC,2
MPWR,7
NDAQ,4
NI,1
ORCL,7
CSX,3
PBCT,4
PM,8
ANTM,6
VRSK,3
DFS,4
CHD,10
DG,3
MCHP,7
TMO,5
EMN,2
RJF,4
JNJ,5
AWK,1
BMY,5
CVS,6
IVZ,4
ROST,3
NLOK,0
XOM,8
AMD,7
IPGP,0
ATVI,9
HST,8
TPR,0
TECH,3
WEC,1
NVDA,7
CLX,10
CHTR,6
HRL,10
L,4
FRT,10
BAC,4
CRM,7
WST,6
CTXS,0
EA,9
ENPH,6
WELL,10
BLK,2
V,9
ZION,4
CE,2
BXP,10
NWL,4
WBA,5
GNRC,6
WMT,5
FLT,7
SPG,7
ALB,2
WAT,6
HBI,9
DXCM,3
EIX,9
DISCK,9
CAH,6
VLO,2
HES,8
DD,2
FMC,2
LYB,2
SYK,5
WMB,8
FAST,0
MS,4
TROW,6
SWK,2
ABMD,9
CRL,6
VRTX,0
TSLA,8
CB,10
VNO,10
T,9
INCY,7
EW,0
MHK,2
CCL,2
ATO,1
IDXX,7
DRI,3
NUE,2
SYY,0
MNST,0
STZ,3
FANG,8
RHI,3
DHR,5
ICE,4
AAPL,7
CTAS,10
D,1
ACN,5
IBM,5
INTC,0
BKNG,0
COST,6
AON,5
STX,9
ED,1
LEN,9
NFLX,8
HII,3
ALL,7
ITW,2
BSX,7
CNC,3
ALGN,3
SLB,8
RE,5
TTWO,9
SIVB,4
QCOM,9
MTB,4
AVB,10
NVR,3
LYV,9
LVS,8
LNC,4
BAX,5
SNPS,3
PPL,10
TSCO,0
LNT,1
CTSH,7
CERN,5
TFC,4
BEN,6
LIN,5
AIG,9
AEP,1
FB,7
CVX,8
SPGI,7
J,2
MAR,7
MU,7
RTX,2
