,0
POOL,2
MKC,7
AOS,6
AXP,1
CME,7
EQR,10
BKR,3
FDX,3
MET,4
MRK,0
MAA,10
ISRG,7
GOOGL,2
PEAK,8
CMCSA,1
TT,6
JPM,4
REGN,7
DHI,8
HUM,8
MDT,8
DIS,1
DE,6
F,3
C,4
EXC,10
SCHW,3
WYNN,1
PLD,10
AAL,1
DVN,3
AEE,10
AMZN,2
TDY,9
PENN,9
IP,1
OMC,1
VFC,4
MSCI,0
A,5
USB,4
UNH,8
IT,1
ETR,10
DVA,1
HSY,7
NEE,10
FFIV,1
BIIB,7
KO,7
MSI,8
KMB,7
FTNT,0
EL,9
ABC,0
CF,7
LKQ,3
TMUS,3
ABT,0
PSX,3
LMT,8
ESS,10
APD,9
PSA,7
AMAT,5
HCA,8
ORLY,3
KEY,4
KLAC,5
GL,4
PCAR,6
CBOE,7
PRU,1
FE,10
LEG,6
PHM,8
NOC,8
BBWI,1
MCK,0
CPB,7
KR,7
DGX,9
TJX,3
GRMN,0
PKG,0
FISV,2
OXY,6
FITB,4
CBRE,1
WAB,9
KMX,3
RSG,9
ADM,3
PEP,7
IRM,10
LOW,3
CL,7
TXT,4
MCO,2
DUK,10
NKE,3
PAYX,0
IFF,9
MSFT,2
CTRA,5
MA,9
PVH,1
TSN,8
DXC,3
VTRS,8
MTD,5
MLM,8
SO,10
ETN,6
STT,4
GD,9
CMS,10
SRE,8
MMC,8
AIZ,8
NOW,2
TGT,5
BRK-B,9
MRO,4
NXPI,5
WFC,4
EXR,10
NTAP,3
BDX,0
AJG,0
WY,6
EOG,4
XYL,6
PH,6
IPG,1
DLTR,8
TDG,9
LUV,1
AFL,8
AVGO,5
LLY,7
CAG,6
ODFL,3
ZBH,7
KMI,7
LUMN,3
PGR,0
ROL,9
PNC,4
DRE,10
EQIX,7
LRCX,5
VMC,9
TRMB,9
HPQ,8
ADP,9
ARE,10
PTC,2
HD,8
NSC,6
TXN,5
SEE,1
WRB,0
SBUX,2
ADBE,2
DAL,1
GPS,4
AMGN,7
JBHT,6
COF,4
NRG,3
CINF,0
WDC,3
NLSN,0
WU,8
NTRS,4
TEL,3
DLR,3
JKHY,2
K,7
EFX,3
APA,4
CAT,6
HIG,4
UHS,8
LH,0
RMD,9
TER,5
DTE,8
BR,9
GOOG,2
RF,4
BK,4
PPG,8
NEM,9
UDR,10
WM,9
JNPR,3
PFG,4
DPZ,7
BBY,6
GPC,6
ZBRA,3
MOS,7
AAP,3
MGM,1
XRAY,1
ULTA,0
BRO,0
BLL,9
SHW,6
EXPD,6
APTV,3
URI,6
AMCR,1
CCI,7
AKAM,2
AMP,6
PNR,6
VRSN,2
GM,1
HAL,4
SNA,6
PXD,0
AMT,7
TYL,0
HBAN,4
SWKS,5
CI,8
XEL,10
BF-B,9
HSIC,0
ALK,1
DOV,6
UAA,1
PG,0
SJM,3
CMA,4
ADI,5
ECL,9
GS,4
WHR,3
TRV,8
AVY,1
ADSK,0
UPS,7
MDLZ,9
PWR,6
SBAC,7
UAL,1
CDNS,2
MAS,6
BA,1
ROP,2
LDOS,6
IEX,8
GPN,8
PKI,6
BWA,3
YUM,8
ES,10
MKTX,7
UNP,6
FCX,6
RCL,1
CMI,6
JCI,6
PFE,7
EXPE,1
FRC,4
FIS,2
EMR,6
GLW,1
CNP,8
OKE,8
KIM,1
FBHS,9
DISH,3
AES,10
HON,6
EVRG,10
MTCH,3
TFX,2
GILD,9
CHRW,0
MO,8
REG,1
MMM,1
GIS,7
INTU,2
ROK,6
HOLX,7
LHX,9
COP,8
AME,6
MCD,8
PNW,10
COO,0
ILMN,5
PEG,10
GWW,6
O,10
HAS,1
ANSS,2
GE,1
RL,6
VZ,7
CSCO,5
CMG,7
AZO,3
VTR,8
EBAY,1
APH,3
BIO,6
CPRT,9
STE,0
DISCA,1
TAP,9
MPC,6
MPWR,5
NDAQ,0
NI,10
ORCL,2
CSX,6
PBCT,4
PM,9
ANTM,8
VRSK,2
DFS,4
CHD,7
DG,2
MCHP,5
TMO,0
EMN,6
RJF,4
JNJ,0
AWK,7
BMY,0
CVS,9
IVZ,4
ROST,1
NLOK,3
XOM,3
AMD,5
IPGP,6
ATVI,2
HST,1
TPR,1
TECH,9
WEC,10
NVDA,5
CLX,7
CHTR,0
HRL,7
L,4
FRT,1
BAC,4
CRM,2
WST,0
CTXS,9
EA,2
ENPH,3
WELL,10
BLK,6
V,9
ZION,4
CE,9
BXP,10
NWL,6
WBA,6
GNRC,0
WMT,7
FLT,0
SPG,1
ALB,6
WAT,0
HBI,4
DXCM,7
EIX,3
DISCK,1
CAH,0
VLO,1
HES,8
DD,1
FMC,8
LYB,6
SYK,8
WMB,7
FAST,9
MS,4
TROW,3
SWK,9
ABMD,2
CRL,5
VRTX,7
TSLA,3
CB,0
VNO,9
T,1
INCY,0
EW,9
MHK,8
CCL,1
ATO,10
IDXX,0
