,0
POOL,0
MKC,5
AOS,6
AXP,3
CME,3
EQR,10
BKR,2
FDX,1
MET,4
MRK,5
MAA,10
ISRG,9
GOOGL,9
PEAK,10
CMCSA,6
TT,1
JPM,4
REGN,9
DHI,3
HUM,6
MDT,8
DIS,6
DE,0
F,6
C,4
EXC,7
SCHW,0
WYNN,2
PLD,10
AAL,2
DVN,2
AEE,7
AMZN,9
TDY,8
PENN,2
IP,0
OMC,6
VFC,1
MSCI,5
A,5
USB,4
UNH,0
IT,2
ETR,7
DVA,6
HSY,10
NEE,7
FFIV,2
BIIB,9
KO,10
MSI,5
KMB,10
FTNT,5
EL,5
ABC,0
CF,3
LKQ,6
TMUS,8
ABT,5
PSX,6
LMT,6
ESS,10
APD,10
PSA,10
AMAT,8
HCA,6
ORLY,6
KEY,4
KLAC,8
GL,4
PCAR,1
CBOE,9
PRU,4
FE,7
LEG,1
PHM,3
NOC,6
BBWI,0
MCK,9
CPB,9
KR,0
DGX,10
TJX,0
GRMN,0
PKG,1
FISV,3
OXY,6
FITB,4
CBRE,5
WAB,6
KMX,0
RSG,9
ADM,6
PEP,10
IRM,10
LOW,1
CL,10
TXT,0
MCO,5
DUK,7
NKE,1
PAYX,9
IFF,10
MSFT,8
CTRA,0
MA,9
PVH,1
TSN,3
DXC,2
VTRS,8
MTD,5
MLM,6
SO,7
ETN,0
STT,4
GD,0
CMS,7
SRE,10
MMC,5
AIZ,3
NOW,8
TGT,5
BRK-B,9
MRO,2
NXPI,9
WFC,4
EXR,10
NTAP,2
BDX,5
AJG,5
WY,10
EOG,2
XYL,1
PH,1
IPG,6
DLTR,5
TDG,6
LUV,0
AFL,4
AVGO,2
LLY,0
CAG,9
ODFL,6
ZBH,8
KMI,6
LUMN,5
PGR,5
ROL,9
PNC,4
DRE,10
EQIX,0
LRCX,8
VMC,3
TRMB,2
HPQ,3
ADP,0
ARE,10
PTC,0
HD,6
NSC,1
TXN,8
SEE,3
WRB,9
SBUX,3
ADBE,8
DAL,9
GPS,6
AMGN,5
JBHT,1
COF,4
NRG,6
CINF,9
WDC,0
NLSN,6
WU,5
NTRS,4
TEL,0
DLR,10
JKHY,5
K,10
EFX,6
APA,2
CAT,1
HIG,0
UHS,0
LH,6
RMD,5
TER,8
DTE,7
BR,5
GOOG,9
RF,4
BK,4
PPG,1
NEM,3
UDR,10
WM,10
JNPR,1
PFG,3
DPZ,9
BBY,1
GPC,1
ZBRA,9
MOS,2
AAP,6
MGM,2
XRAY,6
ULTA,5
BRO,8
BLL,9
SHW,5
EXPD,1
APTV,2
URI,2
AMCR,0
CCI,10
AKAM,0
AMP,4
PNR,2
VRSN,5
GM,2
HAL,2
SNA,1
PXD,2
AMT,7
TYL,5
HBAN,4
SWKS,8
CI,6
XEL,7
BF-B,10
HSIC,6
ALK,0
DOV,1
UAA,0
PG,10
SJM,5
CMA,4
ADI,8
ECL,0
GS,4
WHR,6
TRV,9
AVY,0
ADSK,5
UPS,1
MDLZ,10
PWR,1
SBAC,10
UAL,9
CDNS,8
MAS,0
BA,0
ROP,0
LDOS,8
IEX,5
GPN,5
PKI,5
BWA,1
YUM,3
ES,7
MKTX,9
UNP,1
FCX,2
RCL,6
CMI,6
JCI,0
PFE,9
EXPE,6
FRC,4
FIS,5
EMR,1
GLW,0
CNP,10
OKE,2
KIM,3
FBHS,3
DISH,6
AES,6
HON,5
EVRG,7
MTCH,5
TFX,5
GILD,9
CHRW,0
MO,10
REG,10
MMM,0
GIS,10
INTU,5
ROK,1
HOLX,5
LHX,9
COP,2
AME,1
MCD,10
PNW,7
COO,5
ILMN,9
PEG,7
GWW,1
O,10
HAS,1
ANSS,8
GE,2
RL,1
VZ,0
CSCO,9
CMG,8
AZO,6
VTR,10
EBAY,6
APH,3
BIO,8
CPRT,9
STE,0
DISCA,6
TAP,6
MPC,0
MPWR,8
NDAQ,9
NI,7
ORCL,0
CSX,1
PBCT,4
PM,9
ANTM,5
VRSK,9
DFS,4
CHD,10
DG,9
MCHP,8
TMO,5
EMN,1
RJF,4
JNJ,0
AWK,7
BMY,0
CVS,6
IVZ,4
ROST,0
NLOK,1
XOM,8
AMD,8
IPGP,1
ATVI,2
HST,9
TPR,3
TECH,9
WEC,7
NVDA,9
CLX,10
CHTR,9
HRL,0
L,9
FRT,10
BAC,4
CRM,9
WST,8
CTXS,0
EA,2
ENPH,0
WELL,10
BLK,0
V,9
ZION,4
CE,3
BXP,6
NWL,6
WBA,9
GNRC,5
WMT,9
FLT,2
SPG,10
ALB,2
WAT,5
HBI,0
DXCM,8
EIX,3
DISCK,6
CAH,0
VLO,0
HES,2
DD,0
FMC,3
LYB,3
SYK,9
WMB,2
FAST,0
MS,4
TROW,3
SWK,1
ABMD,6
CRL,6
VRTX,8
TSLA,3
CB,9
VNO,9
T,6
INCY,8
EW,3
MHK,3
CCL,9
ATO,7
IDXX,5
DRI,0
NUE,0
SYY,3
MNST,9
STZ,3
FANG,2
RHI,1
DHR,5
ICE,0
AAPL,8
CTAS,1
D,7
ACN,9
IBM,0
INTC,8
BKNG,9
COST,9
AON,0
STX,5
ED,7
LEN,3
NFLX,0
HII,8
ALL,0
ITW,1
BSX,5
CNC,0
ALGN,8
SLB,2
RE,9
TTWO,5
SIVB,4
QCOM,8
MTB,4
AVB,10
NVR,3
LYV,6
LVS,2
LNC,4
BAX,5
SNPS,8
PPL,7
TSCO,1
LNT,7
CTSH,0
CERN,3
TFC,4
BEN,0
LIN,3
AIG,3
AEP,7
FB,9
CVX,2
SPGI,9
J,0
MAR,2
MU,8
RTX,0
