,0
POOL,7
MKC,10
AOS,6
AXP,0
CME,3
EQR,1
BKR,6
FDX,8
MET,3
MRK,10
MAA,1
ISRG,2
GOOGL,8
PEAK,10
CMCSA,4
TT,8
JPM,3
REGN,1
DHI,0
HUM,0
MDT,7
DIS,2
DE,2
F,0
C,8
EXC,9
SCHW,3
WYNN,2
PLD,1
AAL,2
DVN,0
AEE,9
AMZN,2
TDY,0
PENN,2
IP,4
OMC,0
VFC,8
MSCI,0
A,2
USB,3
UNH,3
IT,8
ETR,9
DVA,8
HSY,5
NEE,9
FFIV,0
BIIB,8
KO,10
MSI,8
KMB,10
FTNT,1
EL,7
ABC,2
CF,5
LKQ,0
TMUS,0
ABT,8
PSX,5
LMT,2
ESS,1
APD,6
PSA,1
AMAT,4
HCA,2
ORLY,8
KEY,3
KLAC,4
GL,4
PCAR,6
CBOE,8
PRU,3
FE,0
LEG,7
PHM,0
NOC,2
BBWI,2
MCK,2
CPB,10
KR,10
DGX,4
TJX,10
GRMN,5
PKG,8
FISV,4
OXY,6
FITB,3
CBRE,6
WAB,2
KMX,8
RSG,0
ADM,4
PEP,10
IRM,5
LOW,2
CL,10
TXT,0
MCO,7
DUK,9
NKE,8
PAYX,7
IFF,10
MSFT,5
CTRA,8
MA,7
PVH,8
TSN,4
DXC,8
VTRS,4
MTD,7
MLM,6
SO,9
ETN,6
STT,3
GD,2
CMS,9
SRE,9
MMC,3
AIZ,5
NOW,2
TGT,10
BRK-B,3
MRO,6
NXPI,8
WFC,3
EXR,1
NTAP,5
BDX,8
AJG,5
WY,7
EOG,4
XYL,2
PH,6
IPG,5
DLTR,10
TDG,5
LUV,7
AFL,3
AVGO,0
LLY,4
CAG,5
ODFL,8
ZBH,4
KMI,5
LUMN,0
PGR,6
ROL,5
PNC,0
DRE,1
EQIX,1
LRCX,4
VMC,6
TRMB,5
HPQ,5
ADP,10
ARE,1
PTC,5
HD,5
NSC,1
TXN,4
SEE,2
WRB,3
SBUX,0
ADBE,2
DAL,8
GPS,7
AMGN,7
JBHT,8
COF,0
NRG,6
CINF,3
WDC,5
NLSN,2
WU,10
NTRS,3
TEL,4
DLR,8
JKHY,8
K,7
EFX,7
APA,5
CAT,6
HIG,6
UHS,2
LH,3
RMD,10
TER,4
DTE,9
BR,0
GOOG,8
RF,3
BK,3
PPG,6
NEM,0
UDR,1
WM,6
JNPR,5
PFG,3
DPZ,6
BBY,2
GPC,0
ZBRA,0
MOS,6
AAP,0
MGM,2
XRAY,4
ULTA,8
BRO,5
BLL,2
SHW,7
EXPD,4
APTV,8
URI,8
AMCR,10
CCI,8
AKAM,5
AMP,3
PNR,8
VRSN,8
GM,3
HAL,6
SNA,6
PXD,6
AMT,1
TYL,7
HBAN,3
SWKS,3
CI,10
XEL,9
BF-B,10
HSIC,4
ALK,5
DOV,6
UAA,8
PG,10
SJM,10
CMA,3
ADI,4
ECL,6
GS,3
WHR,6
TRV,10
AVY,4
ADSK,5
UPS,5
MDLZ,10
PWR,5
SBAC,2
UAL,5
CDNS,0
MAS,0
BA,6
ROP,7
LDOS,5
IEX,5
GPN,6
PKI,8
BWA,5
YUM,0
ES,9
MKTX,1
UNP,6
FCX,6
RCL,2
CMI,6
JCI,4
PFE,4
EXPE,2
FRC,5
FIS,3
EMR,6
GLW,4
CNP,9
OKE,8
KIM,1
FBHS,0
DISH,1
AES,0
HON,6
EVRG,9
MTCH,8
TFX,5
GILD,0
CHRW,4
MO,10
REG,1
MMM,6
GIS,10
INTU,3
ROK,6
HOLX,7
LHX,8
COP,6
AME,6
MCD,0
PNW,9
COO,2
ILMN,7
PEG,9
GWW,0
O,1
HAS,7
ANSS,7
GE,0
RL,2
VZ,0
CSCO,2
CMG,8
AZO,8
VTR,10
EBAY,0
APH,7
BIO,2
CPRT,0
STE,5
DISCA,5
TAP,0
MPC,5
MPWR,0
NDAQ,5
NI,0
ORCL,5
CSX,1
PBCT,0
PM,10
ANTM,3
VRSK,5
DFS,2
CHD,10
DG,10
MCHP,4
TMO,2
EMN,6
RJF,3
JNJ,10
AWK,9
BMY,1
CVS,10
IVZ,0
ROST,7
NLOK,5
XOM,6
AMD,4
IPGP,8
ATVI,5
HST,5
TPR,0
TECH,7
WEC,9
NVDA,4
CLX,10
CHTR,0
HRL,10
L,3
FRT,1
BAC,3
CRM,1
WST,7
CTXS,4
EA,4
ENPH,8
WELL,2
BLK,5
V,3
ZION,0
CE,2
BXP,1
NWL,8
WBA,10
GNRC,8
WMT,10
FLT,4
SPG,1
ALB,6
WAT,7
HBI,5
DXCM,5
EIX,9
DISCK,5
CAH,2
VLO,5
HES,5
DD,2
FMC,7
LYB,5
SYK,4
WMB,5
FAST,1
MS,1
TROW,7
SWK,6
ABMD,5
CRL,8
VRTX,0
TSLA,8
CB,2
VNO,1
T,4
INCY,0
EW,5
MHK,1
CCL,2
ATO,5
IDXX,8
DRI,4
NUE,4
SYY,10
MNST,2
STZ,7
FANG,6
RHI,0
DHR,2
ICE,8
AAPL,8
CTAS,7
D,9
ACN,5
IBM,5
INTC,4
BKNG,2
COST,10
AON,7
STX,5
ED,9
LEN,0
NFLX,2
HII,5
ALL,7
ITW,2
BSX,4
CNC,2
ALGN,8
SLB,7
RE,8
TTWO,0
