,0
POOL,0
MKC,4
AOS,1
AXP,8
CME,9
EQR,7
BKR,6
FDX,5
MET,3
MRK,1
MAA,7
ISRG,0
GOOGL,10
PEAK,4
CMCSA,10
TT,5
JPM,3
REGN,10
DHI,9
HUM,1
MDT,4
DIS,9
DE,5
F,8
C,3
EXC,2
SCHW,3
WYNN,8
PLD,7
AAL,8
DVN,6
AEE,2
AMZN,0
TDY,9
PENN,0
IP,5
OMC,10
VFC,1
MSCI,9
A,8
USB,3
UNH,1
IT,0
ETR,2
DVA,7
HSY,10
NEE,2
FFIV,0
BIIB,0
KO,4
MSI,1
KMB,4
FTNT,8
EL,4
ABC,10
CF,5
LKQ,4
TMUS,8
ABT,0
PSX,6
LMT,10
ESS,7
APD,5
PSA,9
AMAT,0
HCA,1
ORLY,10
KEY,3
KLAC,10
GL,9
PCAR,5
CBOE,9
PRU,3
FE,2
LEG,1
PHM,1
NOC,10
BBWI,1
MCK,4
CPB,4
KR,1
DGX,6
TJX,1
GRMN,8
PKG,8
FISV,10
OXY,6
FITB,3
CBRE,7
WAB,7
KMX,8
RSG,10
ADM,8
PEP,4
IRM,8
LOW,10
CL,4
TXT,5
MCO,9
DUK,2
NKE,1
PAYX,10
IFF,4
MSFT,0
CTRA,6
MA,9
PVH,5
TSN,4
DXC,1
VTRS,4
MTD,0
MLM,1
SO,2
ETN,5
STT,3
GD,9
CMS,2
SRE,2
MMC,9
AIZ,9
NOW,0
TGT,4
BRK-B,9
MRO,6
NXPI,9
WFC,3
EXR,9
NTAP,8
BDX,0
AJG,8
WY,4
EOG,6
XYL,7
PH,5
IPG,4
DLTR,1
TDG,1
LUV,9
AFL,1
AVGO,8
LLY,0
CAG,4
ODFL,5
ZBH,0
KMI,6
LUMN,8
PGR,4
ROL,4
PNC,3
DRE,7
EQIX,4
LRCX,10
VMC,1
TRMB,8
HPQ,0
ADP,9
ARE,7
PTC,0
HD,10
NSC,5
TXN,8
SEE,5
WRB,9
SBUX,4
ADBE,10
DAL,1
GPS,7
AMGN,10
JBHT,4
COF,3
NRG,1
CINF,7
WDC,0
NLSN,7
WU,4
NTRS,3
TEL,7
DLR,4
JKHY,1
K,4
EFX,4
APA,6
CAT,5
HIG,9
UHS,1
LH,7
RMD,10
TER,0
DTE,2
BR,9
GOOG,10
RF,3
BK,3
PPG,5
NEM,8
UDR,7
WM,10
JNPR,0
PFG,3
DPZ,8
BBY,4
GPC,9
ZBRA,0
MOS,8
AAP,1
MGM,9
XRAY,10
ULTA,10
BRO,4
BLL,0
SHW,8
EXPD,9
APTV,8
URI,0
AMCR,10
CCI,7
AKAM,1
AMP,3
PNR,7
VRSN,10
GM,8
HAL,6
SNA,9
PXD,6
AMT,1
TYL,10
HBAN,3
SWKS,10
CI,7
XEL,2
BF-B,1
HSIC,10
ALK,9
DOV,5
UAA,7
PG,4
SJM,4
CMA,3
ADI,10
ECL,10
GS,3
WHR,8
TRV,9
AVY,9
ADSK,10
UPS,10
MDLZ,10
PWR,5
SBAC,8
UAL,8
CDNS,0
MAS,8
BA,4
ROP,1
LDOS,9
IEX,7
GPN,8
PKI,8
BWA,7
YUM,1
ES,2
MKTX,1
UNP,5
FCX,8
RCL,5
CMI,5
JCI,8
PFE,9
EXPE,8
FRC,3
FIS,10
EMR,5
GLW,8
CNP,5
OKE,6
KIM,7
FBHS,1
DISH,8
AES,6
HON,9
EVRG,2
MTCH,0
TFX,7
GILD,5
CHRW,9
MO,4
REG,7
MMM,9
GIS,4
INTU,0
ROK,5
HOLX,0
LHX,0
COP,6
AME,5
MCD,9
PNW,2
COO,10
ILMN,10
PEG,2
GWW,5
O,2
HAS,1
ANSS,4
GE,1
RL,8
VZ,6
CSCO,0
CMG,9
AZO,10
VTR,7
EBAY,0
APH,1
BIO,8
CPRT,8
STE,0
DISCA,1
TAP,4
MPC,0
MPWR,8
NDAQ,9
NI,2
ORCL,8
CSX,5
PBCT,3
PM,4
ANTM,1
VRSK,10
DFS,3
CHD,4
DG,4
MCHP,8
TMO,0
EMN,8
RJF,3
JNJ,9
AWK,2
BMY,0
CVS,1
IVZ,5
ROST,4
NLOK,1
XOM,6
AMD,7
IPGP,7
ATVI,10
HST,8
TPR,7
TECH,10
WEC,2
NVDA,9
CLX,4
CHTR,8
HRL,4
L,3
FRT,7
BAC,3
CRM,0
WST,9
CTXS,0
EA,0
ENPH,1
WELL,4
BLK,9
V,9
ZION,3
CE,5
BXP,7
NWL,10
WBA,1
GNRC,1
WMT,5
FLT,0
SPG,7
ALB,8
WAT,9
HBI,0
DXCM,0
EIX,2
DISCK,1
CAH,0
VLO,7
HES,6
DD,5
FMC,8
LYB,5
SYK,8
WMB,5
FAST,5
MS,3
TROW,9
SWK,5
ABMD,0
CRL,1
VRTX,8
TSLA,1
CB,9
VNO,7
T,5
INCY,8
EW,10
MHK,7
CCL,9
ATO,2
IDXX,4
DRI,4
NUE,5
SYY,7
MNST,4
STZ,4
FANG,6
RHI,1
DHR,9
ICE,9
AAPL,0
CTAS,9
D,2
ACN,8
IBM,5
INTC,10
BKNG,4
COST,4
AON,6
STX,0
ED,2
LEN,9
NFLX,8
HII,4
ALL,9
ITW,5
BSX,10
CNC,0
ALGN,0
SLB,6
RE,9
TTWO,8
SIVB,3
QCOM,8
MTB,3
AVB,7
NVR,4
LYV,9
LVS,8
LNC,3
BAX,0
SNPS,1
PPL,2
TSCO,9
LNT,2
CTSH,10
CERN,0
TFC,3
BEN,7
LIN,5
AIG,7
AEP,2
FB,10
CVX,6
SPGI,0
J,7
MAR,9
MU,8
RTX,9
