,0
POOL,4
MKC,4
AOS,4
AXP,6
CME,6
EQR,9
BKR,10
FDX,3
MET,2
MRK,8
MAA,9
ISRG,3
GOOGL,7
PEAK,9
CMCSA,1
TT,4
JPM,2
REGN,10
DHI,3
HUM,3
MDT,8
DIS,6
DE,3
F,6
C,2
EXC,0
SCHW,2
WYNN,3
PLD,9
AAL,1
DVN,10
AEE,0
AMZN,7
TDY,4
PENN,1
IP,6
OMC,4
VFC,1
MSCI,7
A,8
USB,2
UNH,5
IT,1
ETR,0
DVA,5
HSY,6
NEE,0
FFIV,7
BIIB,5
KO,6
MSI,6
KMB,0
FTNT,7
EL,4
ABC,5
CF,4
LKQ,3
TMUS,1
ABT,8
PSX,8
LMT,4
ESS,9
APD,8
PSA,9
AMAT,7
HCA,3
ORLY,1
KEY,2
KLAC,7
GL,2
PCAR,1
CBOE,7
PRU,2
FE,0
LEG,1
PHM,3
NOC,5
BBWI,1
MCK,8
CPB,6
KR,3
DGX,5
TJX,3
GRMN,1
PKG,1
FISV,3
OXY,10
FITB,2
CBRE,7
WAB,3
KMX,6
RSG,8
ADM,5
PEP,9
IRM,9
LOW,1
CL,6
TXT,1
MCO,7
DUK,0
NKE,1
PAYX,5
IFF,8
MSFT,7
CTRA,3
MA,7
PVH,3
TSN,8
DXC,1
VTRS,4
MTD,5
MLM,1
SO,0
ETN,1
STT,2
GD,4
CMS,0
SRE,0
MMC,6
AIZ,5
NOW,7
TGT,1
BRK-B,6
MRO,10
NXPI,7
WFC,2
EXR,1
NTAP,1
BDX,8
AJG,6
WY,4
EOG,10
XYL,4
PH,1
IPG,6
DLTR,3
TDG,4
LUV,10
AFL,6
AVGO,4
LLY,10
CAG,6
ODFL,3
ZBH,8
KMI,10
LUMN,4
PGR,6
ROL,5
PNC,2
DRE,9
EQIX,4
LRCX,7
VMC,3
TRMB,5
HPQ,1
ADP,6
ARE,9
PTC,7
HD,8
NSC,1
TXN,7
SEE,5
WRB,6
SBUX,4
ADBE,7
DAL,1
GPS,1
AMGN,4
JBHT,3
COF,1
NRG,4
CINF,6
WDC,1
NLSN,4
WU,4
NTRS,2
TEL,8
DLR,9
JKHY,5
K,0
EFX,5
APA,10
CAT,1
HIG,6
UHS,1
LH,8
RMD,1
TER,7
DTE,0
BR,7
GOOG,7
RF,2
BK,2
PPG,6
NEM,3
UDR,9
WM,8
JNPR,1
PFG,2
DPZ,7
BBY,1
GPC,3
ZBRA,1
MOS,10
AAP,1
MGM,5
XRAY,8
ULTA,5
BRO,5
BLL,8
SHW,1
EXPD,3
APTV,7
URI,3
AMCR,1
CCI,4
AKAM,7
AMP,4
PNR,1
VRSN,7
GM,6
HAL,10
SNA,6
PXD,10
AMT,4
TYL,7
HBAN,2
SWKS,7
CI,3
XEL,0
BF-B,8
HSIC,3
ALK,1
DOV,1
UAA,3
PG,9
SJM,9
CMA,2
ADI,7
ECL,8
GS,2
WHR,5
TRV,6
AVY,1
ADSK,7
UPS,1
MDLZ,4
PWR,1
SBAC,1
UAL,1
CDNS,7
MAS,1
BA,4
ROP,1
LDOS,5
IEX,1
GPN,3
PKI,5
BWA,4
YUM,6
ES,0
MKTX,8
UNP,3
FCX,10
RCL,8
CMI,1
JCI,7
PFE,8
EXPE,7
FRC,2
FIS,7
EMR,1
GLW,4
CNP,0
OKE,10
KIM,9
FBHS,3
DISH,4
AES,0
HON,8
EVRG,0
MTCH,7
TFX,5
GILD,10
CHRW,3
MO,0
REG,9
MMM,1
GIS,4
INTU,1
ROK,1
HOLX,5
LHX,5
COP,10
AME,1
MCD,6
PNW,0
COO,5
ILMN,5
PEG,0
GWW,1
O,9
HAS,3
ANSS,7
GE,8
RL,3
VZ,6
CSCO,4
CMG,5
AZO,1
VTR,9
EBAY,5
APH,7
BIO,5
CPRT,4
STE,5
DISCA,8
TAP,6
MPC,1
MPWR,7
NDAQ,6
NI,0
ORCL,7
CSX,3
PBCT,2
PM,1
ANTM,5
VRSK,8
DFS,6
CHD,9
DG,1
MCHP,7
TMO,8
EMN,1
RJF,4
JNJ,8
AWK,0
BMY,6
CVS,8
IVZ,2
ROST,1
NLOK,1
XOM,10
AMD,7
IPGP,7
ATVI,7
HST,7
TPR,3
TECH,5
WEC,0
NVDA,7
CLX,9
CHTR,8
HRL,9
L,6
FRT,9
BAC,2
CRM,7
WST,5
CTXS,7
EA,7
ENPH,4
WELL,9
BLK,6
V,7
ZION,2
CE,1
BXP,9
NWL,5
WBA,4
GNRC,3
WMT,6
FLT,7
SPG,9
ALB,1
WAT,3
HBI,3
DXCM,5
EIX,0
DISCK,8
CAH,5
VLO,4
HES,10
DD,1
FMC,6
LYB,10
SYK,8
WMB,10
FAST,1
MS,2
TROW,1
SWK,1
ABMD,5
CRL,5
VRTX,5
TSLA,3
CB,8
VNO,9
T,5
INCY,5
EW,5
MHK,7
CCL,6
ATO,0
IDXX,7
DRI,3
NUE,8
SYY,6
MNST,1
STZ,3
FANG,10
RHI,1
DHR,8
ICE,6
AAPL,7
CTAS,1
D,0
ACN,8
IBM,4
INTC,7
BKNG,1
COST,5
AON,6
STX,1
ED,0
LEN,7
NFLX,3
HII,6
ALL,8
ITW,1
BSX,8
CNC,3
ALGN,5
SLB,10
RE,4
TTWO,7
SIVB,2
QCOM,4
MTB,2
AVB,9
NVR,3
LYV,5
LVS,3
LNC,2
BAX,7
SNPS,7
PPL,0
TSCO,1
LNT,0
CTSH,5
CERN,8
TFC,2
BEN,4
LIN,8
AIG,6
AEP,0
FB,7
CVX,10
SPGI,7
J,4
MAR,1
MU,7
RTX,1
