Date,close,open,high,low,volume,adjclose
2012-05-14,1338.3499755859375,1351.9300537109375,1351.9300537109375,1336.6099853515625,3688120000,1338.3499755859375
2012-05-15,1330.6600341796875,1338.3599853515625,1344.93994140625,1328.4100341796875,4114040000,1330.6600341796875
2012-05-16,1324.800048828125,1330.780029296875,1341.780029296875,1324.7900390625,4280420000,1324.800048828125
2012-05-17,1304.8599853515625,1324.8199462890625,1326.3599853515625,1304.8599853515625,4664280000,1304.8599853515625
2012-05-18,1295.219970703125,1305.050048828125,1312.239990234375,1291.97998046875,4512470000,1295.219970703125
2012-05-21,1315.989990234375,1295.72998046875,1316.3900146484375,1295.72998046875,3786750000,1315.989990234375
2012-05-22,1316.6300048828125,1316.0899658203125,1328.489990234375,1310.0400390625,4123680000,1316.6300048828125
2012-05-23,1318.8599853515625,1316.02001953125,1320.7099609375,1296.530029296875,4108330000,1318.8599853515625
2012-05-24,1320.6800537109375,1318.719970703125,1324.1400146484375,1310.5,3937670000,1320.6800537109375
2012-05-25,1317.8199462890625,1320.81005859375,1324.199951171875,1314.22998046875,2872660000,1317.8199462890625
2012-05-29,1332.4200439453125,1318.9000244140625,1334.9300537109375,1318.9000244140625,3441640000,1332.4200439453125
2012-05-30,1313.3199462890625,1331.25,1331.25,1310.760009765625,3534290000,1313.3199462890625
2012-05-31,1310.3299560546875,1313.0899658203125,1319.739990234375,1298.9000244140625,4557620000,1310.3299560546875
2012-06-01,1278.0400390625,1309.8699951171875,1309.8699951171875,1277.25,4669350000,1278.0400390625
2012-06-04,1278.1800537109375,1278.2900390625,1282.550048828125,1266.739990234375,4011960000,1278.1800537109375
2012-06-05,1285.5,1277.8199462890625,1287.6199951171875,1274.1600341796875,3403230000,1285.5
2012-06-06,1315.1300048828125,1285.6099853515625,1315.1300048828125,1285.6099853515625,4268360000,1315.1300048828125
2012-06-07,1314.989990234375,1316.1500244140625,1329.050048828125,1312.6800537109375,4258140000,1314.989990234375
2012-06-08,1325.6600341796875,1314.989990234375,1325.81005859375,1307.77001953125,3497190000,1325.6600341796875
2012-06-11,1308.9300537109375,1325.719970703125,1335.52001953125,1307.72998046875,3537530000,1308.9300537109375
2012-06-12,1324.1800537109375,1309.4000244140625,1324.31005859375,1306.6199951171875,3442920000,1324.1800537109375
2012-06-13,1314.8800048828125,1324.02001953125,1327.280029296875,1310.510009765625,3506510000,1314.8800048828125
2012-06-14,1329.0999755859375,1314.8800048828125,1333.6800537109375,1314.1400146484375,3687720000,1329.0999755859375
2012-06-15,1342.8399658203125,1329.18994140625,1343.3199462890625,1329.18994140625,4401570000,1342.8399658203125
2012-06-18,1344.780029296875,1342.4200439453125,1348.219970703125,1334.4599609375,3259430000,1344.780029296875
2012-06-19,1357.97998046875,1344.8299560546875,1363.4599609375,1344.8299560546875,3815350000,1357.97998046875
2012-06-20,1355.68994140625,1358.0400390625,1361.5699462890625,1346.449951171875,3695700000,1355.68994140625
2012-06-21,1325.510009765625,1355.4300537109375,1358.27001953125,1324.4100341796875,4094470000,1325.510009765625
2012-06-22,1335.02001953125,1325.9200439453125,1337.8199462890625,1325.9200439453125,5271490000,1335.02001953125
2012-06-25,1313.719970703125,1334.9000244140625,1334.9000244140625,1309.27001953125,3501820000,1313.719970703125
2012-06-26,1319.989990234375,1314.0899658203125,1324.239990234375,1310.300048828125,3412940000,1319.989990234375
2012-06-27,1331.8499755859375,1320.7099609375,1334.4000244140625,1320.7099609375,3286910000,1331.8499755859375
2012-06-28,1329.0400390625,1331.52001953125,1331.52001953125,1313.2900390625,3969370000,1329.0400390625
2012-06-29,1362.1600341796875,1330.1199951171875,1362.1700439453125,1330.1199951171875,4590480000,1362.1600341796875
2012-07-02,1365.510009765625,1362.3299560546875,1366.3499755859375,1355.699951171875,3301650000,1365.510009765625
2012-07-03,1374.02001953125,1365.75,1374.81005859375,1363.530029296875,2116390000,1374.02001953125
2012-07-05,1367.5799560546875,1373.719970703125,1373.8499755859375,1363.02001953125,3041520000,1367.5799560546875
2012-07-06,1354.6800537109375,1367.0899658203125,1367.0899658203125,1348.030029296875,2745140000,1354.6800537109375
2012-07-09,1352.4599609375,1354.6600341796875,1354.8699951171875,1346.6500244140625,2904860000,1352.4599609375
2012-07-10,1341.469970703125,1352.9599609375,1361.5400390625,1336.27001953125,3470600000,1341.469970703125
2012-07-11,1341.449951171875,1341.4000244140625,1345.0,1333.25,3426290000,1341.449951171875
2012-07-12,1334.760009765625,1341.2900390625,1341.2900390625,1325.4100341796875,3654440000,1334.760009765625
2012-07-13,1356.780029296875,1334.81005859375,1357.699951171875,1334.81005859375,3212930000,1356.780029296875
2012-07-16,1353.6400146484375,1356.5,1357.260009765625,1348.510009765625,2862720000,1353.6400146484375
2012-07-17,1363.6700439453125,1353.6800537109375,1365.3599853515625,1345.0699462890625,3566680000,1363.6700439453125
2012-07-18,1372.780029296875,1363.5799560546875,1375.260009765625,1358.9599609375,3642630000,1372.780029296875
2012-07-19,1376.510009765625,1373.010009765625,1380.3900146484375,1371.2099609375,4043360000,1376.510009765625
2012-07-20,1362.6600341796875,1376.510009765625,1376.510009765625,1362.18994140625,3925020000,1362.6600341796875
2012-07-23,1350.52001953125,1362.3399658203125,1362.3399658203125,1337.56005859375,3717180000,1350.52001953125
2012-07-24,1338.31005859375,1350.52001953125,1351.530029296875,1329.239990234375,3891290000,1338.31005859375
2012-07-25,1337.8900146484375,1338.3499755859375,1343.97998046875,1331.5,3719170000,1337.8900146484375
2012-07-26,1360.02001953125,1338.1700439453125,1363.1300048828125,1338.1700439453125,4429300000,1360.02001953125
