,0
POOL,1
MKC,1
AOS,2
AXP,8
CME,8
EQR,10
BKR,3
FDX,2
MET,5
MRK,8
MAA,10
ISRG,3
GOOGL,9
PEAK,10
CMCSA,7
TT,2
JPM,5
REGN,3
DHI,1
HUM,1
MDT,4
DIS,7
DE,1
F,8
C,5
EXC,0
SCHW,5
WYNN,2
PLD,10
AAL,3
DVN,7
AEE,0
AMZN,3
TDY,4
PENN,3
IP,6
OMC,8
VFC,2
MSCI,9
A,1
USB,5
UNH,4
IT,4
ETR,0
DVA,4
HSY,3
NEE,0
FFIV,3
BIIB,3
KO,6
MSI,8
KMB,10
FTNT,9
EL,8
ABC,4
CF,7
LKQ,6
TMUS,4
ABT,8
PSX,2
LMT,8
ESS,10
APD,8
PSA,10
AMAT,9
HCA,6
ORLY,2
KEY,5
KLAC,9
GL,5
PCAR,1
CBOE,6
PRU,5
FE,0
LEG,2
PHM,1
NOC,8
BBWI,1
MCK,3
CPB,0
KR,1
DGX,6
TJX,4
GRMN,1
PKG,3
FISV,9
OXY,7
FITB,5
CBRE,8
WAB,2
KMX,2
RSG,8
ADM,10
PEP,8
IRM,10
LOW,4
CL,3
TXT,2
MCO,8
DUK,0
NKE,8
PAYX,6
IFF,8
MSFT,9
CTRA,1
MA,9
PVH,1
TSN,8
DXC,1
VTRS,7
MTD,4
MLM,2
SO,0
ETN,2
STT,5
GD,2
CMS,0
SRE,0
MMC,6
AIZ,7
NOW,9
TGT,1
BRK-B,8
MRO,7
NXPI,3
WFC,5
EXR,0
NTAP,3
BDX,8
AJG,6
WY,6
EOG,7
XYL,2
PH,2
IPG,1
DLTR,8
TDG,4
LUV,3
AFL,8
AVGO,8
LLY,3
CAG,7
ODFL,10
ZBH,6
KMI,7
LUMN,4
PGR,3
ROL,6
PNC,5
DRE,10
EQIX,9
LRCX,9
VMC,4
TRMB,6
HPQ,1
ADP,3
ARE,10
PTC,3
HD,1
NSC,1
TXN,1
SEE,6
WRB,6
SBUX,8
ADBE,9
DAL,3
GPS,2
AMGN,8
JBHT,2
COF,2
NRG,10
CINF,6
WDC,1
NLSN,8
WU,8
NTRS,5
TEL,8
DLR,10
JKHY,4
K,6
EFX,4
APA,7
CAT,1
HIG,8
UHS,2
LH,1
RMD,3
TER,1
DTE,0
BR,9
GOOG,9
RF,5
BK,5
PPG,8
NEM,1
UDR,10
WM,8
JNPR,1
PFG,5
DPZ,9
BBY,6
GPC,1
ZBRA,9
MOS,10
AAP,6
MGM,3
XRAY,1
ULTA,4
BRO,6
BLL,8
SHW,1
EXPD,1
APTV,2
URI,1
AMCR,8
CCI,0
AKAM,6
AMP,2
PNR,2
VRSN,9
GM,6
HAL,7
SNA,2
PXD,7
AMT,0
TYL,9
HBAN,5
SWKS,9
CI,4
XEL,0
BF-B,10
HSIC,4
ALK,3
DOV,2
UAA,8
PG,1
SJM,10
CMA,5
ADI,1
ECL,8
GS,5
WHR,6
TRV,6
AVY,1
ADSK,9
UPS,3
MDLZ,8
PWR,2
SBAC,4
UAL,1
CDNS,1
MAS,1
BA,8
ROP,8
LDOS,6
IEX,1
GPN,9
PKI,4
BWA,1
YUM,8
ES,0
MKTX,8
UNP,2
FCX,3
RCL,9
CMI,4
JCI,6
PFE,8
EXPE,6
FRC,5
FIS,8
EMR,2
GLW,1
CNP,0
OKE,7
KIM,10
FBHS,6
DISH,4
AES,0
HON,2
EVRG,0
MTCH,6
TFX,4
GILD,4
CHRW,2
MO,6
REG,10
MMM,2
GIS,8
INTU,3
ROK,2
HOLX,4
LHX,6
COP,7
AME,1
MCD,6
PNW,0
COO,10
ILMN,4
PEG,0
GWW,1
O,10
HAS,6
ANSS,1
GE,8
RL,2
VZ,6
CSCO,9
CMG,3
AZO,4
VTR,10
EBAY,1
APH,1
BIO,4
CPRT,8
STE,4
DISCA,7
TAP,4
MPC,2
MPWR,9
NDAQ,8
NI,0
ORCL,9
CSX,7
PBCT,5
PM,3
ANTM,4
VRSK,8
DFS,8
CHD,10
DG,6
MCHP,9
TMO,1
EMN,2
RJF,2
JNJ,3
AWK,0
BMY,3
CVS,4
IVZ,2
ROST,4
NLOK,3
XOM,7
AMD,3
IPGP,4
ATVI,9
HST,6
TPR,4
TECH,4
WEC,0
NVDA,9
CLX,10
CHTR,3
HRL,8
L,8
FRT,10
BAC,5
CRM,9
WST,6
CTXS,9
EA,9
ENPH,8
WELL,10
BLK,2
V,9
ZION,5
CE,2
BXP,10
NWL,4
WBA,6
GNRC,2
WMT,8
FLT,6
SPG,10
ALB,1
WAT,1
HBI,4
DXCM,10
EIX,0
DISCK,7
CAH,4
VLO,2
HES,7
DD,3
FMC,3
LYB,4
SYK,4
WMB,7
FAST,2
MS,5
TROW,2
SWK,1
ABMD,6
CRL,1
VRTX,6
TSLA,7
CB,8
VNO,10
T,6
INCY,3
EW,9
MHK,6
CCL,2
ATO,0
IDXX,9
DRI,3
NUE,1
SYY,3
MNST,8
STZ,4
FANG,7
RHI,2
DHR,8
ICE,8
AAPL,9
CTAS,8
D,0
ACN,9
IBM,8
INTC,9
BKNG,1
COST,3
AON,8
STX,1
ED,0
LEN,1
NFLX,9
HII,4
ALL,6
ITW,2
BSX,9
CNC,1
ALGN,1
SLB,3
RE,1
TTWO,9
SIVB,5
QCOM,1
MTB,5
AVB,10
NVR,1
LYV,4
LVS,4
LNC,5
BAX,6
SNPS,9
PPL,0
TSCO,2
LNT,0
CTSH,9
CERN,4
TFC,5
BEN,2
LIN,8
AIG,6
AEP,0
FB,8
CVX,7
SPGI,8
J,1
MAR,9
MU,1
RTX,8
