,0
POOL,9
MKC,4
AOS,8
AXP,1
CME,7
EQR,10
BKR,3
FDX,7
MET,1
MRK,0
MAA,10
ISRG,7
GOOGL,8
PEAK,10
CMCSA,7
TT,7
JPM,1
REGN,9
DHI,4
HUM,7
MDT,0
DIS,8
DE,4
F,6
C,1
EXC,2
SCHW,1
WYNN,7
PLD,10
AAL,5
DVN,3
AEE,2
AMZN,0
TDY,6
PENN,5
IP,7
OMC,7
VFC,9
MSCI,9
A,7
USB,1
UNH,0
IT,8
ETR,2
DVA,9
HSY,5
NEE,2
FFIV,0
BIIB,0
KO,4
MSI,5
KMB,4
FTNT,7
EL,7
ABC,0
CF,0
LKQ,5
TMUS,9
ABT,6
PSX,3
LMT,6
ESS,10
APD,7
PSA,7
AMAT,8
HCA,10
ORLY,4
KEY,1
KLAC,8
GL,1
PCAR,0
CBOE,7
PRU,1
FE,2
LEG,4
PHM,4
NOC,10
BBWI,5
MCK,0
CPB,10
KR,6
DGX,0
TJX,10
GRMN,0
PKG,5
FISV,9
OXY,3
FITB,1
CBRE,5
WAB,0
KMX,8
RSG,7
ADM,4
PEP,4
IRM,10
LOW,8
CL,4
TXT,5
MCO,7
DUK,2
NKE,7
PAYX,9
IFF,8
MSFT,7
CTRA,3
MA,7
PVH,10
TSN,4
DXC,5
VTRS,0
MTD,8
MLM,9
SO,2
ETN,0
STT,1
GD,5
CMS,2
SRE,2
MMC,10
AIZ,10
NOW,7
TGT,9
BRK-B,8
MRO,3
NXPI,5
WFC,1
EXR,10
NTAP,8
BDX,6
AJG,8
WY,8
EOG,3
XYL,6
PH,6
IPG,4
DLTR,7
TDG,5
LUV,5
AFL,0
AVGO,9
LLY,5
CAG,10
ODFL,0
ZBH,0
KMI,5
LUMN,9
PGR,9
ROL,10
PNC,1
DRE,10
EQIX,10
LRCX,8
VMC,9
TRMB,5
HPQ,6
ADP,9
ARE,10
PTC,5
HD,8
NSC,7
TXN,8
SEE,0
WRB,9
SBUX,6
ADBE,7
DAL,5
GPS,5
AMGN,0
JBHT,6
COF,1
NRG,9
CINF,9
WDC,7
NLSN,4
WU,4
NTRS,1
TEL,6
DLR,10
JKHY,8
K,4
EFX,9
APA,3
CAT,6
HIG,9
UHS,10
LH,0
RMD,0
TER,8
DTE,2
BR,8
GOOG,8
RF,1
BK,1
PPG,7
NEM,6
UDR,10
WM,7
JNPR,0
PFG,1
DPZ,7
BBY,8
GPC,4
ZBRA,8
MOS,5
AAP,8
MGM,5
XRAY,8
ULTA,9
BRO,7
BLL,8
SHW,0
EXPD,6
APTV,6
URI,6
AMCR,7
CCI,10
AKAM,7
AMP,1
PNR,5
VRSN,7
GM,5
HAL,3
SNA,8
PXD,3
AMT,0
TYL,7
HBAN,1
SWKS,8
CI,6
XEL,2
BF-B,9
HSIC,9
ALK,5
DOV,3
UAA,7
PG,4
SJM,4
CMA,1
ADI,8
ECL,5
GS,1
WHR,5
TRV,4
AVY,0
ADSK,8
UPS,7
MDLZ,0
PWR,3
SBAC,0
UAL,5
CDNS,8
MAS,10
BA,0
ROP,0
LDOS,6
IEX,4
GPN,8
PKI,6
BWA,6
YUM,5
ES,2
MKTX,5
UNP,4
FCX,5
RCL,0
CMI,0
JCI,6
PFE,0
EXPE,0
FRC,1
FIS,7
EMR,0
GLW,0
CNP,2
OKE,3
KIM,10
FBHS,4
DISH,5
AES,4
HON,7
EVRG,8
MTCH,5
TFX,0
GILD,8
CHRW,10
MO,4
REG,10
MMM,0
GIS,4
INTU,7
ROK,0
HOLX,0
LHX,0
COP,3
AME,4
MCD,7
PNW,2
COO,9
ILMN,5
PEG,2
GWW,4
O,10
HAS,5
ANSS,8
GE,4
RL,9
VZ,4
CSCO,8
CMG,6
AZO,7
VTR,10
EBAY,0
APH,4
BIO,9
CPRT,8
STE,5
DISCA,5
TAP,4
MPC,6
MPWR,8
NDAQ,9
NI,2
ORCL,8
CSX,7
PBCT,1
PM,4
ANTM,0
VRSK,5
DFS,1
CHD,7
DG,0
MCHP,8
TMO,6
EMN,0
RJF,1
JNJ,7
AWK,2
BMY,0
CVS,0
IVZ,0
ROST,8
NLOK,5
XOM,3
AMD,4
IPGP,0
ATVI,9
HST,9
TPR,5
TECH,8
WEC,2
NVDA,8
CLX,4
CHTR,5
HRL,4
L,9
FRT,10
BAC,1
CRM,8
WST,0
CTXS,7
EA,7
ENPH,6
WELL,10
BLK,8
V,7
ZION,1
CE,10
BXP,10
NWL,0
WBA,4
GNRC,5
WMT,9
FLT,7
SPG,10
ALB,7
WAT,7
HBI,0
DXCM,0
EIX,2
DISCK,5
CAH,0
VLO,6
HES,3
DD,7
FMC,9
LYB,3
SYK,9
WMB,3
FAST,0
MS,1
TROW,4
SWK,4
ABMD,8
CRL,5
VRTX,9
TSLA,8
CB,9
VNO,10
T,4
INCY,8
EW,0
MHK,5
CCL,7
ATO,2
IDXX,8
DRI,7
NUE,5
SYY,9
MNST,6
STZ,0
FANG,3
RHI,10
DHR,6
ICE,7
AAPL,0
CTAS,7
D,2
ACN,8
IBM,8
INTC,7
BKNG,5
COST,0
AON,7
STX,6
ED,2
LEN,9
NFLX,8
HII,8
ALL,9
ITW,7
BSX,6
CNC,6
ALGN,8
SLB,3
RE,0
TTWO,9
SIVB,1
QCOM,8
MTB,1
AVB,10
NVR,4
LYV,8
LVS,5
LNC,1
BAX,6
SNPS,8
PPL,2
TSCO,5
LNT,2
CTSH,8
CERN,0
TFC,1
BEN,3
LIN,7
AIG,1
AEP,2
FB,6
CVX,3
SPGI,6
J,5
MAR,8
MU,8
RTX,7
