,0
POOL,5
MKC,8
AOS,0
AXP,7
CME,9
EQR,10
BKR,4
FDX,4
MET,3
MRK,9
MAA,10
ISRG,8
GOOGL,8
PEAK,10
CMCSA,4
TT,1
JPM,3
REGN,0
DHI,1
HUM,6
MDT,5
DIS,6
DE,1
F,0
C,3
EXC,2
SCHW,3
WYNN,6
PLD,10
AAL,0
DVN,4
AEE,2
AMZN,8
TDY,8
PENN,9
IP,0
OMC,7
VFC,0
MSCI,8
A,5
USB,3
UNH,6
IT,6
ETR,2
DVA,6
HSY,9
NEE,2
FFIV,0
BIIB,1
KO,10
MSI,5
KMB,10
FTNT,8
EL,6
ABC,6
CF,6
LKQ,1
TMUS,6
ABT,5
PSX,4
LMT,7
ESS,10
APD,9
PSA,10
AMAT,10
HCA,1
ORLY,0
KEY,3
KLAC,10
GL,7
PCAR,1
CBOE,9
PRU,3
FE,2
LEG,1
PHM,1
NOC,10
BBWI,7
MCK,6
CPB,7
KR,7
DGX,1
TJX,7
GRMN,6
PKG,0
FISV,9
OXY,4
FITB,3
CBRE,5
WAB,1
KMX,7
RSG,9
ADM,10
PEP,10
IRM,10
LOW,1
CL,9
TXT,1
MCO,8
DUK,2
NKE,9
PAYX,9
IFF,10
MSFT,9
CTRA,9
MA,9
PVH,0
TSN,9
DXC,4
VTRS,6
MTD,5
MLM,6
SO,2
ETN,1
STT,3
GD,1
CMS,2
SRE,2
MMC,7
AIZ,7
NOW,8
TGT,7
BRK-B,3
MRO,4
NXPI,8
WFC,3
EXR,5
NTAP,4
BDX,5
AJG,7
WY,1
EOG,4
XYL,6
PH,1
IPG,7
DLTR,0
TDG,5
LUV,7
AFL,7
AVGO,9
LLY,5
CAG,10
ODFL,1
ZBH,0
KMI,7
LUMN,6
PGR,7
ROL,1
PNC,3
DRE,10
EQIX,5
LRCX,8
VMC,6
TRMB,0
HPQ,1
ADP,9
ARE,10
PTC,0
HD,7
NSC,1
TXN,8
SEE,6
WRB,1
SBUX,9
ADBE,8
DAL,7
GPS,9
AMGN,5
JBHT,1
COF,7
NRG,6
CINF,9
WDC,0
NLSN,7
WU,10
NTRS,3
TEL,8
DLR,10
JKHY,6
K,7
EFX,7
APA,4
CAT,1
HIG,7
UHS,1
LH,1
RMD,9
TER,1
DTE,2
BR,8
GOOG,8
RF,3
BK,3
PPG,1
NEM,7
UDR,10
WM,7
JNPR,8
PFG,7
DPZ,8
BBY,6
GPC,1
ZBRA,8
MOS,6
AAP,0
MGM,0
XRAY,5
ULTA,6
BRO,0
BLL,10
SHW,1
EXPD,1
APTV,0
URI,1
AMCR,10
CCI,7
AKAM,8
AMP,7
PNR,1
VRSN,9
GM,0
HAL,3
SNA,1
PXD,4
AMT,6
TYL,9
HBAN,3
SWKS,8
CI,6
XEL,2
BF-B,10
HSIC,5
ALK,1
DOV,1
UAA,0
PG,1
SJM,10
CMA,3
ADI,8
ECL,5
GS,3
WHR,7
TRV,7
AVY,1
ADSK,8
UPS,0
MDLZ,7
PWR,6
SBAC,9
UAL,1
CDNS,8
MAS,1
BA,9
ROP,1
LDOS,6
IEX,1
GPN,9
PKI,5
BWA,0
YUM,9
ES,2
MKTX,9
UNP,1
FCX,4
RCL,5
CMI,0
JCI,0
PFE,9
EXPE,0
FRC,3
FIS,9
EMR,1
GLW,1
CNP,2
OKE,4
KIM,10
FBHS,0
DISH,4
AES,5
HON,1
EVRG,2
MTCH,8
TFX,5
GILD,6
CHRW,1
MO,1
REG,10
MMM,1
GIS,10
INTU,9
ROK,0
HOLX,5
LHX,0
COP,4
AME,0
MCD,0
PNW,2
COO,10
ILMN,8
PEG,2
GWW,1
O,10
HAS,0
ANSS,8
GE,4
RL,8
VZ,0
CSCO,5
CMG,0
AZO,0
VTR,10
EBAY,0
APH,8
BIO,6
CPRT,1
STE,5
DISCA,6
TAP,6
MPC,4
MPWR,8
NDAQ,9
NI,2
ORCL,8
CSX,1
PBCT,3
PM,9
ANTM,6
VRSK,9
DFS,3
CHD,10
DG,7
MCHP,8
TMO,5
EMN,1
RJF,0
JNJ,7
AWK,2
BMY,0
CVS,6
IVZ,7
ROST,7
NLOK,5
XOM,4
AMD,8
IPGP,0
ATVI,8
HST,1
TPR,4
TECH,0
WEC,2
NVDA,8
CLX,10
CHTR,9
HRL,10
L,7
FRT,10
BAC,3
CRM,9
WST,1
CTXS,8
EA,8
ENPH,0
WELL,10
BLK,3
V,9
ZION,3
CE,1
BXP,10
NWL,6
WBA,10
GNRC,5
WMT,9
FLT,8
SPG,10
ALB,3
WAT,5
HBI,6
DXCM,6
EIX,7
DISCK,6
CAH,6
VLO,1
HES,4
DD,6
FMC,4
LYB,1
SYK,5
WMB,4
FAST,1
MS,3
TROW,7
SWK,1
ABMD,8
CRL,5
VRTX,8
TSLA,4
CB,7
VNO,10
T,7
INCY,0
EW,5
MHK,0
CCL,1
ATO,2
IDXX,9
DRI,7
NUE,1
SYY,9
MNST,0
STZ,4
FANG,4
RHI,1
DHR,5
ICE,9
AAPL,8
CTAS,9
D,2
ACN,9
IBM,7
INTC,8
BKNG,8
COST,10
AON,7
STX,8
ED,2
LEN,1
NFLX,8
HII,9
ALL,9
ITW,1
BSX,10
CNC,1
ALGN,1
SLB,4
RE,9
TTWO,10
SIVB,7
QCOM,8
MTB,3
AVB,10
NVR,7
LYV,8
LVS,4
LNC,7
BAX,9
SNPS,8
PPL,10
TSCO,0
LNT,2
CTSH,9
CERN,0
TFC,3
BEN,0
LIN,9
AIG,7
AEP,2
FB,8
CVX,4
SPGI,9
J,5
MAR,8
MU,8
RTX,1
