,0
POOL,6
MKC,5
AOS,6
AXP,1
CME,6
EQR,9
BKR,7
FDX,2
MET,1
MRK,5
MAA,9
ISRG,0
GOOGL,0
PEAK,10
CMCSA,4
TT,0
JPM,1
REGN,0
DHI,4
HUM,0
MDT,0
DIS,6
DE,2
F,6
C,1
EXC,8
SCHW,1
WYNN,2
PLD,9
AAL,0
DVN,7
AEE,8
AMZN,0
TDY,0
PENN,3
IP,2
OMC,2
VFC,6
MSCI,6
A,0
USB,1
UNH,6
IT,3
ETR,8
DVA,0
HSY,10
NEE,8
FFIV,3
BIIB,0
KO,5
MSI,6
KMB,5
FTNT,0
EL,4
ABC,0
CF,0
LKQ,10
TMUS,0
ABT,10
PSX,7
LMT,2
ESS,9
APD,10
PSA,9
AMAT,3
HCA,0
ORLY,10
KEY,1
KLAC,3
GL,1
PCAR,2
CBOE,10
PRU,1
FE,8
LEG,3
PHM,4
NOC,3
BBWI,6
MCK,6
CPB,6
KR,6
DGX,3
TJX,6
GRMN,0
PKG,3
FISV,10
OXY,7
FITB,1
CBRE,2
WAB,2
KMX,10
RSG,2
ADM,2
PEP,5
IRM,10
LOW,4
CL,5
TXT,2
MCO,9
DUK,8
NKE,4
PAYX,2
IFF,3
MSFT,0
CTRA,7
MA,4
PVH,0
TSN,0
DXC,4
VTRS,0
MTD,6
MLM,10
SO,8
ETN,2
STT,1
GD,2
CMS,8
SRE,8
MMC,5
AIZ,10
NOW,0
TGT,4
BRK-B,5
MRO,7
NXPI,3
WFC,1
EXR,10
NTAP,10
BDX,10
AJG,5
WY,9
EOG,7
XYL,2
PH,2
IPG,4
DLTR,10
TDG,2
LUV,0
AFL,10
AVGO,3
LLY,5
CAG,5
ODFL,2
ZBH,3
KMI,7
LUMN,10
PGR,5
ROL,0
PNC,1
DRE,9
EQIX,4
LRCX,3
VMC,6
TRMB,0
HPQ,2
ADP,2
ARE,9
PTC,4
HD,4
NSC,6
TXN,3
SEE,4
WRB,5
SBUX,0
ADBE,2
DAL,0
GPS,6
AMGN,0
JBHT,10
COF,1
NRG,3
CINF,5
WDC,10
NLSN,2
WU,2
NTRS,1
TEL,0
DLR,10
JKHY,10
K,5
EFX,6
APA,7
CAT,7
HIG,4
UHS,0
LH,4
RMD,10
TER,4
DTE,8
BR,4
GOOG,0
RF,1
BK,1
PPG,4
NEM,0
UDR,9
WM,6
JNPR,0
PFG,1
DPZ,3
BBY,6
GPC,3
ZBRA,3
MOS,2
AAP,3
MGM,2
XRAY,3
ULTA,0
BRO,4
BLL,10
SHW,4
EXPD,5
APTV,10
URI,2
AMCR,10
CCI,4
AKAM,6
AMP,1
PNR,10
VRSN,6
GM,0
HAL,7
SNA,10
PXD,7
AMT,4
TYL,6
HBAN,1
SWKS,3
CI,6
XEL,8
BF-B,5
HSIC,0
ALK,6
DOV,7
UAA,10
PG,5
SJM,6
CMA,1
ADI,3
ECL,0
GS,1
WHR,4
TRV,5
AVY,4
ADSK,3
UPS,2
MDLZ,2
PWR,0
SBAC,3
UAL,0
CDNS,3
MAS,4
BA,2
ROP,0
LDOS,2
IEX,6
GPN,6
PKI,0
BWA,10
YUM,5
ES,8
MKTX,0
UNP,10
FCX,7
RCL,4
CMI,2
JCI,2
PFE,10
EXPE,2
FRC,1
FIS,5
EMR,2
GLW,10
CNP,8
OKE,7
KIM,9
FBHS,4
DISH,2
AES,7
HON,3
EVRG,8
MTCH,0
TFX,2
GILD,0
CHRW,3
MO,5
REG,9
MMM,2
GIS,5
INTU,0
ROK,7
HOLX,0
LHX,10
COP,7
AME,5
MCD,5
PNW,8
COO,0
ILMN,0
PEG,8
GWW,6
O,9
HAS,4
ANSS,2
GE,2
RL,0
VZ,2
CSCO,2
CMG,0
AZO,6
VTR,9
EBAY,2
APH,4
BIO,6
CPRT,6
STE,0
DISCA,2
TAP,6
MPC,10
MPWR,3
NDAQ,6
NI,8
ORCL,2
CSX,10
PBCT,1
PM,10
ANTM,2
VRSK,6
DFS,1
CHD,9
DG,0
MCHP,3
TMO,0
EMN,2
RJF,1
JNJ,3
AWK,8
BMY,0
CVS,6
IVZ,1
ROST,6
NLOK,4
XOM,7
AMD,4
IPGP,2
ATVI,6
HST,4
TPR,0
TECH,0
WEC,8
NVDA,4
CLX,5
CHTR,0
HRL,5
L,1
FRT,9
BAC,1
CRM,4
WST,0
CTXS,0
EA,10
ENPH,4
WELL,9
BLK,0
V,2
ZION,1
CE,2
BXP,9
NWL,5
WBA,10
GNRC,3
WMT,4
FLT,10
SPG,9
ALB,0
WAT,4
HBI,3
DXCM,0
EIX,8
DISCK,7
CAH,0
VLO,10
HES,7
DD,10
FMC,10
LYB,10
SYK,0
WMB,7
FAST,6
MS,1
TROW,10
SWK,10
ABMD,6
