,0
POOL,2
MKC,8
AOS,4
AXP,5
CME,5
EQR,7
BKR,2
FDX,4
MET,5
MRK,6
MAA,7
ISRG,0
GOOGL,10
PEAK,7
CMCSA,0
TT,3
JPM,3
REGN,10
DHI,4
HUM,2
MDT,4
DIS,3
DE,3
F,2
C,5
EXC,9
SCHW,5
WYNN,10
PLD,7
AAL,10
DVN,0
AEE,9
AMZN,2
TDY,0
PENN,3
IP,3
OMC,1
VFC,6
MSCI,0
A,0
USB,5
UNH,5
IT,6
ETR,9
DVA,6
HSY,8
NEE,9
FFIV,1
BIIB,6
KO,8
MSI,6
KMB,8
FTNT,1
EL,8
ABC,2
CF,1
LKQ,2
TMUS,0
ABT,4
PSX,1
LMT,3
ESS,7
APD,2
PSA,7
AMAT,3
HCA,3
ORLY,6
KEY,5
KLAC,0
GL,5
PCAR,2
CBOE,5
PRU,5
FE,9
LEG,6
PHM,4
NOC,3
BBWI,3
MCK,2
CPB,8
KR,8
DGX,0
TJX,8
GRMN,4
PKG,3
FISV,8
OXY,0
FITB,5
CBRE,3
WAB,3
KMX,10
RSG,2
ADM,1
PEP,8
IRM,2
LOW,8
CL,8
TXT,1
MCO,2
DUK,9
NKE,6
PAYX,8
IFF,2
MSFT,4
CTRA,10
MA,1
PVH,8
TSN,8
DXC,2
VTRS,5
MTD,4
MLM,10
SO,9
ETN,10
STT,5
GD,3
CMS,9
SRE,9
MMC,2
AIZ,4
NOW,3
TGT,8
BRK-B,5
MRO,1
NXPI,3
WFC,5
EXR,10
NTAP,4
BDX,6
AJG,0
WY,6
EOG,1
XYL,2
PH,2
IPG,10
DLTR,8
TDG,3
LUV,3
AFL,8
AVGO,0
LLY,0
CAG,8
ODFL,3
ZBH,0
KMI,1
LUMN,9
PGR,2
ROL,4
PNC,5
DRE,7
EQIX,2
LRCX,0
VMC,10
TRMB,10
HPQ,10
ADP,8
ARE,7
PTC,1
HD,8
NSC,1
TXN,3
SEE,3
WRB,0
SBUX,3
ADBE,3
DAL,1
GPS,8
AMGN,6
JBHT,10
COF,5
NRG,9
CINF,6
WDC,4
NLSN,2
WU,2
NTRS,5
TEL,0
DLR,7
JKHY,6
K,8
EFX,6
APA,1
CAT,3
HIG,10
UHS,3
LH,0
RMD,3
TER,0
DTE,9
BR,6
GOOG,10
RF,5
BK,5
PPG,2
NEM,1
UDR,7
WM,2
JNPR,4
PFG,5
DPZ,3
BBY,2
GPC,1
ZBRA,3
MOS,2
AAP,6
MGM,10
XRAY,0
ULTA,6
BRO,1
BLL,0
SHW,2
EXPD,8
APTV,10
URI,3
AMCR,5
CCI,6
AKAM,8
AMP,5
PNR,10
VRSN,6
GM,6
HAL,1
SNA,2
PXD,10
AMT,3
TYL,0
HBAN,5
SWKS,6
CI,8
XEL,9
BF-B,8
HSIC,8
ALK,1
DOV,2
UAA,10
PG,8
SJM,8
CMA,5
ADI,0
ECL,2
GS,1
WHR,4
TRV,8
AVY,4
ADSK,1
UPS,1
MDLZ,8
PWR,0
SBAC,3
UAL,1
CDNS,4
MAS,4
BA,6
ROP,2
LDOS,1
IEX,1
GPN,4
PKI,6
BWA,10
