,0
POOL,7
MKC,6
AOS,7
AXP,4
CME,6
EQR,10
BKR,5
FDX,9
MET,1
MRK,0
MAA,10
ISRG,2
GOOGL,0
PEAK,9
CMCSA,0
TT,4
JPM,1
REGN,2
DHI,7
HUM,2
MDT,2
DIS,3
DE,6
F,4
C,1
EXC,8
SCHW,1
WYNN,7
PLD,10
AAL,3
DVN,5
AEE,8
AMZN,2
TDY,4
PENN,0
IP,6
OMC,3
VFC,7
MSCI,10
A,2
USB,1
UNH,0
IT,7
ETR,8
DVA,0
HSY,10
NEE,8
FFIV,0
BIIB,2
KO,6
MSI,9
KMB,6
FTNT,0
EL,9
ABC,0
CF,0
LKQ,9
TMUS,7
ABT,2
PSX,7
LMT,6
ESS,10
APD,9
PSA,10
AMAT,4
HCA,0
ORLY,9
KEY,1
KLAC,0
GL,1
PCAR,4
CBOE,3
PRU,1
FE,8
LEG,7
PHM,7
NOC,9
BBWI,7
MCK,7
CPB,6
KR,6
DGX,2
TJX,6
GRMN,4
PKG,6
FISV,9
OXY,5
FITB,1
CBRE,0
WAB,4
KMX,7
RSG,6
ADM,5
PEP,6
IRM,4
LOW,7
CL,6
TXT,4
MCO,9
DUK,8
NKE,7
PAYX,9
IFF,9
MSFT,0
CTRA,5
MA,7
PVH,2
TSN,0
DXC,6
VTRS,3
MTD,2
MLM,3
SO,8
ETN,4
STT,1
GD,9
CMS,8
SRE,8
MMC,9
AIZ,9
NOW,0
TGT,6
BRK-B,9
MRO,5
NXPI,0
WFC,1
EXR,10
NTAP,9
BDX,2
AJG,9
WY,7
EOG,5
XYL,3
PH,4
IPG,4
DLTR,9
TDG,0
LUV,7
AFL,9
AVGO,0
LLY,0
CAG,10
ODFL,4
ZBH,2
KMI,5
LUMN,9
PGR,10
ROL,4
PNC,1
DRE,10
EQIX,6
LRCX,0
VMC,3
TRMB,4
HPQ,0
ADP,9
ARE,10
PTC,2
HD,7
NSC,4
TXN,4
SEE,3
WRB,1
SBUX,7
ADBE,3
DAL,7
GPS,6
AMGN,2
JBHT,4
COF,1
NRG,10
CINF,9
WDC,7
NLSN,9
WU,6
NTRS,1
TEL,0
DLR,2
JKHY,9
K,6
EFX,7
APA,5
CAT,3
HIG,9
UHS,0
LH,3
RMD,9
TER,4
DTE,8
BR,9
GOOG,2
RF,1
BK,1
PPG,7
NEM,0
UDR,10
WM,3
JNPR,3
PFG,1
DPZ,9
BBY,7
GPC,4
ZBRA,2
MOS,7
AAP,7
MGM,3
XRAY,4
ULTA,7
BRO,4
BLL,0
SHW,7
EXPD,9
APTV,0
URI,4
AMCR,10
CCI,6
AKAM,3
AMP,0
PNR,4
VRSN,3
GM,4
HAL,5
SNA,0
PXD,5
AMT,6
TYL,7
HBAN,1
SWKS,0
CI,2
XEL,8
BF-B,6
HSIC,6
ALK,7
DOV,5
UAA,9
PG,6
SJM,9
CMA,1
ADI,4
ECL,7
GS,0
WHR,7
TRV,9
AVY,6
ADSK,7
UPS,4
MDLZ,0
PWR,4
SBAC,2
UAL,7
CDNS,4
MAS,7
BA,4
ROP,4
LDOS,4
IEX,4
GPN,2
PKI,2
BWA,0
YUM,10
ES,8
MKTX,6
UNP,7
FCX,5
RCL,7
CMI,0
JCI,3
PFE,0
EXPE,0
FRC,1
FIS,9
EMR,4
GLW,4
CNP,8
OKE,5
KIM,10
FBHS,7
DISH,0
AES,5
HON,4
EVRG,8
MTCH,0
TFX,0
GILD,2
CHRW,9
MO,9
REG,10
MMM,9
GIS,6
INTU,2
ROK,4
HOLX,2
LHX,9
COP,5
AME,4
MCD,9
PNW,8
COO,3
ILMN,2
PEG,8
GWW,3
O,10
HAS,3
ANSS,3
GE,3
RL,7
VZ,9
CSCO,6
CMG,7
AZO,9
VTR,9
EBAY,0
APH,9
BIO,2
CPRT,7
STE,2
DISCA,3
TAP,3
MPC,7
MPWR,0
NDAQ,6
NI,8
ORCL,6
CSX,3
PBCT,1
PM,9
ANTM,0
VRSK,3
DFS,1
CHD,9
DG,2
MCHP,4
TMO,2
EMN,0
RJF,1
JNJ,9
AWK,8
BMY,2
CVS,6
IVZ,1
ROST,6
NLOK,0
XOM,9
AMD,4
IPGP,4
ATVI,7
HST,3
TPR,7
TECH,2
WEC,8
NVDA,3
CLX,9
CHTR,7
HRL,6
L,9
FRT,10
BAC,1
CRM,3
WST,2
CTXS,2
EA,2
ENPH,1
WELL,9
BLK,3
V,7
ZION,1
CE,5
BXP,10
NWL,9
WBA,9
GNRC,4
WMT,10
FLT,7
SPG,10
ALB,4
WAT,6
HBI,7
DXCM,2
EIX,8
DISCK,0
CAH,2
VLO,0
HES,5
DD,5
FMC,4
LYB,5
SYK,9
WMB,5
FAST,3
MS,1
TROW,9
SWK,9
ABMD,0
CRL,2
VRTX,2
TSLA,2
CB,9
VNO,10
T,10
INCY,2
EW,2
MHK,7
CCL,0
ATO,8
IDXX,2
DRI,7
NUE,4
SYY,10
MNST,6
STZ,3
FANG,5
RHI,3
DHR,9
ICE,6
AAPL,0
CTAS,4
D,8
ACN,3
IBM,6
INTC,3
BKNG,9
COST,9
AON,0
STX,0
ED,8
LEN,10
NFLX,2
HII,7
ALL,6
ITW,9
BSX,2
CNC,2
ALGN,2
SLB,5
RE,9
TTWO,7
SIVB,1
QCOM,9
MTB,1
AVB,10
NVR,2
LYV,3
LVS,7
LNC,1
BAX,0
SNPS,4
PPL,8
TSCO,6
LNT,8
CTSH,9
CERN,2
TFC,1
BEN,9
LIN,9
AIG,1
AEP,8
FB,2
CVX,5
SPGI,4
J,4
MAR,7
MU,0
RTX,4
