,0
POOL,10
MKC,8
AOS,7
AXP,3
CME,8
EQR,9
BKR,2
FDX,3
MET,0
MRK,2
MAA,9
ISRG,4
GOOGL,2
PEAK,1
CMCSA,8
TT,3
JPM,0
REGN,4
DHI,7
HUM,0
MDT,4
DIS,10
DE,3
F,3
C,0
EXC,5
SCHW,0
WYNN,6
PLD,9
AAL,2
DVN,6
AEE,5
AMZN,4
TDY,3
PENN,4
IP,3
OMC,10
VFC,6
MSCI,7
A,4
USB,0
UNH,2
IT,1
ETR,5
DVA,4
HSY,10
NEE,5
FFIV,1
BIIB,4
KO,8
MSI,6
KMB,8
FTNT,1
EL,7
ABC,2
CF,1
LKQ,7
TMUS,7
ABT,4
PSX,6
LMT,10
ESS,9
APD,10
PSA,9
AMAT,3
HCA,2
ORLY,10
KEY,0
KLAC,3
GL,0
PCAR,3
CBOE,1
PRU,0
FE,5
LEG,0
PHM,7
NOC,10
BBWI,9
MCK,1
CPB,10
KR,0
DGX,2
TJX,2
GRMN,3
PKG,3
FISV,10
OXY,6
FITB,0
CBRE,1
WAB,3
KMX,6
RSG,10
ADM,6
PEP,8
IRM,9
LOW,10
CL,8
TXT,3
MCO,7
DUK,5
NKE,7
PAYX,10
IFF,1
MSFT,7
CTRA,6
MA,1
PVH,2
TSN,1
DXC,4
VTRS,1
MTD,2
MLM,10
SO,5
ETN,3
STT,0
GD,8
CMS,5
SRE,5
MMC,10
AIZ,0
NOW,1
TGT,9
BRK-B,8
MRO,6
NXPI,7
WFC,0
EXR,9
NTAP,3
BDX,4
AJG,10
WY,6
EOG,6
XYL,3
PH,3
IPG,4
DLTR,2
TDG,4
LUV,2
AFL,10
AVGO,3
LLY,2
CAG,8
ODFL,3
ZBH,4
KMI,6
LUMN,10
PGR,10
ROL,1
PNC,0
DRE,9
EQIX,1
LRCX,3
VMC,10
TRMB,2
HPQ,3
ADP,10
ARE,9
PTC,2
HD,10
NSC,3
TXN,3
SEE,4
WRB,7
SBUX,7
ADBE,1
DAL,2
GPS,9
AMGN,4
JBHT,3
COF,0
NRG,7
CINF,10
WDC,1
NLSN,7
WU,3
NTRS,0
TEL,3
DLR,4
JKHY,10
K,8
EFX,1
APA,6
CAT,3
HIG,10
UHS,2
LH,4
RMD,7
TER,3
DTE,5
BR,10
GOOG,7
RF,0
BK,0
PPG,1
NEM,1
UDR,9
WM,10
JNPR,1
PFG,0
DPZ,7
BBY,6
GPC,10
ZBRA,6
MOS,6
AAP,10
MGM,1
XRAY,7
ULTA,10
BRO,0
BLL,2
SHW,10
EXPD,10
APTV,1
URI,3
AMCR,7
CCI,9
AKAM,6
AMP,0
PNR,3
VRSN,10
GM,3
HAL,6
SNA,1
PXD,6
AMT,1
TYL,7
HBAN,0
SWKS,4
CI,4
XEL,5
BF-B,8
HSIC,4
ALK,2
DOV,6
UAA,7
PG,8
SJM,10
CMA,0
ADI,3
ECL,10
GS,0
WHR,2
TRV,10
AVY,10
ADSK,2
UPS,2
MDLZ,1
PWR,3
SBAC,1
UAL,2
CDNS,3
MAS,7
BA,3
ROP,3
LDOS,2
IEX,3
GPN,6
PKI,4
BWA,1
YUM,7
ES,5
MKTX,2
UNP,3
FCX,6
RCL,1
CMI,1
JCI,3
PFE,4
EXPE,7
FRC,0
FIS,7
EMR,3
GLW,3
CNP,5
OKE,6
KIM,9
FBHS,7
DISH,0
AES,6
HON,10
EVRG,5
MTCH,4
TFX,1
GILD,7
CHRW,10
MO,8
REG,9
MMM,10
GIS,8
INTU,7
ROK,3
HOLX,4
LHX,2
COP,6
AME,1
MCD,7
PNW,5
COO,1
ILMN,4
PEG,5
GWW,10
O,9
HAS,6
ANSS,1
GE,10
RL,7
VZ,10
CSCO,2
CMG,10
AZO,10
VTR,1
EBAY,1
APH,3
BIO,4
CPRT,10
STE,1
DISCA,6
TAP,1
MPC,2
MPWR,3
NDAQ,10
NI,7
ORCL,7
CSX,10
PBCT,0
PM,8
ANTM,4
VRSK,1
DFS,3
CHD,10
DG,1
MCHP,3
TMO,4
EMN,1
RJF,0
JNJ,8
AWK,5
BMY,8
CVS,10
IVZ,0
ROST,2
NLOK,2
XOM,6
AMD,3
IPGP,2
ATVI,7
HST,6
TPR,6
TECH,9
WEC,5
NVDA,4
CLX,1
CHTR,2
HRL,1
L,0
FRT,9
BAC,0
CRM,1
WST,4
CTXS,7
EA,4
ENPH,3
WELL,1
BLK,3
V,1
ZION,0
CE,3
BXP,9
NWL,7
WBA,10
GNRC,3
WMT,10
FLT,1
SPG,9
ALB,7
WAT,4
HBI,1
DXCM,1
EIX,5
DISCK,6
CAH,2
VLO,1
HES,6
DD,1
FMC,3
LYB,3
SYK,4
WMB,6
FAST,10
MS,0
TROW,10
SWK,7
ABMD,1
CRL,4
VRTX,4
TSLA,2
CB,10
VNO,9
T,8
INCY,4
EW,4
MHK,2
CCL,2
ATO,5
IDXX,2
DRI,2
NUE,3
SYY,8
MNST,1
STZ,1
FANG,10
RHI,2
DHR,10
ICE,8
AAPL,3
CTAS,10
D,5
ACN,7
IBM,3
INTC,3
BKNG,7
COST,8
AON,7
STX,2
ED,5
LEN,7
NFLX,7
HII,10
ALL,0
ITW,10
BSX,1
CNC,2
ALGN,4
SLB,6
RE,10
TTWO,2
SIVB,0
QCOM,3
MTB,0
AVB,9
NVR,7
LYV,1
LVS,6
LNC,0
BAX,1
SNPS,2
PPL,5
TSCO,10
LNT,5
