,0
POOL,2
MKC,8
AOS,0
AXP,1
CME,10
EQR,10
BKR,0
FDX,1
MET,1
MRK,9
MAA,10
ISRG,2
GOOGL,3
PEAK,10
CMCSA,8
TT,6
JPM,1
REGN,8
DHI,1
HUM,7
MDT,10
DIS,8
DE,1
F,1
C,1
EXC,9
SCHW,0
WYNN,0
PLD,0
AAL,6
DVN,4
AEE,9
AMZN,3
TDY,5
PENN,6
IP,1
OMC,2
VFC,1
MSCI,5
A,7
USB,1
UNH,7
IT,5
ETR,9
DVA,7
HSY,10
NEE,9
FFIV,0
BIIB,3
KO,9
MSI,5
KMB,9
FTNT,5
EL,5
ABC,7
CF,5
LKQ,10
TMUS,5
ABT,7
PSX,6
LMT,6
ESS,10
APD,8
PSA,9
AMAT,3
HCA,4
ORLY,10
KEY,1
KLAC,10
GL,1
PCAR,0
CBOE,10
PRU,1
FE,9
LEG,10
PHM,10
NOC,8
BBWI,7
MCK,9
CPB,9
KR,5
DGX,2
TJX,1
GRMN,0
PKG,0
FISV,5
OXY,0
FITB,1
CBRE,10
WAB,6
KMX,0
RSG,9
ADM,5
PEP,9
IRM,9
LOW,2
CL,9
TXT,0
MCO,3
DUK,9
NKE,5
PAYX,8
IFF,10
MSFT,3
CTRA,9
MA,5
PVH,1
TSN,6
DXC,2
VTRS,5
MTD,7
MLM,10
SO,9
ETN,6
STT,2
GD,6
CMS,9
SRE,1
MMC,4
AIZ,10
NOW,3
TGT,8
BRK-B,1
MRO,0
NXPI,3
WFC,1
EXR,10
NTAP,0
BDX,9
AJG,7
WY,10
EOG,0
XYL,9
PH,0
IPG,2
DLTR,7
TDG,3
LUV,8
AFL,1
AVGO,4
LLY,9
CAG,8
ODFL,3
ZBH,5
KMI,7
LUMN,2
PGR,9
ROL,8
PNC,1
DRE,8
EQIX,7
LRCX,3
VMC,6
TRMB,4
HPQ,1
ADP,5
ARE,7
PTC,0
HD,2
NSC,2
TXN,3
SEE,10
WRB,2
SBUX,5
ADBE,3
DAL,4
GPS,10
AMGN,2
JBHT,3
COF,1
NRG,2
CINF,8
WDC,3
NLSN,6
WU,0
NTRS,1
TEL,3
DLR,9
JKHY,10
K,9
EFX,6
APA,0
CAT,3
HIG,6
UHS,6
LH,7
RMD,9
TER,3
DTE,9
BR,5
GOOG,3
RF,1
BK,2
PPG,10
NEM,1
UDR,10
WM,9
JNPR,0
PFG,1
DPZ,10
BBY,0
GPC,10
ZBRA,0
MOS,4
AAP,10
MGM,0
XRAY,0
ULTA,4
BRO,6
BLL,9
SHW,4
EXPD,7
APTV,4
URI,2
AMCR,8
CCI,8
AKAM,5
AMP,1
PNR,2
VRSN,5
GM,1
HAL,0
SNA,2
PXD,0
AMT,9
TYL,3
HBAN,1
SWKS,3
CI,7
XEL,9
BF-B,10
HSIC,7
ALK,1
DOV,3
UAA,5
PG,8
SJM,9
CMA,1
ADI,4
ECL,6
GS,2
WHR,6
TRV,10
AVY,6
ADSK,3
UPS,3
MDLZ,9
PWR,5
SBAC,9
UAL,4
CDNS,3
MAS,6
BA,8
ROP,2
LDOS,0
IEX,4
GPN,3
PKI,5
BWA,0
