,0
POOL,1
MKC,6
AOS,4
AXP,0
CME,9
EQR,3
BKR,10
FDX,1
MET,2
MRK,1
MAA,3
ISRG,6
GOOGL,4
PEAK,3
CMCSA,4
TT,10
JPM,2
REGN,4
DHI,9
HUM,4
MDT,0
DIS,9
DE,1
F,1
C,2
EXC,4
SCHW,2
WYNN,5
PLD,3
AAL,5
DVN,10
AEE,7
AMZN,4
TDY,0
PENN,5
IP,8
OMC,1
VFC,9
MSCI,0
A,8
USB,2
UNH,1
IT,4
ETR,7
DVA,4
HSY,4
NEE,7
FFIV,5
BIIB,5
KO,1
MSI,0
KMB,6
FTNT,4
EL,9
ABC,1
CF,1
LKQ,2
TMUS,5
ABT,10
PSX,10
LMT,6
ESS,3
APD,6
PSA,3
AMAT,5
HCA,1
ORLY,1
KEY,2
KLAC,5
GL,9
PCAR,8
CBOE,8
PRU,2
FE,7
LEG,4
PHM,9
NOC,6
BBWI,0
MCK,1
CPB,10
KR,4
DGX,9
TJX,1
GRMN,8
PKG,8
FISV,4
OXY,10
FITB,2
CBRE,9
WAB,10
KMX,9
RSG,1
ADM,6
PEP,4
IRM,9
LOW,9
CL,6
TXT,1
MCO,6
DUK,7
NKE,8
PAYX,0
IFF,6
MSFT,8
CTRA,10
MA,1
PVH,4
TSN,8
DXC,9
VTRS,5
MTD,1
MLM,9
SO,7
ETN,10
STT,2
GD,6
CMS,7
SRE,7
MMC,6
AIZ,2
NOW,6
TGT,4
BRK-B,8
MRO,10
NXPI,5
WFC,2
EXR,3
NTAP,9
BDX,1
AJG,6
WY,3
EOG,10
XYL,5
PH,10
IPG,1
DLTR,9
TDG,1
LUV,5
AFL,4
AVGO,5
LLY,8
CAG,8
ODFL,9
ZBH,0
KMI,9
LUMN,10
PGR,4
ROL,0
PNC,2
DRE,3
EQIX,8
LRCX,5
VMC,8
TRMB,8
HPQ,0
ADP,6
ARE,3
PTC,1
HD,4
NSC,9
TXN,5
SEE,5
WRB,8
SBUX,1
ADBE,6
DAL,8
GPS,4
AMGN,1
JBHT,9
COF,2
NRG,10
CINF,4
WDC,9
NLSN,9
WU,0
NTRS,2
TEL,0
DLR,9
JKHY,9
K,8
EFX,1
APA,10
CAT,0
HIG,4
UHS,5
LH,9
RMD,5
TER,5
DTE,7
BR,6
GOOG,8
RF,2
BK,2
PPG,9
NEM,4
UDR,3
WM,0
JNPR,0
PFG,2
DPZ,5
BBY,9
GPC,9
ZBRA,9
MOS,9
AAP,9
MGM,5
XRAY,8
ULTA,5
BRO,9
BLL,9
SHW,1
EXPD,4
APTV,8
URI,4
AMCR,10
CCI,4
AKAM,5
AMP,2
PNR,10
VRSN,9
GM,9
HAL,10
SNA,9
PXD,10
AMT,4
TYL,6
HBAN,2
SWKS,4
CI,0
XEL,7
BF-B,6
HSIC,1
ALK,5
DOV,10
UAA,9
PG,1
SJM,4
CMA,2
ADI,5
ECL,4
GS,2
WHR,4
TRV,4
AVY,1
ADSK,4
UPS,8
MDLZ,6
PWR,10
SBAC,9
UAL,5
CDNS,5
MAS,9
BA,6
ROP,8
LDOS,0
IEX,9
GPN,0
PKI,8
BWA,6
YUM,4
ES,7
MKTX,4
UNP,8
FCX,10
RCL,1
CMI,0
JCI,6
PFE,1
EXPE,1
FRC,1
FIS,4
EMR,1
GLW,8
CNP,7
OKE,10
KIM,3
FBHS,9
DISH,9
AES,10
HON,6
EVRG,7
MTCH,9
TFX,9
GILD,1
CHRW,5
MO,6
REG,3
MMM,1
GIS,4
INTU,6
ROK,10
HOLX,0
LHX,6
COP,10
AME,6
MCD,8
PNW,7
COO,5
ILMN,0
PEG,7
GWW,8
O,3
HAS,1
ANSS,9
GE,10
RL,5
VZ,6
CSCO,10
CMG,4
AZO,1
VTR,4
EBAY,8
APH,9
BIO,9
CPRT,0
STE,0
DISCA,10
TAP,9
MPC,10
MPWR,5
NDAQ,10
NI,0
ORCL,8
CSX,9
PBCT,2
PM,6
ANTM,1
VRSK,1
DFS,8
CHD,4
DG,1
MCHP,5
TMO,1
EMN,9
RJF,2
JNJ,6
AWK,7
BMY,1
CVS,1
IVZ,8
ROST,0
NLOK,4
XOM,10
AMD,8
IPGP,5
ATVI,10
HST,1
TPR,4
TECH,0
WEC,7
NVDA,1
CLX,4
CHTR,0
HRL,4
L,6
FRT,3
BAC,2
CRM,8
WST,0
CTXS,6
EA,1
ENPH,8
WELL,3
BLK,1
V,1
ZION,2
CE,9
BXP,3
NWL,4
WBA,6
GNRC,9
WMT,4
FLT,8
SPG,3
ALB,4
WAT,8
HBI,5
DXCM,5
EIX,7
DISCK,10
CAH,6
VLO,10
HES,10
DD,8
FMC,8
LYB,10
SYK,0
WMB,0
FAST,9
MS,2
TROW,8
SWK,8
ABMD,6
CRL,5
VRTX,4
TSLA,0
CB,4
VNO,3
T,4
INCY,0
EW,9
MHK,5
CCL,1
ATO,7
IDXX,0
DRI,10
NUE,4
SYY,4
MNST,1
STZ,9
FANG,10
RHI,0
DHR,8
ICE,1
AAPL,0
CTAS,0
D,0
ACN,1
IBM,1
INTC,5
BKNG,0
COST,4
AON,6
STX,9
ED,7
LEN,9
NFLX,8
HII,6
ALL,8
ITW,8
BSX,1
CNC,6
ALGN,1
SLB,10
RE,4
TTWO,5
SIVB,2
QCOM,4
MTB,2
AVB,3
NVR,9
LYV,0
LVS,5
LNC,2
BAX,0
SNPS,0
PPL,7
TSCO,0
LNT,7
CTSH,5
CERN,1
TFC,2
BEN,1
LIN,9
AIG,8
AEP,7
FB,4
CVX,10
SPGI,4
J,10
MAR,1
MU,5
RTX,6
