,0
POOL,8
MKC,8
AOS,5
AXP,0
CME,4
EQR,7
BKR,6
FDX,9
MET,6
MRK,9
MAA,9
ISRG,7
GOOGL,0
PEAK,8
CMCSA,0
TT,2
JPM,1
REGN,10
DHI,5
HUM,0
MDT,10
DIS,7
DE,2
F,9
C,1
EXC,3
SCHW,1
WYNN,8
PLD,7
AAL,5
DVN,6
AEE,3
AMZN,10
TDY,2
PENN,8
IP,9
OMC,9
VFC,0
MSCI,5
A,9
USB,1
UNH,0
IT,5
ETR,3
DVA,9
HSY,9
NEE,3
FFIV,2
BIIB,0
KO,7
MSI,0
KMB,4
FTNT,0
EL,0
ABC,4
CF,8
LKQ,10
TMUS,5
ABT,9
PSX,9
LMT,4
ESS,7
APD,2
PSA,7
AMAT,8
HCA,0
ORLY,5
KEY,1
KLAC,0
GL,1
PCAR,2
CBOE,8
PRU,1
FE,10
LEG,0
PHM,5
NOC,4
BBWI,9
MCK,8
CPB,9
KR,0
DGX,5
TJX,0
GRMN,9
PKG,9
FISV,7
OXY,6
FITB,1
CBRE,9
WAB,8
KMX,10
RSG,9
ADM,10
PEP,7
IRM,8
LOW,5
CL,4
TXT,9
MCO,5
DUK,3
NKE,7
PAYX,10
IFF,2
MSFT,5
CTRA,10
MA,7
PVH,10
TSN,8
DXC,10
VTRS,0
MTD,9
MLM,8
SO,3
ETN,2
STT,0
GD,2
CMS,3
SRE,3
MMC,4
AIZ,0
NOW,5
TGT,0
BRK-B,4
MRO,6
NXPI,8
WFC,1
EXR,7
NTAP,9
BDX,5
AJG,4
WY,8
EOG,6
XYL,2
PH,2
IPG,0
DLTR,5
TDG,0
LUV,5
AFL,4
AVGO,7
LLY,0
CAG,10
ODFL,9
ZBH,8
KMI,6
LUMN,6
PGR,4
ROL,2
PNC,1
DRE,7
EQIX,7
LRCX,8
VMC,2
TRMB,9
HPQ,9
ADP,4
ARE,7
PTC,0
HD,5
NSC,8
TXN,8
SEE,10
WRB,4
SBUX,0
ADBE,7
DAL,5
GPS,0
AMGN,10
JBHT,2
COF,1
NRG,10
CINF,4
WDC,7
NLSN,5
WU,9
NTRS,1
TEL,8
DLR,7
JKHY,4
K,9
EFX,5
APA,6
CAT,0
HIG,4
UHS,0
LH,8
RMD,9
TER,8
DTE,3
BR,10
GOOG,0
RF,1
BK,1
PPG,10
NEM,8
UDR,7
WM,9
JNPR,8
PFG,1
DPZ,5
BBY,8
GPC,8
ZBRA,8
MOS,2
AAP,10
MGM,8
XRAY,0
ULTA,5
BRO,4
BLL,2
SHW,4
EXPD,8
APTV,8
URI,2
AMCR,9
CCI,7
