,0
POOL,2
MKC,7
AOS,3
AXP,1
CME,7
EQR,6
BKR,1
FDX,4
MET,4
MRK,2
MAA,6
ISRG,9
GOOGL,1
PEAK,2
CMCSA,5
TT,8
JPM,4
REGN,5
DHI,2
HUM,1
MDT,3
DIS,1
DE,1
F,8
C,4
EXC,0
SCHW,4
WYNN,2
PLD,6
AAL,1
DVN,5
AEE,0
AMZN,6
TDY,2
PENN,2
IP,9
OMC,2
VFC,1
MSCI,10
A,10
USB,4
UNH,3
IT,10
ETR,0
DVA,3
HSY,10
NEE,0
FFIV,8
BIIB,3
KO,6
MSI,3
KMB,0
FTNT,8
EL,1
ABC,8
CF,8
LKQ,2
TMUS,3
ABT,3
PSX,5
LMT,9
ESS,6
APD,1
PSA,6
AMAT,7
HCA,3
ORLY,6
KEY,4
KLAC,2
GL,4
PCAR,1
CBOE,7
PRU,4
FE,10
LEG,9
PHM,2
NOC,7
BBWI,2
MCK,2
CPB,10
KR,1
DGX,3
TJX,1
GRMN,6
PKG,4
FISV,3
OXY,5
FITB,4
CBRE,10
WAB,8
KMX,9
RSG,2
ADM,9
PEP,0
IRM,2
LOW,8
CL,2
TXT,9
MCO,8
DUK,0
NKE,6
PAYX,10
IFF,2
MSFT,10
CTRA,10
MA,8
PVH,1
TSN,2
DXC,10
VTRS,2
MTD,8
MLM,8
SO,0
ETN,1
STT,2
GD,1
CMS,0
SRE,0
MMC,7
AIZ,5
NOW,8
TGT,1
BRK-B,7
MRO,5
NXPI,8
WFC,4
EXR,7
NTAP,2
BDX,3
AJG,7
WY,8
EOG,5
XYL,9
PH,1
IPG,2
DLTR,10
TDG,3
LUV,8
AFL,5
AVGO,9
LLY,3
CAG,10
ODFL,9
ZBH,2
KMI,5
LUMN,1
PGR,3
ROL,9
PNC,4
DRE,6
EQIX,6
LRCX,9
VMC,3
TRMB,9
HPQ,10
ADP,7
ARE,6
PTC,1
HD,1
NSC,8
TXN,9
SEE,9
WRB,7
SBUX,1
ADBE,1
DAL,10
GPS,2
AMGN,7
JBHT,2
COF,4
NRG,5
CINF,7
WDC,1
NLSN,10
WU,9
NTRS,4
TEL,8
DLR,6
JKHY,3
K,9
EFX,2
APA,5
CAT,5
HIG,7
UHS,3
LH,2
RMD,9
TER,9
DTE,0
BR,10
GOOG,2
RF,4
BK,4
PPG,10
NEM,10
UDR,6
WM,10
JNPR,2
PFG,4
DPZ,9
BBY,8
GPC,6
ZBRA,8
MOS,9
AAP,10
MGM,10
XRAY,3
ULTA,10
BRO,7
BLL,8
SHW,7
EXPD,7
APTV,8
URI,8
AMCR,2
CCI,6
AKAM,2
AMP,9
PNR,8
VRSN,10
GM,10
HAL,5
SNA,7
PXD,5
AMT,3
TYL,9
HBAN,4
SWKS,9
CI,10
XEL,0
BF-B,3
HSIC,3
ALK,8
DOV,5
UAA,10
PG,2
SJM,2
CMA,4
ADI,8
ECL,10
GS,4
WHR,1
TRV,7
AVY,10
ADSK,9
UPS,5
MDLZ,10
PWR,8
SBAC,10
UAL,10
CDNS,3
MAS,10
BA,9
ROP,9
LDOS,2
IEX,9
GPN,9
PKI,3
BWA,8
YUM,10
ES,0
MKTX,2
UNP,7
FCX,10
RCL,8
CMI,1
JCI,9
PFE,2
EXPE,3
FRC,4
FIS,10
EMR,8
GLW,8
CNP,0
OKE,5
KIM,6
FBHS,7
DISH,1
AES,10
HON,7
EVRG,0
MTCH,9
TFX,2
GILD,1
CHRW,7
MO,9
REG,6
MMM,7
GIS,9
INTU,1
ROK,8
HOLX,8
LHX,8
COP,5
AME,8
MCD,1
PNW,0
COO,8
ILMN,10
PEG,0
GWW,7
O,6
HAS,1
ANSS,1
GE,3
RL,9
VZ,3
CSCO,8
CMG,1
AZO,9
VTR,1
EBAY,3
APH,10
BIO,3
CPRT,1
STE,2
DISCA,1
TAP,2
MPC,6
MPWR,3
NDAQ,7
NI,0
ORCL,1
CSX,7
PBCT,4
PM,0
ANTM,3
VRSK,9
DFS,4
CHD,9
DG,8
MCHP,8
TMO,3
EMN,8
RJF,4
JNJ,7
AWK,0
BMY,2
CVS,7
IVZ,4
ROST,1
NLOK,3
XOM,7
AMD,2
IPGP,9
ATVI,10
HST,9
TPR,1
TECH,9
WEC,0
NVDA,8
CLX,0
CHTR,10
HRL,2
L,4
FRT,6
BAC,4
CRM,8
WST,9
CTXS,1
EA,1
ENPH,1
WELL,2
BLK,9
V,10
ZION,4
CE,5
BXP,2
NWL,8
WBA,7
GNRC,10
WMT,2
FLT,2
SPG,6
ALB,10
WAT,10
HBI,1
DXCM,2
EIX,0
DISCK,1
CAH,7
VLO,7
HES,5
DD,5
FMC,10
LYB,5
SYK,10
WMB,2
FAST,1
MS,4
TROW,9
SWK,8
ABMD,1
CRL,3
VRTX,1
TSLA,1
CB,10
VNO,6
T,2
INCY,3
EW,3
MHK,3
CCL,8
ATO,10
IDXX,2
