,0
POOL,9
MKC,10
AOS,9
AXP,9
CME,2
EQR,5
BKR,8
FDX,7
MET,7
MRK,1
MAA,5
ISRG,3
GOOGL,2
PEAK,8
CMCSA,3
TT,9
JPM,6
REGN,10
DHI,0
HUM,0
MDT,7
DIS,2
DE,3
F,7
C,6
EXC,4
SCHW,6
WYNN,9
PLD,5
AAL,0
DVN,8
AEE,4
AMZN,2
TDY,9
PENN,0
IP,1
OMC,2
VFC,3
MSCI,9
A,10
USB,6
UNH,0
IT,5
ETR,4
DVA,10
HSY,3
NEE,4
FFIV,1
BIIB,3
KO,3
MSI,2
KMB,0
FTNT,3
EL,2
ABC,10
CF,8
LKQ,7
TMUS,7
ABT,10
PSX,9
LMT,0
ESS,5
APD,3
PSA,5
AMAT,0
HCA,0
ORLY,2
KEY,6
KLAC,0
GL,6
PCAR,3
CBOE,2
PRU,6
FE,3
LEG,0
PHM,6
NOC,2
BBWI,2
MCK,0
CPB,4
KR,2
DGX,10
TJX,5
GRMN,7
PKG,1
FISV,3
OXY,8
FITB,6
CBRE,9
WAB,0
KMX,7
RSG,1
ADM,10
PEP,1
IRM,9
LOW,0
CL,0
TXT,7
MCO,10
DUK,4
NKE,2
PAYX,2
IFF,10
MSFT,2
CTRA,8
MA,2
PVH,3
TSN,0
DXC,7
VTRS,1
MTD,9
MLM,9
SO,4
ETN,8
STT,1
GD,1
CMS,4
SRE,4
MMC,10
AIZ,2
NOW,0
TGT,2
BRK-B,10
MRO,8
NXPI,7
WFC,6
EXR,5
NTAP,10
BDX,2
AJG,10
WY,9
EOG,8
XYL,9
PH,8
IPG,2
DLTR,2
TDG,2
LUV,9
AFL,2
AVGO,7
LLY,1
CAG,10
ODFL,9
ZBH,1
KMI,8
LUMN,8
PGR,1
ROL,1
PNC,6
DRE,5
EQIX,2
LRCX,3
VMC,0
TRMB,7
HPQ,9
ADP,1
ARE,5
PTC,0
HD,2
NSC,9
TXN,3
SEE,10
WRB,10
SBUX,5
ADBE,10
DAL,0
GPS,8
AMGN,10
JBHT,7
COF,6
NRG,10
CINF,10
WDC,3
NLSN,0
WU,1
NTRS,6
TEL,9
DLR,1
JKHY,10
K,10
EFX,9
APA,8
CAT,8
HIG,10
UHS,0
LH,10
RMD,10
TER,7
DTE,4
BR,10
GOOG,10
RF,6
BK,6
PPG,10
NEM,0
UDR,5
WM,1
JNPR,9
PFG,6
DPZ,7
BBY,3
GPC,9
ZBRA,3
MOS,9
AAP,5
MGM,9
XRAY,9
ULTA,2
BRO,3
BLL,0
SHW,10
EXPD,3
APTV,0
URI,9
AMCR,9
CCI,5
AKAM,9
AMP,6
PNR,8
VRSN,9
GM,2
HAL,8
SNA,0
PXD,8
AMT,1
TYL,9
HBAN,6
SWKS,3
CI,0
XEL,4
BF-B,7
HSIC,10
ALK,0
DOV,8
UAA,2
PG,1
SJM,7
CMA,6
ADI,3
ECL,9
GS,6
WHR,5
TRV,10
AVY,10
ADSK,9
UPS,0
MDLZ,2
PWR,0
SBAC,7
UAL,9
CDNS,7
MAS,9
BA,1
ROP,10
LDOS,1
IEX,7
GPN,3
PKI,9
BWA,0
YUM,2
ES,4
MKTX,2
UNP,7
FCX,9
RCL,0
CMI,3
JCI,9
PFE,1
EXPE,2
FRC,6
FIS,10
EMR,1
GLW,10
CNP,4
OKE,8
KIM,5
FBHS,7
DISH,0
AES,8
HON,9
EVRG,4
MTCH,7
TFX,10
GILD,10
CHRW,10
MO,10
REG,5
MMM,10
GIS,10
INTU,7
ROK,3
HOLX,1
LHX,7
COP,8
AME,0
MCD,10
PNW,4
COO,10
ILMN,10
PEG,4
GWW,1
O,5
HAS,1
ANSS,1
GE,0
RL,7
VZ,6
CSCO,2
CMG,0
AZO,2
VTR,0
EBAY,1
APH,10
BIO,10
CPRT,0
STE,1
DISCA,3
TAP,0
MPC,9
MPWR,7
NDAQ,2
NI,4
ORCL,3
CSX,10
PBCT,6
PM,3
ANTM,0
VRSK,7
DFS,6
CHD,10
DG,5
MCHP,7
TMO,10
EMN,8
RJF,6
JNJ,10
AWK,4
BMY,1
CVS,10
IVZ,7
ROST,2
NLOK,2
XOM,10
AMD,0
IPGP,7
ATVI,0
HST,10
TPR,2
TECH,7
WEC,4
NVDA,3
CLX,0
CHTR,7
HRL,1
L,6
FRT,5
BAC,6
CRM,0
WST,10
CTXS,1
EA,2
ENPH,0
WELL,8
BLK,3
V,2
ZION,6
CE,9
BXP,5
NWL,9
WBA,10
GNRC,9
WMT,1
FLT,3
SPG,5
ALB,7
WAT,10
HBI,5
DXCM,0
EIX,4
DISCK,3
CAH,10
VLO,9
HES,8
DD,8
FMC,7
LYB,8
SYK,10
WMB,8
FAST,3
MS,6
TROW,6
SWK,0
ABMD,0
CRL,10
VRTX,7
TSLA,7
CB,10
VNO,5
T,3
INCY,1
EW,10
MHK,0
CCL,3
ATO,7
IDXX,7
DRI,3
NUE,3
SYY,3
MNST,5
STZ,5
FANG,8
RHI,1
DHR,3
ICE,2
AAPL,3
CTAS,1
D,4
ACN,3
IBM,1
INTC,2
BKNG,0
COST,2
AON,2
STX,3
ED,4
LEN,5
NFLX,2
HII,0
ALL,1
ITW,10
BSX,1
CNC,0
ALGN,0
SLB,8
RE,10
TTWO,0
SIVB,6
QCOM,7
MTB,6
AVB,5
NVR,5
LYV,0
LVS,9
LNC,6
BAX,1
SNPS,7
PPL,4
TSCO,2
LNT,4
CTSH,5
CERN,10
TFC,6
BEN,7
LIN,3
AIG,10
AEP,4
FB,2
CVX,8
SPGI,9
J,9
MAR,10
MU,7
RTX,7
