,0
POOL,4
MKC,8
AOS,9
AXP,0
CME,10
EQR,10
BKR,0
FDX,4
MET,1
MRK,8
MAA,10
ISRG,7
GOOGL,4
PEAK,10
CMCSA,4
TT,1
JPM,1
REGN,6
DHI,1
HUM,10
MDT,1
DIS,2
DE,1
F,9
C,2
EXC,10
SCHW,0
WYNN,3
PLD,10
AAL,1
DVN,0
AEE,8
AMZN,4
TDY,3
PENN,3
IP,5
OMC,4
VFC,7
MSCI,9
A,7
USB,2
UNH,10
IT,6
ETR,10
DVA,4
HSY,10
NEE,8
FFIV,2
BIIB,4
KO,1
MSI,2
KMB,8
FTNT,0
EL,2
ABC,8
CF,0
LKQ,9
TMUS,6
ABT,8
PSX,1
LMT,1
ESS,10
APD,5
PSA,8
AMAT,4
HCA,6
ORLY,10
KEY,2
KLAC,7
GL,5
PCAR,9
CBOE,6
PRU,5
FE,10
LEG,9
PHM,9
NOC,8
BBWI,0
MCK,8
CPB,5
KR,2
DGX,9
TJX,9
GRMN,2
PKG,8
FISV,7
OXY,0
FITB,2
CBRE,2
WAB,3
KMX,1
RSG,5
ADM,2
PEP,10
IRM,10
LOW,9
CL,5
TXT,1
MCO,7
DUK,8
NKE,9
PAYX,4
IFF,9
MSFT,4
CTRA,8
MA,2
PVH,9
TSN,6
DXC,0
VTRS,0
MTD,7
MLM,6
SO,8
ETN,2
STT,5
GD,1
CMS,8
SRE,10
MMC,7
AIZ,5
NOW,4
TGT,5
BRK-B,5
MRO,0
NXPI,6
WFC,5
EXR,10
NTAP,4
BDX,5
AJG,7
WY,10
EOG,0
XYL,5
PH,1
IPG,1
DLTR,10
TDG,6
LUV,1
AFL,1
AVGO,6
LLY,4
CAG,5
ODFL,4
ZBH,3
KMI,0
LUMN,2
PGR,5
ROL,5
PNC,7
DRE,10
EQIX,8
LRCX,7
VMC,6
TRMB,0
HPQ,6
ADP,4
ARE,10
PTC,1
HD,9
NSC,9
TXN,7
SEE,3
WRB,5
SBUX,2
ADBE,4
DAL,1
GPS,9
AMGN,5
JBHT,9
COF,9
NRG,2
CINF,5
WDC,6
NLSN,2
WU,4
NTRS,5
TEL,3
DLR,8
JKHY,7
K,8
EFX,8
APA,0
CAT,0
HIG,6
UHS,6
LH,10
RMD,4
TER,7
DTE,1
BR,7
GOOG,4
RF,1
BK,5
PPG,9
NEM,0
UDR,10
WM,5
JNPR,2
PFG,2
DPZ,10
BBY,7
GPC,10
ZBRA,4
MOS,0
AAP,9
MGM,3
XRAY,2
ULTA,3
BRO,8
BLL,8
SHW,9
EXPD,9
APTV,3
URI,0
AMCR,0
CCI,8
AKAM,4
AMP,5
PNR,9
VRSN,7
GM,0
HAL,0
SNA,9
PXD,0
AMT,10
TYL,4
HBAN,1
SWKS,7
CI,10
