,0
POOL,6
MKC,7
AOS,5
AXP,0
CME,0
EQR,9
BKR,8
FDX,0
MET,1
MRK,7
MAA,9
ISRG,10
GOOGL,10
PEAK,9
CMCSA,7
TT,0
JPM,1
REGN,4
DHI,5
HUM,6
MDT,10
DIS,5
DE,0
F,10
C,1
EXC,2
SCHW,1
WYNN,0
PLD,9
AAL,6
DVN,8
AEE,2
AMZN,3
TDY,4
PENN,3
IP,5
OMC,5
VFC,7
MSCI,0
A,6
USB,1
UNH,5
IT,10
ETR,2
DVA,5
HSY,6
NEE,2
FFIV,4
BIIB,4
KO,9
MSI,3
KMB,7
FTNT,6
EL,6
ABC,4
CF,6
LKQ,5
TMUS,6
ABT,4
PSX,4
LMT,0
ESS,9
APD,4
PSA,6
AMAT,10
HCA,3
ORLY,0
KEY,1
KLAC,0
GL,1
PCAR,0
CBOE,7
PRU,1
FE,8
LEG,10
PHM,5
NOC,0
BBWI,3
MCK,4
CPB,6
KR,4
DGX,3
TJX,3
GRMN,4
PKG,6
FISV,7
OXY,8
FITB,1
CBRE,5
WAB,4
KMX,10
RSG,4
ADM,7
PEP,9
IRM,9
LOW,10
CL,7
TXT,0
MCO,6
DUK,2
NKE,6
PAYX,7
IFF,6
MSFT,6
CTRA,6
MA,6
PVH,10
TSN,10
DXC,10
VTRS,3
MTD,3
MLM,6
SO,2
ETN,0
STT,1
GD,3
CMS,2
SRE,2
MMC,7
AIZ,7
NOW,6
TGT,10
BRK-B,0
MRO,8
NXPI,4
WFC,1
EXR,7
NTAP,5
BDX,10
AJG,7
WY,4
EOG,8
XYL,0
PH,4
IPG,7
DLTR,7
TDG,3
LUV,7
AFL,1
AVGO,10
LLY,4
CAG,7
ODFL,0
ZBH,0
KMI,8
LUMN,3
PGR,7
ROL,9
PNC,1
DRE,9
EQIX,9
LRCX,10
VMC,6
TRMB,10
HPQ,5
ADP,4
ARE,9
PTC,3
HD,0
NSC,4
TXN,0
SEE,5
WRB,7
SBUX,7
ADBE,10
DAL,6
GPS,4
AMGN,4
JBHT,4
COF,1
NRG,6
CINF,7
WDC,6
NLSN,9
WU,0
NTRS,1
TEL,10
DLR,9
JKHY,5
K,9
EFX,7
APA,8
CAT,0
HIG,7
UHS,5
LH,4
RMD,6
TER,10
DTE,2
BR,3
GOOG,10
RF,1
BK,1
PPG,6
NEM,3
UDR,9
WM,0
JNPR,0
PFG,1
DPZ,6
BBY,5
GPC,10
ZBRA,10
MOS,3
AAP,4
MGM,5
XRAY,6
ULTA,5
BRO,7
BLL,6
SHW,6
EXPD,4
APTV,5
URI,0
AMCR,6
CCI,9
AKAM,0
AMP,1
PNR,10
VRSN,6
GM,10
HAL,8
SNA,10
PXD,8
AMT,9
TYL,10
HBAN,1
SWKS,10
CI,5
XEL,2
BF-B,7
HSIC,10
ALK,6
DOV,6
UAA,6
PG,9
SJM,7
CMA,1
ADI,10
ECL,0
GS,1
WHR,6
TRV,7
AVY,6
ADSK,10
UPS,4
MDLZ,5
PWR,0
SBAC,3
UAL,6
CDNS,9
MAS,6
BA,0
ROP,0
LDOS,3
IEX,0
GPN,10
PKI,6
BWA,5
YUM,3
ES,2
MKTX,3
UNP,4
FCX,0
RCL,3
CMI,0
JCI,8
PFE,4
EXPE,4
FRC,1
FIS,3
EMR,0
GLW,5
CNP,2
OKE,8
KIM,9
FBHS,4
DISH,3
AES,3
HON,6
EVRG,4
MTCH,5
TFX,0
GILD,7
CHRW,7
MO,9
REG,9
MMM,4
GIS,9
INTU,6
ROK,0
HOLX,4
LHX,3
COP,8
AME,0
MCD,0
PNW,2
COO,6
ILMN,10
PEG,2
GWW,0
O,9
HAS,3
ANSS,3
GE,3
RL,5
VZ,3
CSCO,0
CMG,0
AZO,7
VTR,9
EBAY,0
APH,0
BIO,5
CPRT,0
STE,3
DISCA,4
TAP,7
MPC,4
MPWR,10
NDAQ,7
NI,2
ORCL,10
CSX,0
PBCT,1
PM,9
ANTM,4
VRSK,4
DFS,0
CHD,7
DG,7
MCHP,10
TMO,6
EMN,3
RJF,1
JNJ,0
AWK,2
BMY,3
CVS,4
IVZ,4
ROST,10
NLOK,6
XOM,8
AMD,0
IPGP,10
ATVI,6
HST,10
TPR,4
TECH,4
WEC,2
NVDA,5
CLX,9
CHTR,7
HRL,9
L,1
FRT,9
BAC,1
CRM,6
WST,0
CTXS,6
EA,6
ENPH,4
WELL,9
BLK,5
V,10
ZION,1
CE,3
BXP,9
NWL,3
WBA,4
GNRC,0
WMT,7
FLT,3
SPG,9
ALB,10
WAT,6
HBI,10
DXCM,4
EIX,2
DISCK,4
CAH,4
VLO,4
HES,8
DD,6
FMC,5
LYB,8
SYK,3
WMB,8
FAST,4
MS,1
TROW,5
SWK,10
ABMD,5
CRL,3
VRTX,7
TSLA,3
CB,7
VNO,9
T,0
INCY,5
EW,4
MHK,3
CCL,6
ATO,2
IDXX,3
DRI,6
NUE,0
SYY,4
MNST,4
STZ,3
FANG,8
RHI,7
DHR,0
ICE,7
AAPL,3
CTAS,6
D,2
ACN,10
IBM,10
INTC,0
BKNG,6
COST,4
AON,7
STX,4
ED,2
LEN,5
NFLX,3
HII,3
ALL,7
ITW,0
BSX,3
CNC,3
ALGN,3
SLB,8
RE,3
TTWO,6
SIVB,1
QCOM,5
MTB,1
AVB,9
NVR,0
LYV,4
LVS,6
LNC,1
BAX,10
SNPS,3
PPL,2
TSCO,7
LNT,2
CTSH,5
CERN,3
TFC,1
BEN,5
LIN,6
AIG,1
AEP,2
FB,6
CVX,8
SPGI,0
J,0
MAR,5
MU,5
RTX,6
