,0
POOL,6
MKC,6
AOS,5
AXP,10
CME,1
EQR,8
BKR,10
FDX,4
MET,2
MRK,7
MAA,8
ISRG,6
GOOGL,9
PEAK,8
CMCSA,5
TT,3
JPM,2
REGN,10
DHI,4
HUM,6
MDT,7
DIS,4
DE,1
F,1
C,2
EXC,0
SCHW,2
WYNN,3
PLD,8
AAL,1
DVN,10
AEE,0
AMZN,1
TDY,6
PENN,3
IP,5
OMC,4
VFC,6
MSCI,3
A,6
USB,2
UNH,7
IT,6
ETR,0
DVA,6
HSY,8
NEE,0
FFIV,1
BIIB,3
KO,10
MSI,1
KMB,8
FTNT,6
EL,9
ABC,7
CF,10
LKQ,3
TMUS,6
ABT,6
PSX,6
LMT,3
ESS,8
APD,9
PSA,6
AMAT,9
HCA,7
ORLY,3
KEY,2
KLAC,9
GL,2
PCAR,5
CBOE,10
PRU,2
FE,0
LEG,5
PHM,5
NOC,3
BBWI,3
MCK,7
CPB,3
KR,4
DGX,7
TJX,6
GRMN,6
PKG,5
FISV,6
OXY,10
FITB,2
CBRE,6
WAB,6
KMX,4
RSG,3
ADM,8
PEP,8
IRM,8
LOW,5
CL,3
TXT,3
MCO,9
DUK,0
NKE,1
PAYX,6
IFF,8
MSFT,9
CTRA,6
MA,9
PVH,6
TSN,8
DXC,1
VTRS,6
MTD,7
MLM,5
SO,0
ETN,5
STT,2
GD,3
CMS,0
SRE,1
MMC,7
AIZ,7
NOW,7
TGT,5
BRK-B,10
MRO,10
NXPI,1
WFC,2
EXR,8
NTAP,1
BDX,9
AJG,7
WY,8
EOG,10
XYL,3
PH,3
IPG,4
DLTR,4
TDG,1
LUV,10
AFL,7
AVGO,9
LLY,1
CAG,8
ODFL,3
ZBH,6
KMI,10
LUMN,10
PGR,7
ROL,6
PNC,2
DRE,8
EQIX,4
LRCX,9
VMC,5
TRMB,7
HPQ,1
ADP,6
ARE,8
PTC,1
HD,1
NSC,5
TXN,9
SEE,5
WRB,8
SBUX,6
ADBE,7
DAL,1
GPS,6
AMGN,7
JBHT,6
COF,2
NRG,6
CINF,10
WDC,9
