,0
POOL,8
MKC,8
AOS,2
AXP,7
CME,3
EQR,10
BKR,9
FDX,5
MET,4
MRK,6
MAA,10
ISRG,8
GOOGL,5
PEAK,10
CMCSA,5
TT,6
JPM,4
REGN,7
DHI,8
HUM,1
MDT,8
DIS,1
DE,1
F,4
C,4
EXC,0
SCHW,4
WYNN,9
PLD,10
AAL,7
DVN,9
AEE,0
AMZN,3
TDY,1
PENN,5
IP,2
OMC,1
VFC,2
MSCI,3
A,8
USB,4
UNH,6
IT,2
ETR,0
DVA,8
HSY,9
NEE,0
FFIV,3
BIIB,1
KO,6
MSI,3
KMB,8
FTNT,7
EL,8
ABC,6
CF,7
LKQ,5
TMUS,8
ABT,8
PSX,8
LMT,1
ESS,10
APD,8
PSA,8
AMAT,7
HCA,1
ORLY,3
KEY,4
KLAC,7
GL,4
PCAR,1
CBOE,3
PRU,4
FE,0
LEG,1
PHM,1
NOC,1
BBWI,1
MCK,9
CPB,9
KR,1
DGX,1
TJX,1
GRMN,2
PKG,2
FISV,6
OXY,9
FITB,4
CBRE,2
WAB,5
KMX,7
RSG,6
ADM,9
PEP,6
IRM,10
LOW,1
CL,9
TXT,2
MCO,8
DUK,0
NKE,8
PAYX,3
IFF,7
MSFT,7
CTRA,9
MA,8
PVH,2
TSN,10
DXC,1
VTRS,9
MTD,2
MLM,1
SO,0
ETN,2
STT,4
GD,3
CMS,0
SRE,0
MMC,6
AIZ,1
NOW,8
TGT,7
BRK-B,6
MRO,9
NXPI,5
WFC,4
EXR,8
NTAP,2
BDX,8
AJG,6
WY,10
EOG,9
XYL,2
PH,2
IPG,5
DLTR,7
TDG,3
LUV,7
AFL,6
AVGO,8
LLY,6
CAG,9
ODFL,5
ZBH,5
KMI,6
LUMN,7
PGR,8
ROL,1
PNC,4
DRE,10
EQIX,3
LRCX,7
VMC,1
TRMB,2
HPQ,7
ADP,3
ARE,10
PTC,8
HD,1
NSC,1
TXN,7
SEE,1
WRB,6
SBUX,6
ADBE,3
DAL,7
GPS,3
AMGN,6
JBHT,2
COF,4
NRG,8
CINF,6
WDC,5
NLSN,9
WU,8
NTRS,4
TEL,7
DLR,10
JKHY,1
K,9
EFX,5
APA,9
CAT,2
HIG,1
UHS,2
LH,1
RMD,3
TER,5
DTE,0
BR,3
GOOG,5
RF,4
BK,4
PPG,8
NEM,5
UDR,10
WM,6
JNPR,3
PFG,4
DPZ,8
BBY,2
GPC,3
ZBRA,3
MOS,5
AAP,3
MGM,5
XRAY,9
ULTA,7
BRO,1
BLL,1
SHW,5
EXPD,2
APTV,2
URI,2
AMCR,6
CCI,6
