,0
POOL,1
MKC,3
AOS,7
AXP,10
CME,10
EQR,8
BKR,2
FDX,7
MET,4
MRK,10
MAA,8
ISRG,9
GOOGL,5
PEAK,8
CMCSA,2
TT,10
JPM,4
REGN,9
DHI,2
HUM,6
MDT,6
DIS,6
DE,2
F,3
C,4
EXC,7
SCHW,3
WYNN,3
PLD,8
AAL,9
DVN,7
AEE,0
AMZN,1
TDY,1
PENN,2
IP,8
OMC,1
VFC,7
MSCI,5
A,6
USB,4
UNH,3
IT,5
ETR,0
DVA,7
HSY,3
NEE,0
FFIV,9
BIIB,5
KO,3
MSI,9
KMB,3
FTNT,5
EL,6
ABC,10
CF,5
LKQ,6
TMUS,5
ABT,10
PSX,8
LMT,10
ESS,8
APD,7
PSA,8
AMAT,5
HCA,9
ORLY,3
KEY,4
KLAC,5
GL,10
PCAR,1
CBOE,10
PRU,4
FE,0
LEG,7
PHM,2
NOC,10
BBWI,6
MCK,3
CPB,3
KR,1
DGX,6
TJX,6
GRMN,1
PKG,2
FISV,5
OXY,7
FITB,4
CBRE,7
WAB,6
KMX,7
RSG,8
ADM,6
PEP,8
IRM,9
LOW,2
CL,7
TXT,5
MCO,5
DUK,0
NKE,10
PAYX,10
IFF,9
MSFT,9
CTRA,1
MA,9
PVH,2
TSN,10
DXC,5
VTRS,7
MTD,6
MLM,7
SO,2
ETN,7
STT,4
GD,10
CMS,0
SRE,3
MMC,2
AIZ,5
NOW,9
TGT,6
BRK-B,10
MRO,7
NXPI,2
WFC,4
EXR,8
NTAP,9
BDX,10
AJG,10
WY,5
EOG,7
XYL,10
PH,1
IPG,3
DLTR,8
TDG,5
LUV,2
AFL,10
AVGO,9
LLY,10
CAG,10
ODFL,6
ZBH,3
KMI,5
LUMN,7
PGR,1
ROL,8
PNC,4
DRE,8
EQIX,3
LRCX,5
VMC,1
TRMB,6
HPQ,6
ADP,8
ARE,8
PTC,9
HD,2
NSC,5
TXN,5
SEE,6
WRB,9
SBUX,2
ADBE,9
DAL,1
GPS,6
AMGN,3
JBHT,7
COF,4
NRG,5
CINF,10
WDC,5
NLSN,6
WU,10
NTRS,4
TEL,2
DLR,8
JKHY,6
K,3
EFX,10
APA,7
CAT,1
HIG,10
UHS,6
LH,2
RMD,3
TER,5
DTE,0
BR,9
GOOG,5
RF,4
BK,4
PPG,3
NEM,2
UDR,8
WM,10
JNPR,5
PFG,2
DPZ,5
BBY,3
GPC,2
ZBRA,7
MOS,7
AAP,2
MGM,3
XRAY,1
ULTA,7
BRO,10
BLL,6
SHW,2
EXPD,7
APTV,3
URI,6
AMCR,8
CCI,5
AKAM,3
AMP,4
PNR,5
VRSN,9
GM,2
HAL,3
SNA,7
PXD,7
AMT,8
TYL,9
HBAN,4
SWKS,5
CI,6
XEL,0
BF-B,9
HSIC,7
ALK,7
DOV,7
UAA,7
PG,3
SJM,8
CMA,4
ADI,5
ECL,2
GS,8
WHR,2
TRV,10
AVY,2
ADSK,9
UPS,3
MDLZ,1
PWR,7
SBAC,8
UAL,3
CDNS,5
MAS,5
BA,7
ROP,1
LDOS,7
IEX,1
GPN,6
PKI,6
BWA,2
YUM,10
ES,0
MKTX,10
UNP,7
FCX,3
RCL,10
CMI,1
JCI,3
PFE,10
EXPE,1
FRC,4
FIS,9
EMR,10
GLW,5
CNP,0
OKE,7
KIM,10
FBHS,7
DISH,1
AES,8
HON,2
EVRG,3
MTCH,3
TFX,3
GILD,6
CHRW,6
MO,5
REG,8
MMM,1
GIS,10
INTU,9
ROK,1
HOLX,6
LHX,8
COP,7
AME,1
MCD,10
PNW,0
COO,9
ILMN,1
PEG,0
GWW,2
O,8
HAS,6
ANSS,6
GE,2
RL,6
VZ,3
CSCO,2
CMG,3
AZO,2
VTR,8
EBAY,5
APH,2
BIO,5
CPRT,6
STE,5
DISCA,6
TAP,1
MPC,7
MPWR,1
NDAQ,1
NI,0
ORCL,8
CSX,3
PBCT,4
PM,7
ANTM,1
VRSK,10
DFS,4
CHD,0
DG,6
MCHP,3
TMO,6
EMN,5
RJF,4
JNJ,1
AWK,0
BMY,9
CVS,1
IVZ,8
ROST,6
NLOK,3
XOM,2
AMD,9
IPGP,5
ATVI,7
HST,2
TPR,7
TECH,1
WEC,0
NVDA,9
CLX,8
CHTR,5
HRL,8
L,8
FRT,8
BAC,4
CRM,9
WST,6
CTXS,9
EA,5
ENPH,3
WELL,8
BLK,3
V,9
ZION,4
CE,6
BXP,5
NWL,6
WBA,6
GNRC,1
WMT,6
FLT,3
SPG,8
ALB,5
WAT,1
HBI,1
DXCM,10
EIX,0
DISCK,6
CAH,9
VLO,5
HES,7
DD,3
FMC,3
LYB,7
SYK,9
WMB,7
FAST,7
MS,4
TROW,5
SWK,2
ABMD,3
CRL,9
VRTX,9
TSLA,3
CB,10
VNO,8
T,5
INCY,7
EW,1
MHK,6
CCL,1
ATO,0
IDXX,6
DRI,3
NUE,6
SYY,10
MNST,10
STZ,5
FANG,7
RHI,7
DHR,10
ICE,1
AAPL,6
CTAS,3
D,0
ACN,9
IBM,10
INTC,9
BKNG,6
COST,7
AON,10
STX,6
ED,0
LEN,3
NFLX,3
HII,6
ALL,1
ITW,1
BSX,8
CNC,1
ALGN,2
SLB,7
RE,7
TTWO,6
SIVB,4
QCOM,1
MTB,4
AVB,8
NVR,6
LYV,10
LVS,7
LNC,4
BAX,10
SNPS,9
PPL,8
TSCO,3
LNT,0
CTSH,9
CERN,1
TFC,4
BEN,5
LIN,2
AIG,6
AEP,0
FB,3
CVX,2
SPGI,10
J,1
MAR,3
MU,5
RTX,3
