,0
POOL,8
MKC,0
AOS,5
AXP,8
CME,2
EQR,10
BKR,6
FDX,2
MET,7
MRK,1
MAA,10
ISRG,5
GOOGL,3
PEAK,10
CMCSA,3
TT,1
JPM,7
REGN,6
DHI,3
HUM,3
MDT,1
DIS,0
DE,2
F,1
C,7
EXC,10
SCHW,7
WYNN,6
PLD,8
AAL,6
DVN,1
AEE,4
AMZN,2
TDY,3
PENN,5
IP,8
OMC,2
VFC,3
MSCI,9
A,5
USB,7
UNH,2
IT,9
ETR,4
DVA,2
HSY,0
NEE,4
FFIV,5
BIIB,5
KO,0
MSI,5
KMB,0
FTNT,9
EL,6
ABC,8
CF,5
LKQ,8
TMUS,2
ABT,5
PSX,1
LMT,9
ESS,10
APD,2
PSA,5
AMAT,9
HCA,5
ORLY,8
KEY,7
KLAC,9
GL,2
PCAR,1
CBOE,0
PRU,7
FE,1
LEG,8
PHM,0
NOC,9
BBWI,2
MCK,1
CPB,0
KR,1
DGX,1
TJX,8
GRMN,1
PKG,5
FISV,0
OXY,1
FITB,7
CBRE,8
WAB,0
KMX,8
RSG,9
ADM,8
PEP,10
IRM,10
LOW,8
CL,0
TXT,2
MCO,3
DUK,4
NKE,3
PAYX,10
IFF,3
MSFT,3
CTRA,9
MA,3
PVH,5
TSN,0
DXC,8
VTRS,3
MTD,9
MLM,2
SO,4
ETN,2
STT,7
GD,9
CMS,4
SRE,4
MMC,3
AIZ,9
NOW,1
TGT,5
BRK-B,9
MRO,6
NXPI,5
WFC,7
EXR,10
NTAP,9
BDX,3
AJG,9
WY,1
EOG,6
XYL,1
PH,2
IPG,6
DLTR,8
TDG,0
LUV,5
AFL,8
AVGO,9
LLY,9
CAG,9
ODFL,1
ZBH,5
KMI,0
LUMN,10
PGR,10
ROL,9
PNC,7
DRE,10
EQIX,9
LRCX,9
VMC,2
TRMB,3
HPQ,1
ADP,2
ARE,10
PTC,5
HD,3
NSC,8
TXN,3
SEE,1
WRB,2
SBUX,8
ADBE,9
DAL,1
GPS,3
AMGN,5
JBHT,1
COF,7
NRG,10
CINF,2
WDC,2
NLSN,1
WU,1
NTRS,7
TEL,1
DLR,3
JKHY,8
K,0
EFX,2
APA,6
CAT,1
HIG,2
UHS,8
LH,6
RMD,3
TER,1
DTE,4
BR,9
GOOG,3
RF,7
BK,7
PPG,2
NEM,3
UDR,10
WM,9
JNPR,5
PFG,7
DPZ,2
BBY,6
GPC,9
ZBRA,1
MOS,8
AAP,8
MGM,5
XRAY,5
ULTA,6
BRO,10
BLL,9
SHW,0
EXPD,2
APTV,6
URI,1
AMCR,8
CCI,3
AKAM,5
AMP,7
PNR,6
VRSN,8
GM,1
HAL,6
SNA,5
PXD,1
AMT,2
TYL,9
HBAN,7
SWKS,1
CI,1
XEL,4
BF-B,9
HSIC,5
ALK,6
DOV,1
UAA,8
PG,0
SJM,10
CMA,7
ADI,3
ECL,8
GS,7
WHR,2
TRV,0
AVY,2
ADSK,3
UPS,0
MDLZ,1
PWR,1
SBAC,0
UAL,6
CDNS,3
MAS,8
BA,2
ROP,2
LDOS,10
IEX,8
GPN,8
PKI,1
BWA,1
YUM,6
ES,4
MKTX,3
UNP,6
FCX,0
RCL,3
CMI,1
JCI,5
PFE,2
EXPE,5
FRC,7
FIS,9
EMR,0
GLW,3
CNP,4
OKE,1
KIM,10
FBHS,8
DISH,6
AES,2
HON,2
EVRG,8
MTCH,6
TFX,2
GILD,1
CHRW,8
MO,0
REG,10
MMM,2
GIS,0
INTU,3
ROK,5
HOLX,5
LHX,8
COP,6
AME,0
MCD,3
PNW,4
COO,5
ILMN,5
PEG,4
GWW,2
O,8
HAS,9
ANSS,3
GE,1
RL,3
VZ,0
CSCO,3
CMG,8
AZO,8
VTR,10
EBAY,1
APH,3
BIO,5
CPRT,8
STE,8
DISCA,8
TAP,0
MPC,1
MPWR,1
NDAQ,9
NI,4
ORCL,9
CSX,6
PBCT,7
PM,2
ANTM,3
VRSK,9
DFS,6
CHD,2
DG,3
MCHP,3
TMO,3
EMN,1
RJF,7
JNJ,2
AWK,4
BMY,2
CVS,10
IVZ,7
ROST,9
NLOK,9
XOM,0
AMD,1
IPGP,3
ATVI,10
HST,9
TPR,6
TECH,1
WEC,4
NVDA,0
CLX,9
CHTR,8
HRL,0
L,7
FRT,10
BAC,7
CRM,8
WST,8
CTXS,8
EA,6
ENPH,5
WELL,10
BLK,0
V,3
ZION,7
CE,8
BXP,10
NWL,3
WBA,3
GNRC,6
WMT,2
FLT,10
SPG,0
ALB,2
WAT,5
HBI,8
DXCM,3
EIX,4
DISCK,6
CAH,5
VLO,8
HES,8
DD,2
FMC,5
LYB,1
SYK,5
WMB,6
FAST,2
MS,7
TROW,10
SWK,9
ABMD,5
CRL,9
VRTX,2
TSLA,3
CB,9
VNO,0
T,2
INCY,5
EW,2
MHK,8
CCL,3
ATO,4
IDXX,9
DRI,8
NUE,0
SYY,10
MNST,10
STZ,0
FANG,6
RHI,9
DHR,9
ICE,3
AAPL,1
CTAS,10
D,4
ACN,9
IBM,7
INTC,9
BKNG,8
COST,3
AON,9
STX,0
ED,4
LEN,6
NFLX,0
HII,8
ALL,9
ITW,10
BSX,10
CNC,8
ALGN,9
SLB,6
RE,1
TTWO,9
SIVB,7
QCOM,5
MTB,7
AVB,10
NVR,6
LYV,9
LVS,5
LNC,7
BAX,9
SNPS,1
