,0
POOL,2
MKC,5
AOS,6
AXP,6
CME,9
EQR,8
BKR,3
FDX,8
MET,6
MRK,4
MAA,10
ISRG,6
GOOGL,9
PEAK,8
CMCSA,5
TT,7
JPM,0
REGN,7
DHI,1
HUM,7
MDT,7
DIS,9
DE,3
F,6
C,7
EXC,6
SCHW,9
WYNN,6
PLD,8
AAL,6
DVN,0
AEE,10
AMZN,0
TDY,3
PENN,7
IP,5
OMC,5
VFC,7
MSCI,3
A,6
USB,2
UNH,9
IT,4
ETR,8
DVA,3
HSY,0
NEE,10
FFIV,6
BIIB,4
KO,9
MSI,3
KMB,5
FTNT,9
EL,5
ABC,0
CF,1
LKQ,7
TMUS,5
ABT,9
PSX,4
LMT,0
ESS,8
APD,7
PSA,8
AMAT,7
HCA,3
ORLY,4
KEY,2
KLAC,0
GL,2
PCAR,3
CBOE,2
PRU,2
FE,5
LEG,5
PHM,1
NOC,0
BBWI,3
MCK,0
CPB,9
KR,9
DGX,0
TJX,9
GRMN,7
PKG,3
FISV,9
OXY,0
FITB,2
CBRE,6
WAB,7
KMX,3
RSG,1
ADM,9
PEP,9
IRM,5
LOW,1
CL,8
TXT,3
MCO,6
DUK,10
NKE,3
PAYX,5
IFF,9
MSFT,1
CTRA,8
MA,8
PVH,3
TSN,2
DXC,9
VTRS,9
MTD,7
MLM,3
SO,10
ETN,0
STT,2
GD,1
CMS,10
SRE,10
MMC,1
AIZ,9
NOW,0
TGT,2
BRK-B,5
MRO,0
NXPI,0
WFC,2
EXR,8
NTAP,3
BDX,5
AJG,0
WY,1
EOG,9
XYL,6
PH,3
IPG,9
DLTR,9
TDG,0
LUV,3
AFL,7
AVGO,4
LLY,0
CAG,5
ODFL,7
ZBH,0
KMI,5
LUMN,5
PGR,7
ROL,8
PNC,2
DRE,8
EQIX,2
LRCX,0
VMC,4
TRMB,7
HPQ,6
ADP,5
ARE,8
PTC,1
HD,1
NSC,3
TXN,0
SEE,0
WRB,2
SBUX,7
ADBE,6
DAL,3
GPS,5
AMGN,7
JBHT,2
COF,9
NRG,9
CINF,4
WDC,1
NLSN,5
WU,6
NTRS,2
TEL,2
DLR,3
JKHY,9
K,5
EFX,1
APA,5
CAT,3
HIG,6
UHS,2
LH,4
RMD,8
TER,3
DTE,10
BR,1
GOOG,9
RF,1
BK,2
PPG,1
NEM,6
UDR,1
WM,5
JNPR,1
PFG,2
DPZ,7
BBY,7
GPC,4
ZBRA,7
MOS,5
AAP,0
MGM,1
XRAY,5
ULTA,7
BRO,1
BLL,0
SHW,6
EXPD,1
