,0
POOL,0
MKC,4
AOS,5
AXP,1
CME,8
EQR,7
BKR,1
FDX,0
MET,3
MRK,8
MAA,7
ISRG,1
GOOGL,4
PEAK,7
CMCSA,10
TT,2
JPM,3
REGN,10
DHI,4
HUM,4
MDT,6
DIS,2
DE,1
F,1
C,3
EXC,9
SCHW,3
WYNN,2
PLD,7
AAL,1
DVN,1
AEE,9
AMZN,4
TDY,2
PENN,1
IP,2
OMC,8
VFC,2
MSCI,4
A,5
USB,3
UNH,4
IT,7
ETR,9
DVA,4
HSY,10
NEE,9
FFIV,5
BIIB,2
KO,10
MSI,4
KMB,9
FTNT,4
EL,4
ABC,10
CF,4
LKQ,2
TMUS,8
ABT,6
PSX,8
LMT,8
ESS,7
APD,10
PSA,7
AMAT,5
HCA,4
ORLY,10
KEY,3
KLAC,5
GL,8
PCAR,2
CBOE,8
PRU,8
FE,9
LEG,10
PHM,7
NOC,10
BBWI,1
MCK,4
CPB,10
KR,7
DGX,4
TJX,0
GRMN,6
PKG,2
FISV,6
OXY,2
FITB,3
CBRE,1
WAB,0
KMX,4
RSG,8
ADM,10
PEP,10
IRM,7
LOW,0
CL,6
TXT,1
MCO,0
DUK,9
NKE,3
PAYX,7
IFF,7
MSFT,6
CTRA,0
MA,6
PVH,2
TSN,6
DXC,1
VTRS,8
MTD,4
MLM,2
SO,9
ETN,2
STT,3
GD,0
CMS,9
SRE,7
MMC,8
AIZ,8
NOW,6
TGT,1
BRK-B,8
MRO,1
NXPI,1
WFC,10
EXR,7
NTAP,0
BDX,6
AJG,8
WY,7
EOG,1
XYL,10
PH,0
IPG,7
DLTR,6
TDG,7
LUV,10
AFL,8
AVGO,2
LLY,6
CAG,10
ODFL,0
ZBH,4
KMI,4
LUMN,1
PGR,8
ROL,5
PNC,3
DRE,7
EQIX,6
LRCX,5
VMC,2
TRMB,5
HPQ,1
ADP,6
ARE,7
PTC,4
HD,0
NSC,2
TXN,5
SEE,7
WRB,8
SBUX,8
ADBE,6
DAL,2
GPS,10
AMGN,10
JBHT,0
COF,3
NRG,1
CINF,10
WDC,1
NLSN,1
WU,7
NTRS,3
TEL,4
DLR,10
JKHY,8
K,10
EFX,6
APA,2
CAT,2
HIG,8
UHS,4
LH,4
RMD,6
TER,5
DTE,9
BR,4
GOOG,4
RF,3
BK,3
PPG,4
NEM,4
UDR,7
WM,10
JNPR,5
PFG,3
DPZ,5
BBY,3
GPC,5
ZBRA,5
MOS,5
AAP,1
MGM,5
XRAY,0
ULTA,6
BRO,6
BLL,8
SHW,2
EXPD,2
APTV,0
URI,5
AMCR,4
CCI,10
AKAM,10
AMP,0
PNR,5
VRSN,6
GM,5
HAL,1
SNA,10
PXD,1
AMT,10
TYL,6
HBAN,3
SWKS,5
CI,4
XEL,9
BF-B,2
HSIC,7
ALK,0
DOV,2
UAA,1
PG,10
SJM,2
CMA,3
ADI,5
ECL,2
GS,3
WHR,2
TRV,8
AVY,2
ADSK,4
UPS,0
MDLZ,10
PWR,10
SBAC,10
UAL,2
CDNS,5
MAS,2
BA,7
ROP,8
LDOS,0
IEX,0
GPN,6
PKI,2
BWA,0
YUM,8
ES,9
MKTX,10
UNP,7
FCX,5
RCL,0
CMI,2
JCI,0
PFE,6
EXPE,1
FRC,3
FIS,6
EMR,5
GLW,5
CNP,10
OKE,0
KIM,7
FBHS,2
DISH,10
AES,10
HON,2
EVRG,9
MTCH,6
TFX,6
GILD,10
CHRW,7
MO,8
REG,7
MMM,0
GIS,7
INTU,0
ROK,0
HOLX,8
LHX,7
COP,8
AME,2
MCD,7
PNW,9
COO,2
ILMN,0
PEG,4
GWW,2
O,7
HAS,4
ANSS,4
GE,1
RL,3
VZ,4
CSCO,10
CMG,6
AZO,0
VTR,7
EBAY,5
APH,5
BIO,2
CPRT,0
STE,6
DISCA,2
TAP,4
MPC,2
MPWR,5
NDAQ,8
NI,9
ORCL,2
CSX,0
PBCT,3
PM,4
ANTM,4
VRSK,6
DFS,0
CHD,10
DG,6
MCHP,1
TMO,10
EMN,5
RJF,3
JNJ,4
AWK,9
BMY,4
CVS,10
IVZ,0
ROST,5
NLOK,5
XOM,4
AMD,0
IPGP,1
ATVI,5
HST,10
TPR,0
TECH,0
WEC,9
NVDA,10
CLX,10
CHTR,10
HRL,5
L,8
FRT,7
BAC,3
CRM,1
WST,4
CTXS,0
EA,10
ENPH,7
WELL,7
BLK,3
V,6
ZION,3
CE,5
BXP,7
NWL,2
WBA,10
GNRC,3
WMT,10
FLT,6
SPG,7
ALB,1
WAT,2
HBI,7
DXCM,10
EIX,4
DISCK,2
CAH,3
VLO,2
HES,1
DD,3
FMC,5
LYB,5
SYK,4
WMB,3
FAST,0
MS,3
TROW,8
SWK,2
ABMD,10
CRL,7
VRTX,4
TSLA,4
CB,8
VNO,7
T,10
INCY,1
EW,1
MHK,1
CCL,4
ATO,9
IDXX,5
DRI,6
NUE,1
SYY,10
MNST,2
STZ,4
FANG,2
RHI,7
DHR,0
ICE,10
AAPL,2
CTAS,6
D,9
ACN,4
IBM,6
INTC,1
BKNG,4
COST,6
AON,8
STX,4
ED,9
LEN,7
NFLX,1
HII,10
ALL,0
ITW,2
BSX,7
CNC,4
ALGN,0
SLB,1
RE,10
TTWO,4
SIVB,3
QCOM,4
MTB,3
AVB,7
NVR,10
LYV,7
LVS,1
LNC,3
BAX,6
SNPS,5
PPL,9
TSCO,5
LNT,9
CTSH,6
CERN,2
TFC,3
BEN,2
LIN,10
AIG,8
AEP,9
FB,5
CVX,8
SPGI,6
J,1
MAR,2
MU,1
RTX,2
