,0
POOL,7
MKC,4
AOS,2
AXP,1
CME,9
EQR,8
BKR,2
FDX,7
MET,3
MRK,1
MAA,8
ISRG,4
GOOGL,1
PEAK,8
CMCSA,1
TT,9
JPM,3
REGN,9
DHI,2
HUM,2
MDT,1
DIS,10
DE,4
F,7
C,3
EXC,6
SCHW,3
WYNN,10
PLD,8
AAL,3
DVN,6
AEE,5
AMZN,0
TDY,4
PENN,0
IP,7
OMC,6
VFC,10
MSCI,3
A,9
USB,3
UNH,1
IT,6
ETR,5
DVA,4
HSY,7
NEE,5
FFIV,1
BIIB,1
KO,7
MSI,0
KMB,8
FTNT,6
EL,1
ABC,0
CF,2
LKQ,0
TMUS,10
ABT,1
PSX,9
LMT,1
ESS,8
APD,2
PSA,8
AMAT,9
HCA,6
ORLY,7
KEY,3
KLAC,6
GL,3
PCAR,2
CBOE,9
PRU,4
FE,5
LEG,4
PHM,2
NOC,9
BBWI,2
MCK,9
CPB,7
KR,4
DGX,1
TJX,10
GRMN,0
PKG,0
FISV,4
OXY,8
FITB,3
CBRE,6
WAB,0
KMX,10
RSG,10
ADM,6
PEP,7
IRM,10
LOW,10
CL,8
TXT,10
MCO,0
DUK,5
NKE,10
PAYX,10
IFF,4
MSFT,1
CTRA,10
MA,4
PVH,10
TSN,4
DXC,10
VTRS,1
MTD,1
MLM,6
SO,5
ETN,1
STT,3
GD,9
CMS,5
SRE,5
MMC,7
AIZ,9
NOW,4
TGT,10
BRK-B,7
MRO,1
NXPI,4
WFC,3
EXR,6
NTAP,4
BDX,1
AJG,10
WY,6
EOG,2
XYL,7
PH,9
IPG,10
DLTR,10
TDG,1
LUV,10
AFL,9
AVGO,6
LLY,1
CAG,7
ODFL,2
ZBH,9
KMI,0
LUMN,10
PGR,9
ROL,1
PNC,3
DRE,8
EQIX,8
LRCX,9
VMC,6
TRMB,4
HPQ,4
ADP,10
ARE,7
PTC,0
HD,6
NSC,6
TXN,4
SEE,10
WRB,9
SBUX,4
ADBE,6
DAL,6
GPS,4
AMGN,9
JBHT,7
COF,3
NRG,6
CINF,10
WDC,3
NLSN,4
WU,4
NTRS,3
TEL,7
DLR,6
JKHY,9
K,7
EFX,6
APA,2
CAT,2
HIG,10
UHS,8
LH,6
RMD,7
TER,4
DTE,5
BR,4
GOOG,0
RF,3
BK,3
PPG,4
NEM,10
UDR,8
WM,10
JNPR,10
PFG,3
DPZ,0
BBY,0
GPC,10
ZBRA,4
MOS,2
AAP,10
MGM,10
XRAY,10
ULTA,6
BRO,9
BLL,6
SHW,1
EXPD,7
APTV,2
URI,9
AMCR,10
CCI,8
AKAM,6
AMP,3
PNR,1
VRSN,6
GM,4
HAL,9
SNA,3
PXD,2
AMT,10
TYL,6
HBAN,3
SWKS,6
CI,1
XEL,5
BF-B,7
HSIC,4
ALK,10
DOV,2
UAA,4
PG,7
SJM,7
CMA,3
ADI,4
ECL,7
GS,9
WHR,10
TRV,9
AVY,10
ADSK,0
UPS,7
MDLZ,1
PWR,6
SBAC,0
UAL,10
CDNS,9
MAS,7
BA,0
ROP,6
LDOS,9
IEX,9
GPN,9
PKI,6
BWA,0
YUM,4
ES,5
MKTX,0
UNP,10
FCX,10
RCL,6
CMI,2
JCI,2
PFE,9
EXPE,6
FRC,3
FIS,9
EMR,7
GLW,6
CNP,5
OKE,4
KIM,8
FBHS,7
DISH,0
AES,6
HON,7
EVRG,5
MTCH,0
TFX,1
GILD,1
CHRW,7
MO,4
REG,8
MMM,7
GIS,7
INTU,6
ROK,2
HOLX,9
LHX,1
COP,2
AME,2
MCD,1
PNW,5
COO,6
ILMN,6
PEG,5
GWW,6
O,8
HAS,1
ANSS,7
GE,2
RL,10
VZ,8
CSCO,7
CMG,4
AZO,10
VTR,8
EBAY,4
APH,4
BIO,1
CPRT,0
STE,4
DISCA,0
TAP,9
MPC,4
MPWR,4
NDAQ,10
NI,5
ORCL,9
CSX,2
PBCT,3
PM,7
ANTM,1
VRSK,9
DFS,10
CHD,1
DG,4
MCHP,6
TMO,1
EMN,6
RJF,3
JNJ,9
AWK,5
BMY,7
CVS,9
IVZ,2
ROST,10
NLOK,0
XOM,8
AMD,4
IPGP,0
ATVI,10
HST,0
TPR,0
TECH,1
WEC,5
NVDA,1
CLX,8
CHTR,1
HRL,4
L,2
FRT,8
BAC,3
CRM,9
WST,6
CTXS,10
EA,0
ENPH,1
WELL,6
BLK,9
V,7
ZION,3
CE,2
BXP,8
NWL,1
WBA,0
GNRC,2
WMT,9
FLT,3
SPG,8
ALB,7
WAT,1
HBI,1
DXCM,4
EIX,5
DISCK,10
CAH,9
VLO,10
HES,9
DD,2
FMC,2
LYB,2
SYK,1
WMB,2
FAST,10
MS,3
TROW,9
SWK,10
ABMD,1
CRL,1
VRTX,6
TSLA,0
CB,9
VNO,8
T,7
INCY,10
EW,6
MHK,7
CCL,6
ATO,5
IDXX,1
DRI,9
NUE,10
SYY,7
MNST,1
STZ,6
FANG,9
RHI,1
DHR,7
ICE,4
AAPL,4
CTAS,7
D,5
ACN,9
IBM,2
INTC,9
BKNG,4
COST,8
AON,7
STX,1
ED,5
LEN,2
NFLX,0
HII,4
ALL,9
ITW,7
BSX,10
CNC,0
ALGN,6
SLB,9
RE,9
TTWO,6
SIVB,3
QCOM,6
MTB,3
AVB,8
NVR,0
LYV,0
LVS,10
LNC,3
BAX,9
SNPS,1
PPL,5
TSCO,0
LNT,5
CTSH,9
CERN,0
TFC,3
BEN,9
LIN,10
AIG,1
AEP,5
FB,0
CVX,8
SPGI,9
J,2
MAR,9
MU,2
RTX,9
