,0
POOL,4
MKC,9
AOS,4
AXP,8
CME,4
EQR,8
BKR,2
FDX,1
MET,6
MRK,3
MAA,10
ISRG,1
GOOGL,3
PEAK,10
CMCSA,2
TT,5
JPM,0
REGN,4
DHI,0
HUM,1
MDT,9
DIS,9
DE,3
F,6
C,6
EXC,9
SCHW,4
WYNN,5
PLD,10
AAL,5
DVN,9
AEE,7
AMZN,4
TDY,0
PENN,1
IP,1
OMC,0
VFC,4
MSCI,1
A,0
USB,6
UNH,8
IT,9
ETR,9
DVA,3
HSY,8
NEE,7
FFIV,1
BIIB,4
KO,8
MSI,9
KMB,8
FTNT,1
EL,8
ABC,2
CF,0
LKQ,1
TMUS,2
ABT,4
PSX,4
LMT,3
ESS,10
APD,5
PSA,10
AMAT,2
HCA,0
ORLY,3
KEY,6
KLAC,2
GL,6
PCAR,5
CBOE,9
PRU,6
FE,3
LEG,8
PHM,0
NOC,1
BBWI,9
MCK,8
CPB,9
KR,9
DGX,4
TJX,1
GRMN,2
PKG,9
FISV,9
OXY,2
FITB,6
CBRE,2
WAB,5
KMX,9
RSG,4
ADM,8
PEP,3
IRM,10
LOW,9
CL,3
TXT,0
MCO,8
DUK,7
NKE,1
PAYX,3
IFF,9
MSFT,1
CTRA,4
MA,1
PVH,4
TSN,8
DXC,9
VTRS,0
MTD,4
MLM,5
SO,7
ETN,5
STT,6
GD,4
CMS,7
SRE,7
MMC,8
AIZ,8
NOW,2
TGT,4
BRK-B,8
MRO,2
NXPI,2
WFC,6
EXR,10
NTAP,0
BDX,3
AJG,0
WY,3
EOG,2
XYL,5
PH,5
IPG,2
DLTR,9
TDG,3
LUV,4
AFL,5
AVGO,2
LLY,8
CAG,8
ODFL,1
ZBH,0
KMI,0
LUMN,8
PGR,3
ROL,4
PNC,6
DRE,10
EQIX,4
LRCX,2
VMC,9
TRMB,5
HPQ,6
ADP,3
ARE,10
PTC,0
HD,8
NSC,5
TXN,2
SEE,1
WRB,3
SBUX,4
ADBE,1
DAL,4
GPS,9
AMGN,1
JBHT,4
COF,6
NRG,7
CINF,8
WDC,6
NLSN,5
WU,1
NTRS,6
TEL,1
DLR,10
JKHY,4
K,3
EFX,3
APA,2
CAT,6
HIG,6
UHS,0
LH,4
RMD,10
TER,1
DTE,7
BR,1
GOOG,4
RF,6
BK,6
PPG,9
NEM,0
UDR,10
WM,4
JNPR,0
PFG,6
DPZ,1
BBY,5
GPC,5
ZBRA,2
MOS,9
AAP,3
MGM,5
XRAY,8
ULTA,1
BRO,6
BLL,3
SHW,9
EXPD,4
APTV,5
URI,5
AMCR,8
CCI,8
AKAM,1
AMP,6
PNR,3
VRSN,4
GM,4
HAL,2
SNA,5
PXD,9
AMT,0
TYL,9
HBAN,6
SWKS,4
CI,4
XEL,7
BF-B,8
HSIC,8
ALK,4
DOV,4
UAA,9
PG,8
SJM,8
CMA,6
ADI,2
ECL,4
GS,6
WHR,4
TRV,3
AVY,4
ADSK,1
UPS,1
MDLZ,8
PWR,0
SBAC,1
UAL,4
CDNS,1
MAS,0
BA,8
ROP,3
LDOS,1
IEX,5
GPN,1
PKI,4
BWA,1
YUM,9
ES,7
MKTX,4
UNP,2
FCX,3
RCL,0
CMI,5
JCI,5
PFE,4
EXPE,4
FRC,0
FIS,3
EMR,3
GLW,8
CNP,8
OKE,2
KIM,10
FBHS,9
DISH,0
AES,2
HON,8
EVRG,7
MTCH,0
TFX,3
GILD,4
CHRW,2
MO,3
REG,10
MMM,3
GIS,7
INTU,1
ROK,5
HOLX,1
LHX,2
COP,2
AME,5
MCD,4
PNW,7
COO,4
ILMN,4
PEG,7
GWW,5
O,10
HAS,9
ANSS,7
GE,5
RL,2
VZ,3
CSCO,9
CMG,1
AZO,4
VTR,10
EBAY,1
APH,3
BIO,3
CPRT,5
STE,4
DISCA,0
TAP,9
MPC,9
MPWR,2
NDAQ,8
NI,7
ORCL,5
CSX,5
PBCT,6
PM,9
ANTM,2
VRSK,3
DFS,4
CHD,4
DG,4
MCHP,8
TMO,3
EMN,1
RJF,6
JNJ,3
AWK,7
BMY,9
CVS,9
IVZ,6
ROST,9
NLOK,0
XOM,2
AMD,0
IPGP,9
ATVI,0
HST,0
TPR,4
TECH,4
WEC,7
NVDA,9
CLX,9
CHTR,2
HRL,8
L,3
FRT,10
BAC,6
CRM,1
WST,4
CTXS,1
EA,4
ENPH,1
WELL,10
BLK,8
V,4
ZION,6
CE,5
BXP,10
NWL,4
WBA,4
GNRC,4
WMT,8
FLT,5
SPG,10
ALB,3
WAT,4
HBI,1
DXCM,9
EIX,7
DISCK,3
CAH,8
VLO,9
HES,2
DD,1
FMC,5
LYB,9
SYK,2
WMB,2
FAST,8
MS,6
TROW,4
SWK,5
ABMD,1
CRL,4
VRTX,9
TSLA,1
CB,3
VNO,10
T,3
INCY,4
EW,4
MHK,0
CCL,2
ATO,7
IDXX,3
DRI,3
NUE,5
SYY,2
MNST,1
STZ,0
FANG,2
RHI,0
DHR,4
ICE,9
AAPL,0
CTAS,7
D,7
ACN,1
IBM,1
INTC,2
BKNG,4
COST,3
AON,3
STX,2
ED,7
LEN,6
NFLX,2
HII,1
ALL,4
ITW,3
BSX,1
CNC,0
ALGN,0
SLB,7
RE,8
TTWO,1
SIVB,6
QCOM,2
MTB,6
AVB,10
NVR,0
LYV,1
LVS,9
LNC,6
BAX,8
SNPS,5
PPL,7
TSCO,1
LNT,7
CTSH,1
CERN,4
TFC,6
BEN,6
LIN,3
AIG,0
AEP,7
FB,4
CVX,5
SPGI,8
J,4
MAR,0
MU,2
RTX,3
