,0
POOL,3
MKC,3
AOS,1
AXP,7
CME,7
EQR,10
BKR,5
FDX,0
MET,4
MRK,9
MAA,10
ISRG,9
GOOGL,3
PEAK,10
CMCSA,10
TT,6
JPM,4
REGN,6
DHI,3
HUM,1
MDT,9
DIS,1
DE,0
F,1
C,4
EXC,2
SCHW,8
WYNN,3
PLD,10
AAL,10
DVN,5
AEE,2
AMZN,1
TDY,6
PENN,5
IP,6
OMC,7
VFC,1
MSCI,10
A,1
USB,4
UNH,3
IT,1
ETR,2
DVA,1
HSY,8
NEE,2
FFIV,8
BIIB,0
KO,10
MSI,5
KMB,6
FTNT,1
EL,3
ABC,8
CF,0
LKQ,3
TMUS,3
ABT,8
PSX,3
LMT,7
ESS,10
APD,6
PSA,10
AMAT,10
HCA,5
ORLY,5
KEY,4
KLAC,6
GL,7
PCAR,6
CBOE,0
PRU,4
FE,2
LEG,0
PHM,3
NOC,6
BBWI,3
MCK,1
CPB,8
KR,0
DGX,7
TJX,5
GRMN,1
PKG,7
FISV,10
OXY,3
FITB,4
CBRE,5
WAB,5
KMX,5
RSG,9
ADM,5
PEP,5
IRM,10
LOW,1
CL,5
TXT,0
MCO,7
DUK,2
NKE,9
PAYX,9
IFF,1
MSFT,9
CTRA,8
MA,9
PVH,3
TSN,8
DXC,0
VTRS,5
MTD,1
MLM,6
SO,2
ETN,6
STT,4
GD,1
CMS,2
SRE,2
MMC,7
AIZ,7
NOW,9
TGT,3
BRK-B,4
MRO,3
NXPI,0
WFC,5
EXR,10
NTAP,0
BDX,9
AJG,4
WY,3
EOG,3
XYL,6
PH,0
IPG,3
DLTR,0
TDG,1
LUV,3
AFL,4
AVGO,10
LLY,8
CAG,5
ODFL,3
ZBH,9
KMI,8
LUMN,8
PGR,8
ROL,6
PNC,4
DRE,10
EQIX,7
LRCX,8
VMC,0
TRMB,6
HPQ,3
ADP,9
ARE,10
PTC,9
HD,5
NSC,3
TXN,0
SEE,8
WRB,7
SBUX,0
ADBE,8
DAL,0
GPS,0
AMGN,1
JBHT,6
COF,4
NRG,5
CINF,7
WDC,0
NLSN,5
WU,9
NTRS,4
TEL,6
DLR,10
JKHY,1
K,3
EFX,7
APA,5
CAT,0
HIG,7
UHS,7
LH,1
RMD,6
TER,0
DTE,2
BR,9
GOOG,3
RF,4
BK,7
PPG,6
NEM,8
UDR,10
WM,7
JNPR,5
PFG,4
DPZ,5
BBY,5
GPC,1
ZBRA,8
MOS,5
AAP,5
MGM,0
XRAY,1
ULTA,7
BRO,7
BLL,6
SHW,0
EXPD,1
APTV,0
URI,1
AMCR,8
CCI,0
AKAM,3
AMP,3
PNR,6
VRSN,9
GM,5
HAL,0
SNA,1
PXD,10
AMT,2
TYL,9
HBAN,4
SWKS,8
CI,1
XEL,2
BF-B,0
HSIC,6
ALK,0
DOV,6
UAA,5
PG,3
SJM,5
CMA,4
ADI,8
ECL,7
GS,4
WHR,3
TRV,7
AVY,6
ADSK,9
UPS,0
MDLZ,5
PWR,6
SBAC,6
UAL,10
CDNS,1
MAS,0
BA,6
ROP,7
LDOS,8
IEX,0
GPN,9
PKI,1
BWA,0
YUM,7
ES,2
MKTX,8
UNP,0
FCX,0
RCL,1
CMI,1
JCI,6
PFE,9
EXPE,0
FRC,8
FIS,9
EMR,6
GLW,6
CNP,2
OKE,1
KIM,10
FBHS,6
DISH,0
AES,10
HON,6
EVRG,2
MTCH,1
TFX,1
GILD,1
CHRW,6
MO,3
REG,10
MMM,0
GIS,10
INTU,9
ROK,6
HOLX,6
LHX,6
COP,3
AME,6
MCD,9
PNW,2
COO,6
ILMN,1
PEG,2
GWW,0
O,10
HAS,8
ANSS,9
GE,5
RL,5
VZ,8
CSCO,9
CMG,8
AZO,0
VTR,10
EBAY,9
APH,0
BIO,7
CPRT,6
STE,9
DISCA,10
TAP,5
MPC,3
MPWR,5
NDAQ,7
NI,2
ORCL,5
CSX,3
PBCT,4
PM,8
ANTM,1
VRSK,7
DFS,4
CHD,5
DG,5
MCHP,3
TMO,1
EMN,6
RJF,4
JNJ,8
AWK,2
BMY,8
CVS,10
IVZ,7
ROST,9
NLOK,9
XOM,3
AMD,0
IPGP,0
ATVI,9
HST,5
TPR,5
TECH,5
WEC,2
NVDA,3
CLX,10
CHTR,8
HRL,8
L,7
FRT,10
BAC,4
CRM,9
WST,1
CTXS,9
EA,9
ENPH,8
WELL,10
BLK,8
V,9
ZION,4
CE,6
BXP,10
NWL,6
WBA,10
GNRC,1
WMT,8
FLT,8
SPG,9
ALB,1
WAT,1
HBI,8
DXCM,5
EIX,3
DISCK,10
CAH,1
VLO,3
HES,0
DD,0
FMC,6
LYB,5
SYK,1
WMB,5
FAST,5
MS,4
TROW,7
SWK,6
ABMD,3
CRL,1
VRTX,3
TSLA,3
CB,7
VNO,10
T,9
INCY,5
EW,7
MHK,1
CCL,1
ATO,2
IDXX,10
DRI,8
NUE,0
SYY,5
MNST,7
STZ,5
FANG,5
RHI,6
DHR,6
ICE,7
AAPL,3
CTAS,6
D,2
ACN,9
IBM,8
INTC,3
BKNG,6
COST,9
AON,7
STX,10
ED,2
LEN,6
NFLX,3
HII,7
ALL,7
ITW,1
BSX,9
CNC,1
ALGN,0
SLB,0
RE,10
TTWO,9
SIVB,4
QCOM,0
MTB,4
AVB,10
NVR,6
LYV,7
LVS,7
LNC,4
BAX,9
SNPS,9
PPL,8
TSCO,5
LNT,2
CTSH,9
CERN,8
TFC,4
BEN,0
LIN,6
AIG,7
AEP,2
FB,8
CVX,0
SPGI,8
J,1
MAR,8
MU,0
RTX,1
