,0
POOL,10
MKC,9
AOS,7
AXP,0
CME,2
EQR,10
BKR,0
FDX,8
MET,8
MRK,3
MAA,10
ISRG,10
GOOGL,1
PEAK,1
CMCSA,1
TT,7
JPM,2
REGN,8
DHI,6
HUM,6
MDT,3
DIS,4
DE,0
F,7
C,2
EXC,5
SCHW,2
WYNN,8
PLD,1
AAL,2
DVN,3
AEE,5
AMZN,1
TDY,8
PENN,8
IP,0
OMC,3
VFC,4
MSCI,10
A,10
USB,2
UNH,0
IT,7
ETR,5
DVA,3
HSY,9
NEE,5
FFIV,4
BIIB,3
KO,9
MSI,3
KMB,9
FTNT,0
EL,7
ABC,3
CF,0
LKQ,2
TMUS,6
ABT,1
PSX,8
LMT,6
ESS,10
APD,0
PSA,9
AMAT,8
HCA,0
ORLY,4
KEY,2
KLAC,4
GL,2
PCAR,0
CBOE,10
PRU,2
FE,5
LEG,6
PHM,4
NOC,9
BBWI,10
MCK,6
CPB,9
KR,7
DGX,1
TJX,6
GRMN,8
PKG,0
FISV,10
OXY,8
FITB,2
CBRE,4
WAB,8
KMX,4
RSG,9
ADM,7
PEP,9
IRM,8
LOW,6
CL,9
TXT,6
MCO,6
DUK,5
NKE,4
PAYX,10
IFF,9
MSFT,7
CTRA,3
MA,1
PVH,8
TSN,1
DXC,4
VTRS,1
MTD,6
MLM,4
SO,5
ETN,7
STT,2
GD,6
CMS,5
SRE,5
MMC,7
AIZ,6
NOW,4
TGT,9
BRK-B,9
MRO,8
NXPI,4
WFC,2
EXR,4
NTAP,0
BDX,3
AJG,4
WY,7
EOG,8
XYL,9
PH,9
IPG,3
DLTR,8
TDG,0
LUV,4
AFL,7
AVGO,1
LLY,1
CAG,4
ODFL,7
ZBH,10
KMI,0
LUMN,4
PGR,9
ROL,1
PNC,2
DRE,10
EQIX,3
LRCX,7
VMC,7
TRMB,6
HPQ,0
ADP,7
ARE,10
PTC,0
HD,10
NSC,7
TXN,8
SEE,4
WRB,6
SBUX,4
ADBE,3
DAL,0
GPS,0
AMGN,8
JBHT,7
COF,2
NRG,8
CINF,9
WDC,0
NLSN,6
WU,8
NTRS,2
TEL,8
DLR,3
JKHY,3
K,9
EFX,7
APA,8
CAT,0
HIG,7
UHS,3
LH,3
RMD,1
TER,8
DTE,5
BR,4
GOOG,1
RF,2
BK,2
PPG,4
NEM,7
UDR,10
WM,10
JNPR,0
PFG,2
DPZ,3
BBY,8
GPC,7
ZBRA,0
MOS,0
AAP,6
MGM,8
XRAY,7
ULTA,4
BRO,3
BLL,4
SHW,3
EXPD,7
APTV,0
URI,0
AMCR,6
CCI,8
AKAM,4
AMP,2
PNR,1
VRSN,10
GM,0
HAL,8
SNA,7
PXD,8
AMT,10
TYL,3
HBAN,2
SWKS,4
CI,2
XEL,5
BF-B,0
HSIC,10
ALK,4
DOV,0
UAA,0
PG,9
SJM,6
CMA,2
ADI,4
ECL,9
GS,2
WHR,6
TRV,9
AVY,4
ADSK,4
UPS,6
MDLZ,7
PWR,0
SBAC,1
UAL,4
CDNS,4
MAS,6
BA,1
ROP,7
LDOS,8
IEX,7
GPN,7
PKI,7
BWA,0
YUM,8
ES,5
MKTX,3
UNP,7
FCX,8
RCL,4
CMI,7
JCI,0
PFE,3
EXPE,10
FRC,2
FIS,3
EMR,9
GLW,7
CNP,5
OKE,8
KIM,10
FBHS,4
DISH,3
AES,3
HON,7
EVRG,5
MTCH,1
TFX,1
GILD,4
CHRW,6
MO,9
REG,10
MMM,9
GIS,9
INTU,3
ROK,7
HOLX,8
LHX,6
COP,6
AME,0
MCD,6
PNW,5
COO,1
ILMN,3
PEG,5
GWW,4
O,10
HAS,8
ANSS,9
GE,6
RL,4
VZ,10
CSCO,0
CMG,4
AZO,6
VTR,10
EBAY,0
APH,9
BIO,3
CPRT,3
STE,8
DISCA,8
TAP,3
MPC,4
MPWR,8
NDAQ,6
NI,5
ORCL,4
CSX,1
PBCT,2
PM,9
ANTM,3
VRSK,9
DFS,8
CHD,9
DG,8
MCHP,1
TMO,7
EMN,8
RJF,2
JNJ,6
AWK,5
BMY,10
CVS,10
IVZ,8
ROST,8
NLOK,0
XOM,3
AMD,0
IPGP,0
ATVI,7
HST,3
TPR,6
TECH,1
WEC,5
NVDA,4
CLX,9
CHTR,1
HRL,1
L,2
FRT,10
BAC,2
CRM,8
WST,3
CTXS,6
EA,6
ENPH,4
WELL,10
BLK,10
V,10
ZION,2
CE,0
BXP,10
NWL,7
WBA,6
GNRC,1
WMT,10
FLT,0
SPG,10
ALB,7
WAT,1
HBI,6
DXCM,1
EIX,5
DISCK,6
CAH,10
VLO,4
HES,8
DD,0
FMC,0
LYB,8
SYK,3
WMB,0
FAST,8
MS,2
TROW,10
SWK,7
ABMD,8
CRL,8
VRTX,3
TSLA,1
CB,10
VNO,9
T,9
INCY,8
EW,3
MHK,1
CCL,0
ATO,5
IDXX,1
DRI,1
NUE,3
SYY,9
MNST,1
STZ,1
FANG,8
RHI,1
DHR,7
ICE,10
AAPL,1
CTAS,7
D,5
ACN,7
IBM,6
INTC,0
BKNG,4
COST,9
AON,7
STX,8
ED,5
LEN,3
NFLX,0
HII,4
ALL,3
ITW,6
BSX,1
CNC,1
ALGN,1
SLB,7
RE,6
TTWO,4
SIVB,1
QCOM,4
MTB,2
AVB,10
NVR,6
LYV,0
LVS,8
LNC,2
BAX,10
SNPS,6
PPL,5
TSCO,3
LNT,5
CTSH,10
CERN,1
TFC,2
BEN,4
LIN,9
AIG,2
AEP,5
FB,1
CVX,8
SPGI,7
J,8
MAR,9
MU,0
RTX,6
