,0
POOL,4
MKC,4
AOS,10
AXP,8
CME,9
EQR,2
BKR,8
FDX,10
MET,3
MRK,2
MAA,9
ISRG,0
GOOGL,0
PEAK,8
CMCSA,0
TT,5
JPM,3
REGN,7
DHI,4
HUM,2
MDT,7
DIS,2
DE,5
F,5
C,3
EXC,6
SCHW,3
WYNN,5
PLD,1
AAL,1
DVN,8
AEE,6
AMZN,1
TDY,0
PENN,1
IP,5
OMC,1
VFC,10
MSCI,1
A,0
USB,3
UNH,2
IT,1
ETR,6
DVA,7
HSY,9
NEE,6
FFIV,4
BIIB,7
KO,9
MSI,4
KMB,9
FTNT,0
EL,9
ABC,7
CF,5
LKQ,10
TMUS,10
ABT,7
PSX,8
LMT,7
ESS,2
APD,2
PSA,7
AMAT,0
HCA,0
ORLY,7
KEY,3
KLAC,0
GL,3
PCAR,10
CBOE,1
PRU,3
FE,6
LEG,2
PHM,4
NOC,1
BBWI,4
MCK,7
CPB,9
KR,1
DGX,1
TJX,4
GRMN,0
PKG,5
FISV,1
OXY,8
FITB,3
CBRE,2
WAB,0
KMX,8
RSG,2
ADM,5
PEP,9
IRM,4
LOW,2
CL,7
TXT,4
MCO,8
DUK,6
NKE,1
PAYX,9
IFF,1
MSFT,5
CTRA,8
MA,9
PVH,5
TSN,9
DXC,4
VTRS,9
MTD,9
MLM,5
SO,6
ETN,5
STT,3
GD,7
CMS,6
SRE,6
MMC,9
AIZ,10
NOW,0
TGT,9
BRK-B,2
MRO,8
NXPI,0
WFC,3
EXR,7
NTAP,0
BDX,2
AJG,7
WY,2
EOG,8
XYL,10
PH,5
IPG,10
DLTR,9
TDG,2
LUV,1
AFL,10
AVGO,0
LLY,2
CAG,9
ODFL,0
ZBH,2
KMI,5
LUMN,10
PGR,1
ROL,0
PNC,3
DRE,9
EQIX,7
LRCX,0
VMC,5
TRMB,7
HPQ,2
ADP,10
ARE,5
PTC,0
HD,9
NSC,5
TXN,10
SEE,0
WRB,3
SBUX,7
ADBE,5
DAL,9
GPS,4
AMGN,9
JBHT,10
COF,3
NRG,8
CINF,10
WDC,3
NLSN,9
WU,0
NTRS,3
TEL,5
DLR,7
JKHY,7
K,9
EFX,2
APA,8
CAT,0
HIG,10
UHS,1
LH,1
RMD,7
TER,0
DTE,6
BR,10
GOOG,7
RF,3
BK,3
PPG,1
NEM,9
UDR,2
WM,2
JNPR,0
PFG,3
DPZ,7
BBY,10
GPC,10
ZBRA,0
MOS,5
AAP,7
MGM,8
XRAY,2
ULTA,9
BRO,5
BLL,0
SHW,7
EXPD,10
APTV,10
URI,0
AMCR,10
CCI,9
AKAM,8
AMP,3
PNR,4
VRSN,9
GM,8
HAL,8
SNA,5
PXD,8
AMT,8
TYL,0
HBAN,3
SWKS,0
CI,2
XEL,6
BF-B,2
HSIC,7
ALK,9
DOV,5
UAA,9
PG,9
SJM,9
CMA,3
ADI,0
ECL,5
GS,3
WHR,10
TRV,2
AVY,9
ADSK,0
UPS,10
MDLZ,2
PWR,4
SBAC,8
UAL,1
CDNS,9
MAS,4
BA,10
ROP,1
LDOS,1
IEX,10
GPN,5
PKI,7
BWA,5
YUM,9
ES,6
MKTX,7
UNP,10
FCX,8
RCL,0
CMI,5
JCI,5
PFE,2
EXPE,0
FRC,3
FIS,7
EMR,5
GLW,10
CNP,6
OKE,8
KIM,7
FBHS,10
DISH,8
AES,0
HON,10
EVRG,6
MTCH,1
TFX,2
GILD,7
CHRW,7
MO,7
REG,9
MMM,10
GIS,6
INTU,1
ROK,5
HOLX,9
LHX,0
COP,8
AME,4
MCD,4
PNW,6
COO,1
ILMN,0
PEG,6
GWW,5
O,9
HAS,1
ANSS,1
GE,1
RL,4
VZ,7
CSCO,9
CMG,0
AZO,10
VTR,6
EBAY,1
APH,4
BIO,1
CPRT,1
STE,0
DISCA,4
TAP,4
MPC,4
MPWR,0
NDAQ,9
NI,6
ORCL,1
CSX,5
PBCT,3
PM,10
ANTM,2
VRSK,1
DFS,7
CHD,9
DG,1
MCHP,8
TMO,9
EMN,0
RJF,3
JNJ,9
AWK,6
BMY,9
CVS,9
IVZ,3
ROST,4
NLOK,1
XOM,8
AMD,2
IPGP,9
ATVI,4
HST,8
TPR,2
TECH,1
WEC,6
NVDA,5
CLX,9
CHTR,7
HRL,9
L,4
FRT,9
BAC,3
CRM,1
WST,0
CTXS,0
EA,0
ENPH,2
WELL,9
BLK,10
V,1
ZION,3
CE,8
BXP,2
NWL,2
WBA,7
GNRC,4
WMT,9
FLT,0
SPG,5
ALB,5
WAT,1
HBI,0
DXCM,0
EIX,6
DISCK,4
CAH,7
VLO,10
HES,8
DD,5
FMC,5
LYB,8
SYK,7
WMB,8
FAST,5
MS,3
TROW,9
SWK,10
ABMD,1
CRL,7
VRTX,9
TSLA,0
CB,2
VNO,2
T,9
INCY,7
EW,7
MHK,0
CCL,1
ATO,6
IDXX,9
DRI,2
NUE,10
SYY,7
MNST,1
STZ,2
FANG,7
RHI,1
DHR,10
ICE,9
AAPL,0
CTAS,1
D,6
ACN,1
IBM,5
INTC,5
BKNG,7
COST,9
AON,1
STX,5
ED,6
LEN,9
NFLX,7
HII,0
ALL,2
ITW,10
BSX,4
CNC,0
ALGN,1
SLB,8
RE,10
TTWO,0
SIVB,0
QCOM,10
MTB,3
AVB,7
NVR,4
LYV,0
LVS,10
LNC,3
BAX,2
SNPS,1
PPL,6
TSCO,0
LNT,6
CTSH,2
CERN,1
TFC,3
BEN,3
LIN,5
AIG,1
AEP,6
FB,1
CVX,8
SPGI,2
J,8
MAR,0
MU,3
RTX,10
